date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2012-07-25,0.132,0.18,-0.2529965144638909,-0.3642221495741152,-0.07302513501488977,inf,-0.31015492830383945,0.1752,0.1776,0.17839999999999998,2,25,7,0.1712727272727271,0.17690322580466,0.0,-0.0038290598290086353,-0.0007658119657365867,0.19906625258399802,0.156133747416002,0.08432740427115677,0.05962847939999439,0.048686449556014755,72668.0,-4.248529157249597,0,0,-1,0,0,51.0,-0.003732029190862044,-0.2666666666666666,4.248529157060021,1.893145530591877,0.9465727652959386,-0.2666666666666666,-0.2666666666666666,-2.2360679774997894,0.0,0.0
2012-07-26,0.15,0.132,0.1278333715098848,0.1278333715098848,0.1278333715098848,4.7535901911063645,0.1278333715098848,0.1722,0.17609999999999998,0.1774,3,26,7,0.16740495867768582,0.17516753381726258,27.272727272727266,-0.005349502033215298,-0.001682549979232329,0.20080797868151734,0.15139202131848262,0.09888728963533847,0.06838636692704086,0.055441858261311525,107468.0,-2.112677879192434,0,0,-1,0,0,55.0,0.0034136395762451458,0.13636363636363627,4.24837159290274,2.3318562818081783,1.0855999197369752,-0.16666666666666663,-0.16666666666666663,-1.2607894519520353,0.0,0.0
2012-07-27,0.14,0.15,-0.06899287148695131,-0.06899287148695131,-0.06899287148695131,-5.159055299214529,-0.06899287148695131,0.1682,0.17409999999999998,0.17606666666666668,4,27,7,0.16242223891810656,0.17289866066776177,23.68421052631578,-0.007277489491973044,-0.002801537881780472,0.20350748204114044,0.1446925179588595,0.10015038177407463,0.06966489102978814,0.05658602285496166,107268.0,-2.3191376910335095,0,0,-1,0,0,61.0,-0.005899138948556911,-0.06666666666666654,-0.20125957367333017,2.332947626522972,1.1058958606634028,-0.2222222222222221,-0.2222222222222221,-0.8149452995656395,0.0,0.0
2012-07-30,0.14,0.14,0.0,0.0,0.0,-inf,0.0,0.16419999999999998,0.1721,0.17473333333333332,0,30,7,0.15834546820572354,0.170776166431132,23.68421052631578,-0.008705086623569891,-0.003982247630138356,0.20504588865013915,0.13915411134986086,0.10015038177407463,0.06966489102978814,0.05658602285496166,107268.0,-1.9486498203692808,0,0,-1,0,0,57.0,-0.006516847394900866,0.0,-0.2269796469862158,2.332947626522972,1.1058958606634028,-0.2222222222222221,-0.2222222222222221,-0.8149452995656395,0.0,0.0
2012-08-02,0.145,0.14,0.03509131981126998,0.03509131981126998,0.03509131981126998,inf,0.03509131981126998,0.1527,0.16635,0.17090000000000002,3,2,8,0.1509570595957719,0.16551810691446678,28.395061728395035,-0.010433467361501553,-0.007036265657102659,0.20501876884787676,0.12768123115212324,0.10155774291616676,0.07038463562117786,0.05710224651658347,107468.0,-1.1042503103210282,0,0,-1,0,0,49.0,-0.008931269476189134,0.035714285714285546,-0.20260448740129497,0.5901573640019353,1.117321451841209,-0.033333333333333326,-0.19444444444444442,-1.1911577388056853,0.0,0.0
2012-08-03,0.145,0.145,0.0,0.0,0.0,1.252762968495368,0.0,0.1492,0.1646,0.16973333333333332,4,3,8,0.1498739578510861,0.16419435808127536,28.395061728395035,-0.010331279405094318,-0.0076952684067009905,0.2038315662378356,0.1253684337621644,0.10155774291616676,0.07038463562117786,0.05710224651658347,107468.0,-0.9991953867545278,0,0,-1,0,0,63.0,-0.00954403495136389,0.0,-0.14291366116646093,0.2535462764185541,1.117321451841209,0.03571428571428559,-0.19444444444444442,2.23606797749979,0.0,0.0
2012-08-06,0.145,0.145,0.0,0.0,0.0,-inf,0.0,0.1457,0.16285,0.16856666666666664,0,6,8,0.14898778369634316,0.16295601239861246,28.395061728395035,-0.01013348223805055,-0.008182911172970903,0.20231097339210766,0.12338902660789233,0.10155774291616676,0.07038463562117786,0.05710224651658347,107468.0,-0.9046913172988313,0,0,-1,0,0,71.0,-0.009981500372574538,0.0,-0.23303939343359845,0.2535462764185541,1.117321451841209,0.03571428571428559,-0.19444444444444442,2.23606797749979,0.0,0.0
2012-08-08,0.15,0.145,0.033901551675681416,0.033901551675681416,0.033901551675681416,inf,0.033901551675681416,0.144,0.1596,0.1664,2,8,8,0.14857859900333714,0.16103642708348917,32.55813953488371,-0.00913988057659218,-0.008643124332990299,0.19820951614358953,0.12099048385641045,0.05115013098357926,0.07101208290485787,0.05755940186306358,207468.0,-0.497286729224858,0,0,-1,0,0,73.0,-0.00041351789831735,0.03448275862068969,4.005542275750555,0.30525380896651866,1.1272818686817307,0.0714285714285714,-0.16666666666666663,0.6109201740840007,0.0,0.0
2012-08-09,0.15,0.15,0.0,0.0,0.0,-inf,0.0,0.144,0.1581,0.1654,3,9,8,0.14883703554818492,0.1603243995297157,32.55813953488371,-0.00846915102502796,-0.008608329671397831,0.19569003227340706,0.12050996772659292,0.02770432965354519,0.07101208290485787,0.05755940186306358,207468.0,-0.43096531235118474,0,0,-1,0,0,75.0,-0.000592907729612123,0.0,-0.29271105159203004,0.24480330136963976,1.1272818686817307,0.034482758620689724,-0.16666666666666663,2.2360679774997907,0.0,0.0
2012-08-14,0.18,0.15,0.09531017980432493,0.1823215567939546,0.09531017980432493,inf,0.1823215567939546,0.15,0.1551,0.16340000000000002,1,14,8,0.15481757995088413,0.16038776073747896,85.29411764705884,-0.004342483539644726,-0.007443655156449725,0.18975256123290157,0.12044743876709839,0.0625068232448255,0.08471222353354113,0.06859084744512503,257468.0,1.4371232090260722,0,0,-1,0,0,74.0,0.05147860001688169,0.10000000000000009,1.6205749034311536,1.3791793041200981,1.3447648588623788,0.24137931034482762,0.0,2.082439132865087,0.08333333333333326,0.0
