date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2025-11-17,3.85,4.01,0.07004772390543912,0.06749549162144787,0.01052489341794266,0.33733374862797594,-0.040718093018784915,4.06714,4.4042699999999995,4.518723333333333,0,17,11,4.09442687160851,4.517122025288288,23.015111537538985,-0.3011339303835978,-0.287410347373129,5.243485799610385,3.565054200389614,0.03889676281951507,0.05766025445641009,0.055641043541053155,1891844.0,-1.3209236533852797,0,0,-1,0.0,0,11.642857142857142,0.08511017818686595,0.013715710723192172,-0.7109350252546203,0.32357902614729905,0.9153281629461895,-0.08114558472553701,-0.060975609756097504,-0.4439342442090145,0.11945454545454551,0.0
2025-11-18,4.0421,3.85,-0.059548939807219405,0.02985296314968113,-2.610931972310308e-05,1.3224014872661276,0.0486912106033119,4.04143,4.3728750000000005,4.474126666666667,1,18,11,4.084912894952417,4.486475443011625,34.37653906424892,-0.28675322838833495,-0.2872789235761702,5.217198055845029,3.5285519441549726,0.04249828831321605,0.049018456682463775,0.056449144876094495,1898816.0,-0.7835271054370291,0,0,-1,0.0,0,8.9,0.08037375625556352,-0.005194805194805199,0.6803690447914935,0.5119510306008082,0.7781438762039483,0.0017596034696405471,-0.1344539614561029,0.6275923175651086,0.145963731723609,0.0
2025-11-19,3.79,4.0421,0.035901291506544385,-0.10737360139050768,-0.010498784098219695,1.357889869456538,-0.06439833980866987,3.99116,4.319875,4.422793333333333,2,19,11,4.031292368597432,4.441541543462488,39.061864061864064,-0.2923289948776491,-0.288288937836466,5.171140529420081,3.4686094705799175,0.046093399252601815,0.04938102131496076,0.05731818524595741,1871709.0,-1.2449112096926391,0,0,-1,0.0,0,7.857142857142857,0.08006745145023292,-0.0178372628089358,3.4470092923090343,0.6864821737695497,0.7838994113145956,-0.05249999999999999,-0.21855670103092772,0.24170021805064074,0.047493403693931444,0.0
2025-11-20,3.6771,3.79,-0.04376502796675909,-0.04376502796675909,-0.12340567325735988,-0.9135093450987,-0.03024162106124288,3.9478699999999995,4.25573,4.361696666666666,3,20,11,3.9668937561251716,4.392222734206844,31.18601354544022,-0.3023723561455993,-0.29110562149829267,5.097183607189685,3.414276392810314,0.045305246149386476,0.04888449752288882,0.05682835299257186,1860836.0,-1.3753105223056261,0,0,-1,0.0,0,5.171428571428572,0.0824884067225947,0.0026385224274405768,0.7749382909227631,0.6917681849139417,0.7760173404715011,-0.08072500000000005,-0.2586491935483871,0.8809473158220096,0.12237904870686132,0.0
2025-11-21,3.3,3.6771,-0.15021108182317805,-0.10875809376067627,-0.024170360927813068,-1.3801512161416678,-0.10820192956065754,3.88942,4.17973,4.30503,4,21,11,3.845640345920595,4.32175675135479,23.12107133096474,-0.3368772989493145,-0.30025995698849706,5.079169477148147,3.2802905228518533,0.05247656517444369,0.05272167415653377,0.05734493254059695,1858101.0,-1.956173866838402,0,0,-1,0.0,0,5.6571428571428575,0.11664771951468099,-0.11071224606347388,-0.4989438627089821,0.8892619712000953,0.8369306311270162,-0.17705735660847877,-0.3153526970954358,0.8445896424191455,0.0419393939393939,0.0
2025-11-24,2.68,3.3,-0.05016725871801934,-0.0916202467805211,-0.19897319038639671,0.365049287435898,-0.20810567394966908,3.73842,4.05973,4.247363333333333,0,24,11,3.6337057375713955,4.215836960944803,19.268144549043413,-0.40953071796704865,-0.3221141091842074,5.085032319677829,3.0344276803221706,0.06569187055861862,0.062346008403371664,0.06293879458175289,1854161.0,-2.6913622909456376,0,0,-1,0.0,0,13.685714285714283,0.1669308556438303,-0.057575757575757565,-0.26619115050932235,1.3962686206138084,0.9897122008371875,-0.3038961038961039,-0.4724409448818897,-0.12554525392714938,0.16044776119402973,0.0
2025-11-25,2.88,2.68,-0.11939204646208412,-0.052817555839414235,0.02941388520629319,1.6421458586450997,0.07197349962508924,3.6229199999999997,3.9437299999999995,4.1943633333333326,1,25,11,3.496668330740232,4.129653931206429,25.02210120584178,-0.44583147967077696,-0.3468575832815214,4.950636698442469,2.9368233015575305,0.07533261353563507,0.06559228465372363,0.0648354223915389,1874516.0,-2.1128670643375944,0,0,-1,0.0,0,15.028571428571428,0.1620506233965806,0.029850746268656577,1.9724760052018682,1.5307550839180941,1.0412452387098667,-0.28749907226441695,-0.44615384615384623,0.2216898712062229,0.06597222222222236,0.0
2025-11-26,2.91,2.88,0.06317890162153167,0.007598179231071323,0.052922401454342745,-2.624668592163159,0.010362787035546658,3.51392,3.85223,4.13891,2,26,11,3.3900013615147353,4.050966580806014,27.571770334928217,-0.46679838437118226,-0.3708457434994536,4.88668353201322,2.8177764679867803,0.0761818754633113,0.06442857640725584,0.06463517480114248,1875991.0,-1.8216961339312407,0,0,-1,0.0,0,17.657142857142862,0.1530614179283377,0.020833333333333353,-0.6148589386570693,1.6134120553738949,1.0227719429971338,-0.23218997361477567,-0.38607594936708856,-0.38473829635186085,0.02147766323024055,0.0
2025-11-28,2.95,2.91,0.026847250036188056,0.015853481803978373,0.013652089168327263,0.19355763006088045,0.013652089168327263,3.4089199999999997,3.78873,4.090576666666667,4,28,11,3.3100011139666012,3.979936478818529,31.232678635980236,-0.47471492355957645,-0.3916195795114782,4.882354223156003,2.695105776843997,0.0768742099295729,0.0614289163191178,0.06463269311233258,1877781.0,-1.533854101328472,0,0,-1,0.0,0,21.77142857142857,0.15216582225228534,0.037800687285223324,-0.513674056205332,1.6712940596775674,0.9751538153314977,-0.1977373473661308,-0.30094786729857814,-0.6824739445584181,0.02372881355932198,0.0
2025-12-01,2.66,2.95,-0.02345166103504971,-0.02345166103504971,-0.12629372532429212,1.219824158782948,-0.10347904755812076,3.2739200000000004,3.70204,4.03582,0,1,12,3.191819093245401,3.8947792866366893,19.08091504324628,-0.49864138675778236,-0.4130239409607391,4.866304828618378,2.5377751713816226,0.079133143290532,0.06252253977103686,0.0665468116634929,1871719.0,-1.790039472783146,0,0,-1,0.0,0,22.085714285714285,0.1668150992262406,0.0,0.08021380788925354,1.6612503559762988,0.9925145494218528,-0.19393939393939386,-0.3946014839091446,-0.7176490669965504,0.13157894736842107,0.0
