date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,polit_trade_count,polit_purchase_count,polit_sale_count,polit_exchange_count,polit_option_count,polit_stock_count,polit_other_asset_count,polit_distinct_senators,polit_amount_max_ord,polit_amount_sum_logmid,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2023-05-18,4.02,4.25,-0.060624621816434854,-0.04820210181787775,-0.060624621816434854,3.405372753072636,-0.055637080305395846,4.137,4.17075,4.084833333333333,3,18,5,4.163961990929905,4.02689617265156,36.93181818181816,0.09244950843700384,0.11906064631274785,4.408597253062727,3.932902746937273,0.028138965859641242,0.022771530070675686,0.03775006990100261,27577.0,-1.2676202735899857,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,64.0,0.052819807683872545,-0.058823529411764705,3.8919744026562415,0.4062408655674868,0.3614868332366217,-0.054117647058823604,-0.054117647058823604,-1.6733248977977289,0.012437810945273589,0.0
2023-05-19,3.95,4.02,0.01242251999855711,0.0,-0.012578782206860073,-1.8787708462176846,-0.017566323717899054,4.132,4.155749999999999,4.0965,4,19,5,4.125059810760831,4.021935129254685,36.516853932584254,0.06898016533572982,0.10904455011734425,4.409838152958171,3.9016618470418276,0.028681946754138123,0.02300138597449972,0.03650214584278594,26477.0,-1.6195166724980687,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,65.0,0.05108275961394935,0.007462686567164241,0.2071135101956593,0.3957604355782883,0.36513568259001195,-0.07058823529411762,-0.07058823529411762,-1.147305453427497,0.02531645569620244,0.0
2023-05-22,3.95,3.95,-0.025001302205417155,-0.025001302205417155,0.0,-inf,0.0,4.127,4.14075,4.115166666666666,0,22,5,4.093230754258862,4.017294153173737,36.516853932584254,0.04980640461153296,0.097196921016182,4.40656107259819,3.87493892740181,0.028681946754138123,0.02300138597449972,0.03458633448081698,26477.0,-1.4352299032203564,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,67.0,0.04882900092525303,0.0,-0.4307609828603732,0.35354843736806035,0.36513568259001195,-0.08139534883720922,-0.07058823529411762,-1.6350235616517126,0.0,0.0
2023-05-25,3.95,3.95,0.0,0.0,0.0,inf,0.0,4.087,4.09575,4.147166666666666,3,25,5,4.028448700116236,4.00509170896426,46.15384615384617,0.011491155488785765,0.05990078231645743,4.374266275627625,3.817233724372374,0.01824475368430138,0.02300138597449972,0.022119484905327016,26477.0,-1.0466174708932727,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,62.0,0.048419611121493955,0.0,-0.4004378513574463,0.12361957755729232,0.36513568259001195,-0.01741293532338295,-0.07058823529411762,-2.236067977501101,0.0,0.0
2023-05-26,3.97,3.95,0.012578782206859965,0.015075662405447178,0.0050505157860685716,2.760009940032921,0.0050505157860685716,4.058999999999999,4.0817499999999995,4.137833333333333,4,26,5,4.017821663731466,4.002827727740759,47.76119402985076,0.005025822143690739,0.048925790281904094,4.3557318472665445,3.807768152733454,0.018532883869570513,0.02306856420496674,0.018733249582290515,27267.0,-0.8157474746221599,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,65.0,0.04870722988189187,0.01265822784810122,0.01844860746629777,0.03594580121372826,0.36620210393801067,0.005063291139240533,-0.06588235294117639,2.2360679775178123,0.01007556675062962,0.0
2023-05-30,3.95,3.97,0.0,-0.0024968801985871545,-0.0050505157860685915,3.5278486201288635,-0.0050505157860685915,4.024,4.06975,4.127833333333333,1,30,5,4.005490452143926,3.9994194872413558,46.37681159420291,-0.0016923258861547552,0.03880216704829233,4.34479018845101,3.7947098115489895,0.01740703936799055,0.022930261305822323,0.018736363990193777,367.0,-0.8707818350068462,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0.04815413909355296,0.0075566750629722425,4.087094476418447,0.0566922485635182,0.3640066134775984,0.0,-0.05727923627684972,0.010713682175964202,0.01265822784810122,0.0
2023-05-31,3.9,3.95,-0.025317807984289897,-0.025317807984289897,-0.012739025777429826,-4.496099090933729,-0.012739025777429826,3.9839999999999995,4.05525,4.1161666666666665,2,31,5,3.986310369935939,3.9930053267741714,43.243243243243235,-0.010925150400864503,0.028856703558460962,4.3341477363989,3.7763522636011,0.01719428067221317,0.023026463890630375,0.01882586871714489,67.0,-1.113311294703018,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,64.0,0.047130587058689125,-0.012658227848101333,-0.29924338768135944,0.10629099965011668,0.36553378216690063,-0.012658227848101333,-0.06921241050119342,-0.8139311011335267,0.0,0.0
2023-06-01,3.4,3.9,-0.025975486403260677,-0.025975486403260677,-0.19782574332991978,5.870238089673838,-0.137201121513485,3.899,4.01575,4.087833333333333,3,1,6,3.8797084844930407,3.954746918595193,7.0707070707070585,-0.05792038156878965,0.011501286533010842,4.41296762562262,3.61853237437738,0.041324860440736064,0.036154396081807545,0.02963990242101,-106233.0,-3.1003155966950917,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,68.0,0.03414588692335424,-0.025641025641025664,4.112172870741393,0.8938046431528821,0.5739332450051449,-0.139240506329114,-0.1885441527446302,-2.1615344089399127,0.17647058823529402,0.0
2023-06-02,3.3,3.4,-0.11122563511022437,-0.11122563511022437,0.0,-1.1406108923369322,-0.02985296314968116,3.8270000000000004,3.982,4.056166666666667,4,2,6,3.7743069418579425,3.9125051819116323,6.422018348623837,-0.10205715377649405,-0.011210401528890137,4.492380662890592,3.471619337109409,0.039852980962523966,0.035146519541832864,0.02988705943788313,-140209.0,-2.672515044505902,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0.029936848204943006,0.0,1.0082989269265035,0.8591272645646268,0.5579337009429693,-0.16455696202531656,-0.16981132075471705,-1.9466014499786832,0.06060606060606053,0.0
2023-06-05,3.015,3.3,-0.045120435280469544,-0.045120435280469544,-0.06453852113757118,-0.33107126071181386,-0.09032263829328573,3.7335000000000003,3.93275,4.015,0,5,6,3.6362511342474075,3.8546016217883015,1.50943396226414,-0.15820924420957816,-0.04061017006502775,4.601381556161346,3.2641184438386537,0.0451989373317318,0.03897274941246831,0.03308399343893922,-164609.0,-2.7451590985889363,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,69.0,0.021568246133861907,-0.015151515151515098,0.5704267609612393,0.84190928431426,0.6186732171229787,-0.24055415617128462,-0.24624999999999997,-0.8262425235751015,0.08291873963515754,0.0
