date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2021-08-16,1.3301,1.3301,7.518514345105001e-05,0.0,7.518514345105001e-05,-2.6026896854443837,0.0,1.38839,1.4318250000000001,1.4843166666666667,0,16,8,1.391711940260322,1.5086441921821148,47.67234800305266,-0.08090562901187037,-0.08470833145305941,1.6728101873586652,1.190839812641335,0.021273060568088826,0.10392274023300226,0.08907236720066079,272918.0,-0.8442427612664833,0,0,-1,0,0,44.0,0.004827456344081563,0.0,-0.841626806052091,0.35433127047910873,1.6497223573253437,-0.04999642882651223,-0.08268965517241378,-2.2360572504015748,0.0,0.0
2021-08-17,1.3,1.3301,-0.022889862909622406,-0.015226990164053284,-0.022889862909622406,2.9565115604007097,-0.022889862909622406,1.37417,1.42233,1.4726500000000002,1,17,8,1.3750370420311724,1.4951832765574624,8.133427963094377,-0.08305498318397864,-0.08437766179924326,1.6685874014917088,1.1760725985082914,0.021008369990490494,0.10384033229978387,0.08913696893501066,272418.0,-0.9935132853590095,0,0,-1,0,0,31.0,0.006433949908003103,-0.022629877452823105,-0.5586435415233635,0.3504959611408263,1.6484141719412158,-0.0714948932219126,-0.12745821867239404,-1.3840815520594973,0.007692307692307699,0.0
2021-08-18,1.3,1.3,0.0,-0.007662872745569137,0.0,-3.270169119255751,0.0,1.3660700000000001,1.411835,1.4609833333333333,2,18,8,1.36139394348005,1.4825908071021425,21.655328798185934,-0.08379245459307771,-0.08426062035801016,1.6602599692933377,1.1634100307066622,0.017796775864198307,0.10377839249727397,0.08913696893501066,272418.0,-0.900352330267947,0,0,-1,0,0,18.0,-0.01928224097172363,0.0,-0.7582447274301415,0.3504959611408263,1.6474309080590297,-0.0714948932219126,-0.1390158288628386,-1.3840815520594973,0.0,0.0
2021-08-19,1.2145,1.3,-0.07174390485884143,-0.06803179500740107,-0.07174390485884143,4.739425001089989,-0.06803179500740107,1.34751,1.404555,1.4438,3,19,8,1.3346859537564044,1.4652946259987787,6.123757614620047,-0.09023585863618289,-0.08545566801364471,1.6674741228455423,1.1416358771544577,0.02452920989184494,0.10240221479089326,0.08924397869908944,270245.0,-1.445729758589314,0,0,-1,0,0,14.0,-0.056551567164348254,-0.06923076923076929,0.4158729046275489,0.46981945802896297,1.625584764233542,-0.13250000000000006,-0.10705095213587246,-0.3838205287317962,0.0037052284890901183,0.0
2021-08-20,1.2321,1.2145,0.12419038023138403,0.12047827037994355,0.0,0.9633042875815533,0.014387561188395556,1.33071,1.3981549999999998,1.43382,4,20,8,1.3160339621643309,1.4502498114182123,11.386906608749598,-0.09285179218977024,-0.08693489284886982,1.671649343057009,1.1246606569429907,0.025831221030973624,0.10246130714273156,0.08701128411841463,275939.0,-1.2143212773171403,0,0,-1,0,0,23.0,-0.06773764428928765,0.1280362289007824,2.0271407659260863,0.49917965254985464,1.6265228262376425,-0.07367867077663337,-0.09411072715241531,-1.3600755625807954,0.1298595893190489,0.0
2021-08-23,1.2321,1.2321,-0.10609070919154809,-0.10609070919154809,0.018099671039835796,-inf,0.0,1.31391,1.392835,1.4238399999999998,0,23,8,1.3007732417708162,1.4361756300363921,12.945326278659607,-0.09384317269825315,-0.0883165488187465,1.6752104445488931,1.110459555451107,0.025831221030973624,0.10239594578546135,0.08701128411841463,275939.0,-1.1384488495930027,0,0,-1,0,0,30.0,-0.09409752839438712,0.0,-0.8171883195685676,0.49917965254985464,1.6254852468574987,-0.07367867077663337,-0.07949196862159136,-1.3600755625807954,0.0,0.0
2021-08-25,1.09,1.2321,-0.12254233440743313,-0.12254233440743313,-0.12254233440743313,inf,-0.12254233440743313,1.2661000000000002,1.345195,1.3949099999999999,2,25,8,1.2522349800283976,1.4015249790432944,5.097017086591393,-0.10359063260389001,-0.0922087909573121,1.5523124950042027,1.1380775049957972,0.04098564437012186,0.05878163936527721,0.08867334291613291,275733.0,-2.4642534421809374,0,0,-1,0,0,36.0,-0.09391222546439766,-0.11533154776398011,-0.5937118219362697,0.8797555953121916,0.9331295965032488,-0.16153846153846152,-0.423249907402508,-0.985107810835067,0.0,0.0
2021-08-26,1.457,1.09,0.29225873947919273,0.29225873947919273,0.29020183097201546,1.1162550879108595,0.29020183097201546,1.2718,1.345545,1.3908099999999999,3,26,8,1.289464983659598,1.4051040126534047,53.994103608030336,-0.08099999339016484,-0.08996703144388266,1.5534304388459768,1.1376595611540232,0.12168071665365707,0.08503775885804543,0.10883441390432307,276362.0,1.0722732733828226,0,0,-1,0,0,36.0,-0.09838976113040251,0.3394495412844035,-0.312990257544563,2.7004245479552256,1.3499325719320092,0.19967064635652543,0.004827586206896717,1.6703094631817375,0.0020590253946464595,0.0
2021-08-27,1.46,1.457,-0.1961148789262905,0.0,-0.21086508873549456,1.6453512176603127,0.002056908507177175,1.28479,1.3441349999999999,1.3868099999999999,4,27,8,1.3204713502669436,1.408645689256411,54.187054382776466,-0.06213838154590512,-0.08440130146428715,1.548295631031381,1.1399743689686188,0.1199457339630893,0.08486320568824295,0.10883344836649167,279622.0,1.135037635950398,0,0,-1,0,0,47.0,-0.11237897942556604,-0.17638984214138648,0.9650285571149776,2.711323660757547,1.347161626264877,0.18496875253632017,-0.018949065985754632,1.7182856642431985,0.19178082191780824,0.0
2021-08-30,1.46,1.46,0.19611487892629054,0.0,0.21292199724267172,-8.089482474360754,0.0,1.29778,1.3430849999999999,1.3871433333333334,0,30,8,1.3458401956729538,1.4119588705947073,54.187054382776466,-0.04665263572438083,-0.0768515683163059,1.5444791124419717,1.141690887558028,0.1199457339630893,0.0848496008456843,0.10765251391316936,279622.0,1.161056781475547,0,0,-1,0,0,47.0,-0.10381282858133574,0.0,-0.6129475669477014,2.711323660757547,1.3469456560846587,0.18496875253632017,-0.014179608372721253,1.7182856642431985,0.0,0.0
