date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2025-12-18,54.53,53.54,-0.017119339959550544,-0.002531189201724475,0.018461491906896877,-0.0770257202656703,0.018321970845763813,54.867,52.717499999999994,51.45766666666667,3,18,12,54.400344643157204,52.46386495144981,61.50914634146341,1.4240407278561733,1.319659726158919,58.11390377327451,47.32109622672548,0.024267900421812354,0.020663937676531543,0.019306157606181575,-28767005.0,0.6717436560163809,0.0,0.0,-1,0.0,0,42.371428571428574,-0.03603963176803469,0.01680986178558085,-0.40890708573983986,0.3239531913659476,0.3280298411966419,-0.031954553523877105,0.14800000000000013,-0.3073707091107442,0.015496057216211239,0.0
2025-12-19,54.27,54.53,0.001835199634177274,-0.010555148041169497,-0.01090583822069047,0.2600277926902181,-0.004779420862656681,54.82000000000001,53.074,51.60933333333333,4,19,12,54.37664561712862,52.58038979329176,58.67704280155643,1.327394797224251,1.3212067403719856,57.82208504335677,48.325914956643224,0.02111041999530808,0.02056798501440493,0.018808538021090174,-33066973.0,0.5037820464792954,0.0,0.0,-1,0.0,0,44.2,-0.03546990696456671,0.00018338529249950505,-0.27736170344059635,0.3214388040399114,0.3265066399069122,-0.03537148951297542,0.15125159100551544,-0.14678323082346253,0.015754560530679876,0.0
2025-12-22,55.47,54.27,0.00858060946992432,0.015701189280569242,0.020146948863129364,-0.402348319207032,0.021870745991829615,55.034000000000006,53.44,51.81033333333333,0,22,12,54.57543732310523,52.76681625824068,65.07818317200295,1.3322745404929819,1.3234203003961849,57.69258806647891,49.18741193352108,0.020194684159600202,0.02059339862376272,0.0190453102692072,-30191379.0,0.954712738814984,0.0,0.0,-1,0.0,0,54.88571428571429,-0.03634347066636857,0.013635526073336924,-0.4639953764434154,0.38065907321095077,0.32691006844857573,-0.018056293149229963,0.15202492211838003,-0.1419907913755535,0.011267351721651343,0.0
2025-12-23,55.63,55.47,0.010308437426990976,0.005836155734718643,0.004543397184026571,-0.365368625126009,0.0028802900200587157,55.246,53.7675,52.03999999999999,1,23,12,54.76717599163155,52.95153778996709,62.14689265536724,1.3336786180910565,1.3254719639351593,57.593801636113824,49.94119836388617,0.020197307486387588,0.020415925775599402,0.018736101978652744,-28195887.0,0.9735249215175038,0.0,0.0,-1,0.0,0,58.57142857142857,-0.024826311594887324,0.001983053903010626,-1.6467561915331868,0.35460128044259126,0.3240927743243369,0.003970402454430699,0.13345558272208646,-1.0222808753824948,0.01258313859428371,0.0
2025-12-24,55.85,55.63,0.0023362397183664513,0.016162326776632086,0.001630582841580052,-0.8920183252348906,0.003946901428007812,55.378,54.021,52.24433333333334,2,24,12,54.96405308406217,53.1385353519047,62.44995996797437,1.3371299197067472,1.3278035550894771,57.68215253639314,50.35984746360686,0.019505052821694034,0.019311706349986496,0.01850537667596736,-27378079.0,0.9991389224126014,0.0,0.0,-1,0.0,0,58.0,-0.015568497715038116,0.0014380729822038162,-2.004727499758425,0.17983143475920782,0.3065638343662269,0.043145311916324314,0.09984245766049615,0.24620366424088314,0.02721575649059975,0.0
2025-12-26,55.75,55.85,0.010001869412463572,-0.00867031884665419,0.00784388460233982,0.4352151365800221,-0.0017921151749815767,55.32000000000001,54.298500000000004,52.434999999999995,4,26,12,55.1069525233236,53.3070169421044,54.76864966949951,1.3166187751639882,1.3255665991043792,57.55970594420644,51.037294055793566,0.01631329894022651,0.018999620509059317,0.018530659591086133,-28641834.0,0.890161507634069,0.0,0.0,-1,0.0,0,54.85714285714285,-0.016482027804545968,0.007520143240823665,-1.5413082208744078,0.16621724734993265,0.30160962522944024,0.022373005684944047,0.11055776892430269,1.612126008353045,0.01067264573991042,0.0
2025-12-29,55.19,55.75,-0.009284123104959501,-0.0062394355196328495,-0.009655807547780539,0.4069108092448458,-0.010095632888818273,55.213,54.4825,52.61633333333334,0,29,12,55.122052064537485,53.42849972003315,59.54825462012319,1.2408722228850237,1.3086277238605084,57.486370310467215,51.47862968953279,0.016568487685815286,0.018645840651878805,0.01862582800201094,-30540209.0,0.4710589518692995,0.0,0.0,-1,0.0,0,47.885714285714286,-0.020927385731747745,0.0,-1.1642958970799078,0.1875615922000904,0.29599354410365875,0.016952275658743243,0.07144243836148312,0.9959615314832527,0.014132995107809406,0.0
2025-12-30,54.96,55.19,-0.01118337773863588,-0.011149189397265797,-0.003997824695880327,-0.5158151143142883,-0.004176129537315983,55.06,54.628499999999995,52.821,1,30,12,55.09258805280339,53.52730618970843,57.40551583248213,1.1490380611521047,1.2767097913188277,57.40798329162493,51.84901670837506,0.016448067178135902,0.018653945989403852,0.018209597760893717,-31673565.0,0.23853354398558352,0.0,0.0,-1,0.0,0,46.114285714285714,-0.02138747307631196,-0.0010871534698314038,-1.403589505243634,0.09002309909231838,0.2961222123479598,-0.00919415900486742,0.05611068408916231,-0.6116825637660773,0.006914119359534124,0.0
2025-12-31,54.08,54.96,-0.007830323173656705,-0.008991477860602306,-0.017078736669574688,0.2834349893455602,-0.01614121617938525,54.927,54.7615,53.02166666666667,2,31,12,54.90848113411187,53.56296385488854,47.668393782383404,0.9937943382997858,1.2201267007150194,57.11673403686814,52.40626596313186,0.016128031307902687,0.018846705833555105,0.018226329837015724,-33178302.0,-0.578711065934,0.0,0.0,-1,0.0,0,43.25714285714286,-0.021030252773192957,-0.004730713245997053,-1.116036542844883,0.1219382997539081,0.29918218001026253,-0.027862664030199658,0.05173084402956052,-0.2551221765442583,0.015070266272189308,0.0
2026-01-02,55.43,54.08,0.00018279864779909523,0.011519924213961027,0.0016655875045130653,-0.06963334030465235,0.024656531697004623,55.116,54.902,53.28266666666666,4,2,1,55.00330274609152,53.68341779973444,45.10869565217392,0.9685316569961273,1.169807691971241,57.04503866900326,52.75896133099674,0.013950840913459899,0.018943690453674368,0.018422516162137484,-31774780.0,0.4927582573631994,0.0,0.0,-1,0.0,0,45.22857142857142,-0.02150649680664507,0.011649408284023716,-1.1150487238608702,0.24987261699368601,0.3007217631252644,-0.007520143240823618,0.05340174838464473,1.5562508154298902,0.02453545011726501,0.0
