date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,polit_trade_count,polit_purchase_count,polit_sale_count,polit_exchange_count,polit_option_count,polit_stock_count,polit_other_asset_count,polit_distinct_senators,polit_amount_max_ord,polit_amount_sum_logmid,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2013-08-12,1.05,9.0,-2.2644333270296695,-2.0838958920292163,-2.2644333270296695,inf,-2.1484344131667874,8.205,8.6025,8.735000000000001,0,12,8,7.554545454545455,8.487096774193562,0.0,-0.6341880341880346,-0.12683760683760692,12.157848084224675,5.047151915775324,0.2793345266482068,0.19751933801248142,0.16127386415429892,-90114.0,-4.248529157249589,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.03920651519419246,-0.8961111111111111,4.2485291572496005,6.271044570085594,3.135522285042797,-0.8833333333333333,-0.8833333333333333,-2.2360679774997885,0.17619047619047623,0.0
2013-08-13,1.05,1.05,0.1159989138628821,-0.06453852113757118,0.1159989138628821,-1.2237754316221157,0.0,7.410000000000001,8.205,8.47,1,13,8,6.37190082644628,8.0072840790843,0.0,-1.1238317870796504,-0.3262364428860156,13.098916739446192,3.3110832605538087,0.2793345266482068,0.19751933801248142,0.16127386415429892,-90114.0,-2.9240383034426856,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.03820675556917351,0.0,0.9986015065801269,6.271044570085594,3.135522285042797,-0.8833333333333333,-0.8833333333333333,-2.2360679774997885,0.0,0.0
2013-08-14,1.163,1.05,0.10556049566049253,0.10556049566049253,0.023530497410194036,0.7246458476193163,0.10221270936709527,6.6263000000000005,7.8131499999999985,8.208766666666666,2,14,8,5.424827948910592,7.5657173643046685,1.401463475133312,-1.4856343651334285,-0.5581160273354981,13.610632403686335,2.015667596313663,0.2851288932477314,0.2002331541682487,0.1631375432050247,-38514.0,-2.294150990702962,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0.03425468622163437,0.11133333333333333,1.9770177928324242,6.504254431853486,3.178602780955454,-0.8707777777777778,-0.8707777777777778,-2.1612529653353376,0.07901977644024083,0.0
2013-08-15,1.163,1.163,-0.0033477862933972346,-0.0033477862933972346,0.07868221195690127,-1.9286186519452522,0.0,5.8426,7.4213,7.947533333333333,3,15,8,4.649950140017757,7.152638824672109,1.401463475133312,-1.7521676172823035,-0.7969263453248593,13.900355554956338,0.9422444450436611,0.2851288932477314,0.2002331541682487,0.1631375432050247,-38514.0,-1.931855637574379,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,43.0,0.03289276290757079,0.0,-0.04354408630102892,6.504254431853486,3.178602780955454,-0.8707777777777778,-0.8707777777777778,-2.1612529653353376,0.0,0.0
2013-08-16,1.0699,1.163,-0.12144407129498298,-0.07441227137481497,-0.12144407129498298,0.550046336919272,-0.08343768737410354,5.04959,7.024794999999999,7.683196666666666,4,16,8,3.9990319327418007,6.760204061790038,1.3854660928629983,-1.9484490243245007,-1.0272308811247877,14.045065322723001,0.004524677276996236,0.2838298337694117,0.20021713641905356,0.16335456674905588,-51514.0,-1.6964859546007427,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0.03478568362120715,-0.11435941530524506,0.17817483790474734,6.40807719840161,3.178348507069854,-0.8811222222222223,-0.8811222222222223,-2.0825666723155383,0.046359472847929586,0.0
2013-08-19,1.345,1.0699,0.16929205650362072,0.27406626945145685,0.1653498700578816,2.9995710498611565,0.22882882689137848,4.284090000000001,6.642044999999999,7.428029999999999,0,19,8,3.5164806722432913,6.410836057803584,4.603140715437888,-2.058080907057568,-1.2334008863113437,14.033770293504325,-0.749680293504329,0.3034148668800852,0.21107041331143192,0.1714478386391161,209486.0,-1.4332364338958636,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0.019859042378677357,0.1402934853724646,3.962200921349984,2.068171155705276,3.350638936473996,0.28095238095238084,-0.8505555555555555,0.9821913523966596,0.15226765799256498,0.0
2013-08-20,1.43,1.345,0.09969696701692178,0.050130646943884014,0.10363915346266092,-2.46442811844446,0.06128043121801336,3.5270900000000003,6.263545,7.175696666666666,1,20,8,3.1371205500172383,6.0894917960098045,5.555294614969128,-2.113740292024414,-1.4094687674539579,13.917492446211561,-1.3904024462115627,0.30545160593380577,0.21201304077807057,0.17208852596377158,231686.0,-1.2630201693878722,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0.01374572216184663,0.002156133828996375,-0.017733616223530268,2.0062972113102373,3.3656026836082242,0.36190476190476173,-0.8411111111111111,0.6119254169456574,0.10146853146853148,0.0
2013-08-21,1.434,1.43,0.11620732925317016,0.03746741237410195,0.06191991641534166,1.871108935972615,0.0027932979056126536,2.7704899999999997,5.885245,6.923496666666666,2,21,8,2.827462268195922,5.7891374865898175,5.599633811412872,-2.132940775493887,-1.5541631690619437,13.71558989809055,-1.9450998980905503,0.3055073634315466,0.21203255296945503,0.17209928721547696,375886.0,-1.136921823478158,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0.012054406326415697,0.058741258741258795,1.7356631581185444,2.0190539500478106,3.3659124300438474,0.23301805674978504,-0.8406666666666667,1.3624151229253576,0.08089260808926088,0.0
2013-08-22,1.7929,1.434,0.039373125072188396,0.1594820648241318,0.07326083120359518,0.294592949991628,0.22336667844181587,2.04978,5.52489,6.68326,3,22,8,2.6393600376148454,5.531315713261442,9.415368674753068,-2.095046672508501,-1.6623398697512553,13.414809020036703,-2.365029020036703,0.3202516876346294,0.2208877799407121,0.1789206775367074,569486.0,-0.9460147792448799,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,32.0,-0.001204658921841207,0.098186889818689,2.0604166045489487,2.387585764293499,3.506484800257715,0.5416165090283749,-0.8007888888888889,0.10152404783583417,0.1533827876624464,0.0
2013-08-23,2.01,1.7929,0.3519010575291724,0.2082923418613305,0.23153340368938582,-0.9483060613061661,0.11430030145173985,1.3507799999999999,5.17539,6.450259999999999,4,23,8,2.5249309398666915,5.3041340543413495,11.577361975330362,-2.024163866209313,-1.734704669042867,13.036372426590074,-2.685592426590074,0.32370850927960243,0.2229450376596192,0.18049919397647027,644486.0,-0.8053420878522632,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,27.0,-0.009295247357145535,0.24881476936806288,0.4188877016514811,1.7916934262806263,3.5391427540996925,0.8786802504906996,-0.7766666666666667,0.021413720741683916,0.14626865671641784,0.0
