date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2011-03-29,0.48,0.46,0.0,0.0425596144187959,0.0,0.0,0.0425596144187959,0.462,0.46349999999999997,0.461,1,29,3,0.4640633239129876,0.45414541537657405,50.0,0.006909365879106899,0.008159538022055164,0.4842997975695989,0.44270020243040104,0.013749033305079691,0.03165651661070914,0.043766060594414166,250000.0,1.5865539022472501,0.0,0.0,-1,0.0,0,23.0,0.012958007860210606,0.0,0.0,0.30866503216172636,0.5025316219591301,0.04347826086956519,-0.020408163265306145,2.236067977500087,0.04166666666666659,0.0
2011-03-30,0.46,0.48,0.0,-0.04255961441879589,0.0,0.0,-0.04255961441879589,0.462,0.4625,0.46166666666666667,2,30,3,0.4633245377469898,0.4545231305135693,55.55555555555557,0.006120990868950571,0.007751828591434246,0.48183091333887856,0.4431690866611215,0.020072485568274855,0.03269785436966826,0.0427139896419426,250000.0,-0.2586530658095676,0.0,0.0,-1,0.0,0,24.0,0.028033591596339807,-0.04166666666666659,0.0,0.47793961542483915,0.5190623464052931,0.0,-0.04166666666666663,0.09023490868840352,0.0,0.0
2011-03-31,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.462,0.4615,0.4633333333333333,3,31,3,0.46272007633844614,0.4548764769320487,55.55555555555557,0.005433563258498142,0.007288175524847025,0.4790018795979916,0.4439981204020084,0.020072485568274855,0.03269785436966826,0.04059296814708183,250000.0,-0.17141016101746373,0.0,0.0,-1,0.0,0,24.0,0.028275749107710527,0.0,0.0,0.47793961542483915,0.5190623464052931,0.0,-0.04166666666666663,0.09023490868840352,0.0,0.0
2011-04-01,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.462,0.4614999999999999,0.4653333333333333,4,1,4,0.46222551700418324,0.4552070268074004,33.33333333333333,0.004833059424001307,0.006797152304677883,0.4790018795979915,0.4439981204020083,0.020072485568274855,0.03131003033740356,0.04023451439508522,250000.0,-0.17141016101745105,0.0,0.0,-1,0.0,0,27.0,0.028503622216980266,0.0,0.0,0.47793961542483915,0.49703132288794544,0.0,0.0,0.09023490868840352,0.0,0.0
2011-04-04,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.462,0.4615,0.466,0,4,4,0.46182087754887713,0.45551625088434233,50.0,0.004307501611515108,0.006299222166045328,0.4790018795979916,0.4439981204020084,0.020072485568274855,0.03131003033740356,0.03605526931648993,250000.0,-0.17141016101746373,0.0,0.0,-1,0.0,0,31.0,0.028695875007987905,0.0,0.0,0.47793961542483915,0.49703132288794544,0.0,0.0,0.09023490868840352,0.0,0.0
2011-04-05,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.462,0.4620000000000001,0.4653333333333333,1,5,4,0.4614898089036267,0.4558055250208364,50.0,0.0038466514551624975,0.005808708023868762,0.4786701750689974,0.44532982493100276,0.020072485568274855,0.030873031705448896,0.031916814827754915,250000.0,-0.23994948963908577,0.0,0.0,-1,0.0,0,35.0,0.028830931792845543,0.0,0.0,0.2958039891549893,0.4900941846673806,-0.04166666666666663,0.022222222222222143,-2.2360679774994536,0.0,0.0
2011-04-06,0.48,0.46,0.0425596144187959,0.0425596144187959,0.0425596144187959,0.0,0.0425596144187959,0.4640000000000001,0.462,0.4663333333333333,2,6,4,0.46485529819387633,0.45736645889045985,66.66666666666666,0.005037191629471305,0.005654404744989272,0.47867017506899734,0.4453298249310027,0.024293831751076484,0.0286545678466137,0.030708980885782562,250000.0,2.1595454067517053,0.0,0.0,-1,0.0,0,37.0,0.02538893234507851,0.04347826086956513,0.0,0.30866503216172636,0.4548771626890048,0.04347826086956519,0.0,2.236067977500087,0.0,0.0
2011-04-07,0.48,0.48,-0.02105340919783238,0.0,-0.02105340919783238,0.0,0.0,0.466,0.46349999999999997,0.4663333333333333,3,7,4,0.46760888034044423,0.45882668734913984,66.66666666666666,0.00591254713208389,0.005706033222408195,0.48100187959799195,0.445998120402008,0.024293831751076484,0.024548932677886517,0.02822502642522261,250000.0,1.8855117711920562,0.0,0.0,-1,0.0,0,37.0,0.02553443023479359,-0.020833333333333353,0.0,0.30866503216172636,0.3897022249065277,0.04347826086956519,0.06666666666666665,2.236067977500087,0.020833333333333353,0.0
2011-04-08,0.48,0.48,0.021053409197832263,0.0,0.021053409197832263,0.0,0.0,0.4680000000000001,0.465,0.46633333333333327,4,8,4,0.46986181118763615,0.46019270752016306,66.66666666666666,0.006530987515816433,0.005871024081089843,0.48277046633246146,0.4472295336675386,0.024293831751076484,0.024548932677886517,0.02822502642522261,250000.0,1.688194301642983,0.0,0.0,-1,0.0,0,37.0,0.02567551069024574,0.0,0.0,0.30866503216172636,0.3897022249065277,0.04347826086956519,0.06666666666666665,2.236067977500087,0.0,0.0
2011-04-11,0.47,0.48,-0.02105340919783238,-0.02105340919783238,-0.02105340919783238,0.0,-0.02105340919783238,0.46900000000000003,0.46449999999999997,0.4656666666666667,0,11,4,0.46988693642624774,0.46082543606724935,57.142857142857125,0.006143372574116179,0.005925493779695111,0.48101155894930275,0.4479884410506972,0.02558438125935237,0.02009472159294585,0.028209144090570324,250000.0,0.6661999653560575,0.0,0.0,-1,0.0,0,34.0,0.028582156735123026,-0.020833333333333353,0.0,0.3741325821629567,0.3189938160000866,0.021739130434782483,-0.02083333333333337,1.3525393413017792,0.0,0.0
