date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2019-03-25,4.35,4.74,-0.010604553248797112,0.0,-0.08586129060639251,4.200038355670047,-0.08586129060639251,4.561,4.4475,4.344166666666666,0,25,3,4.536182165234599,4.464982306576211,41.8960244648318,0.06289055247282604,0.0491517579336362,5.0014855593785645,3.893514440621435,0.07940538161920808,0.07401958698353991,0.06329786303304037,28534.0,-0.3519947346980348,0.0,0.0,-1,0.0,0,56.0,0.05173044137571845,-0.010548523206751016,-0.5465514786897018,0.9741932672116719,1.1750245158369614,-0.1030927835051546,0.051995163240628806,0.8154261934590536,0.08965517241379324,0.0
2019-03-26,4.11,4.35,-0.04580953603129422,0.0021074823395645778,-0.056752816592449365,1.9663594104477213,-0.056752816592449365,4.537,4.4445,4.340833333333333,1,26,3,4.458694498828308,4.442080222280972,41.76829268292682,0.025343434424933697,0.0443900932318957,5.005419358121799,3.8835806418782006,0.08036645783185609,0.07521908498748568,0.06400199448948884,-35789.0,-1.1926848134464474,0.0,0.0,-1,0.0,0,54.0,0.04502448445289796,0.02988505747126455,0.3389821684121771,0.9980480188491204,1.1940659563363147,-0.11612903225806448,-0.014388489208633004,0.9233451456909646,0.15571776155717754,0.0
2019-03-27,4.21,4.11,-0.06453852113757118,-0.12068197035225985,-0.07317260588965957,-1.7757968844737528,0.02403961918614678,4.525,4.4465,4.347833333333333,2,27,3,4.413477317223161,4.427107304714458,47.266881028938904,0.0036145706047907566,0.036234988706474715,5.003570344230452,3.8894296557695487,0.08081953504629752,0.07538537505339604,0.0633967261302477,-24896.0,-0.8490848685427916,0.0,0.0,-1,0.0,0,51.0,0.06065383575027593,0.021897810218978065,-0.5871393914938481,1.0266915458028119,1.1967057292957108,-0.10615711252653925,0.00959232613908867,0.7625812062067855,0.09263657957244659,0.0
2019-03-28,4.25,4.21,0.10178269430994238,0.13115327021955522,0.10195157043970296,-1.3272099596162101,0.009456335242035444,4.529999999999999,4.449,4.347833333333333,3,28,3,4.3837541686371315,4.415681026990945,47.77070063694268,-0.010259776497655082,0.02693603566564876,5.001845271967504,3.8961547280324957,0.08015441386981384,0.07539390247753962,0.062427765984451294,-22007.0,-0.7199120987027163,0.0,0.0,-1,0.0,0,48.0,0.06967658349033774,0.10451306413301673,-0.7268900880897451,0.9774914547507725,1.196841097957358,-0.040632054176072185,0.011904761904761862,-0.10594221320419572,0.1341176470588234,0.0
2019-03-29,4.36,4.25,-0.02835522575512535,-0.06010392406970544,0.01641302964133005,1.209461349145296,0.025553074424617486,4.465999999999999,4.4545,4.350499999999999,4,29,3,4.379435228884925,4.412088702668949,53.3112582781457,-0.012238142159141319,0.019101200100690743,5.001163564389983,3.9078364356100184,0.04805985749746753,0.07554434600130878,0.06257726299011396,-12324.0,-0.34573366931981975,0.0,0.0,-1,0.0,0,49.0,0.06803433419264658,0.06352941176470578,-0.5878497808135893,0.7920295293009146,1.1992293148588786,-0.08016877637130804,0.025882352941176467,-0.7015914271995831,0.050458715596330216,0.0
2019-04-01,4.34,4.36,-0.0710493461498497,-0.008888947417245815,-0.023530497410194046,-0.9682745683102592,-0.0045977092486295425,4.415000000000001,4.467,4.356833333333333,0,1,4,4.372265187269484,4.407437818625791,49.82456140350878,-0.015244119333706507,0.012232136213811294,4.989467828271682,3.944532171728317,0.04770543890686504,0.07494883346400356,0.06228815403869742,-16001.0,-0.48615433574202754,0.0,0.0,-1,0.0,0,54.0,0.05216231697201388,-0.03440366972477072,-0.6860054514607403,0.5275258222260996,1.1897758464008945,-0.0022988505747125743,0.06112469437652801,-1.536474868195417,0.06451612903225812,0.0
2019-04-02,4.5,4.34,0.06661474908198403,0.004454350349380153,0.039678483818176236,-0.955674634844754,0.03620304866396064,4.4,4.4479999999999995,4.365166666666667,1,2,4,4.395489698675032,4.413409572262837,52.84280936454849,-0.004661974734476715,0.008853314024153694,4.933564240424404,3.9624357595755955,0.04841368441727651,0.06124412972131734,0.06247888022452898,-14587.0,0.21418381203092818,0.0,0.0,-1,0.0,0,56.0,0.06078767894056921,0.03686635944700464,-0.7589802235147884,0.25593992622587547,0.9722204190311113,0.0948905109489051,-0.07786885245901642,-0.5888346810342459,0.028888888888888867,0.0
2019-04-03,4.47,4.5,-0.022472855852058514,-0.006688988150796652,0.006841531816716784,-1.0197671207381465,-0.006688988150796652,4.376,4.439,4.3774999999999995,2,3,4,4.4090370261886624,4.417060567600719,54.6712802768166,0.0012888448202978964,0.007340420183382534,4.915385513942981,3.9626144860570194,0.048129931726717416,0.060348806675706294,0.06208053710858714,-15097.0,0.130146694610492,0.0,0.0,-1,0.0,0,62.0,0.06392448578828186,-0.022222222222222143,-0.7105655592327563,0.3012686515833381,0.9580076063006007,0.061757719714964354,-0.03870967741935494,0.37223885194078143,0.01565995525727056,0.0
2019-04-04,4.47,4.47,0.01578386770126195,0.0,0.01578386770126195,-3.5953533961031128,0.0,4.38,4.443499999999999,4.3925,3,4,4,4.420121203245269,4.4204760148522855,37.32057416267942,0.005936480143038381,0.007059632175313704,4.919238760688083,3.9677612393119155,0.04403973648928463,0.05880194001000158,0.06192090817170999,-15097.0,0.11140567971242116,0.0,0.0,-1,0.0,0,70.0,0.06427269089318283,0.0,-0.6467294087025561,0.31391476685388764,0.9334518592476185,0.051764705882352935,0.020547945205479312,0.7145916974068411,0.0,0.0
2019-04-05,4.44,4.47,-0.011248712535870653,-0.004484312447328576,-0.03645050450982103,4.791056808946542,-0.006734032181343956,4.35,4.446,4.407833333333333,4,5,4,4.423735529927947,4.421735626797299,39.593908629441636,0.007116975280307969,0.007071100796312558,4.921080048656602,3.9709199513433973,0.03695252735732919,0.058838670707190725,0.061896259000375715,-16783.0,-0.025258901176615223,0.0,0.0,-1,0.0,0,74.0,0.06828203189869489,-0.011185682326621885,-0.5843770510669855,0.2967946527946757,0.9340349409890856,0.01834862385321112,0.011389521640091216,2.1220739878098684,0.031531531531531654,0.0
