date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2011-03-29,5.5,5.35,-0.08701137698962981,-0.08701137698962981,0.04652001563489291,-1.5926307941177191,0.027651531330510164,5.885,5.9385,5.926,1,29,3,5.811246081214683,5.957579473050196,18.75000000000003,-0.09991508330688248,-0.054677287694847324,6.293451442190416,5.583548557809585,0.03632792315288183,0.025378518784451583,0.031897315809708164,-114073.0,-2.470760492161995,0,0,-1,0,0,23.0,-0.007680824930013499,0.028037383177570162,0.5592431092329995,0.8412260319255724,0.4028714960810407,-0.08333333333333337,-0.08026755852842815,-1.9249675127318606,0.0,0.0
2011-03-30,5.5,5.5,0.0,0.0,-0.04652001563489282,-0.2876820724517809,0.0,5.835,5.914499999999999,5.907666666666667,2,30,3,5.7546558846301945,5.928058216724377,18.75000000000003,-0.1194068583658714,-0.06762320182905214,6.319077752591513,5.509922247408486,0.03632792315288183,0.025378518784451583,0.030851789347840802,-114073.0,-2.0490498913740516,0,0,-1,0,0,24.0,-0.009092863473239704,0.0,0.3038331526645388,0.8412260319255724,0.4028714960810407,-0.08333333333333337,-0.08026755852842815,-1.9249675127318606,0.045454545454545456,0.0
2011-03-31,5.3,5.5,-0.0370412716803491,-0.0370412716803491,0.009478743954543739,0.8472978603872037,-0.0370412716803491,5.765,5.8805,5.884333333333333,3,31,3,5.671991178333795,5.887538331774418,15.000000000000014,-0.14927184613726396,-0.08395293069069451,6.367746830345226,5.393253169654773,0.037243305294681894,0.02637152563623402,0.03144736285374376,-116173.0,-2.382775890358084,0,0,-1,0,0,24.0,0.008757722185101059,-0.0363636363636364,1.0824448842327643,0.8370935288355831,0.41863499116103775,-0.1166666666666667,-0.11371237458193995,-1.2941139754962054,0.0,0.0
2011-04-01,5.3,5.3,0.0,0.0,0.0,-inf,0.0,5.695,5.846500000000001,5.861,4,1,4,5.604356418636741,5.849632632950262,15.000000000000014,-0.1709692371702669,-0.101356191986609,6.395500047931541,5.297499952068461,0.037243305294681894,0.02637152563623402,0.03144736285374376,-116173.0,-1.9908923580573135,0,0,-1,0,0,27.0,0.007321775549549811,0.0,-0.42794332632458126,0.8370935288355831,0.41863499116103775,-0.1166666666666667,-0.11371237458193995,-1.2941139754962054,0.0,0.0
2011-04-04,5.25,5.3,-0.019048194970694363,-0.00947874395454377,-0.09909090264423089,inf,-0.00947874395454377,5.62,5.8100000000000005,5.835999999999999,0,4,4,5.539927978884606,5.8109466566308905,14.285714285714306,-0.19000885422267277,-0.11908672443382176,6.415761808319329,5.204238191680672,0.037033860415784235,0.026349212055229942,0.03145691969386579,-122073.0,-1.8489115434784755,0,0,-1,0,0,31.0,0.009168805634297202,-0.01886792452830182,2.7562003814790654,0.36669112397683085,0.4182807740438612,-0.01869158878504662,-0.12207357859531776,-0.1323831856430549,0.08571428571428574,0.0
2011-04-05,5.25,5.25,0.009569451016150672,0.0,0.0408219945202552,-0.7817005779013904,0.0,5.545,5.7725,5.8276666666666666,1,5,4,5.487213800905586,5.774756549751479,14.285714285714306,-0.20276059004182212,-0.13582149755542183,6.420147564975194,5.124852435024806,0.037033860415784235,0.02629642812236945,0.027654918135134956,-122073.0,-1.6135318906665328,0,0,-1,0,0,35.0,0.008547153785497386,0.0,0.9417374260736029,0.24997053864636593,0.4174428550864485,-0.045454545454545414,-0.125,-1.9024452494243438,0.047619047619047616,0.0
2011-04-06,5.25,5.25,0.009478743954543739,0.009478743954543739,0.04879016416943204,-0.20479441264601328,0.0,5.470000000000001,5.735,5.819333333333333,2,6,4,5.4440840189227515,5.740901288477191,14.285714285714306,-0.21044060425862643,-0.15074531889606277,6.413310594901137,5.056689405098863,0.037033860415784235,0.02629642812236945,0.027654918135134956,-122073.0,-1.4300233658319557,0,0,-1,0,0,37.0,0.00813437726766281,0.00952380952380949,0.6115297371130857,0.24997053864636593,0.4174428550864485,-0.045454545454545414,-0.125,-1.9024452494243438,0.00952380952380949,0.0
2011-04-07,5.0,5.25,-0.05826890812397576,-0.05826890812397576,-0.048790164169432056,-1.4816045409242156,-0.048790164169432056,5.37,5.6850000000000005,5.786,3,7,4,5.363341470027706,5.69310120534963,11.538461538461561,-0.2340025458329471,-0.16739676428343964,6.425625624581481,4.94437437541852,0.03827312190239024,0.02780788419897071,0.02290734730438537,-122573.0,-1.849787469579079,0,0,-1,0,0,37.0,0.013489575725258487,-0.047619047619047616,-0.315784312832631,0.3277964942253177,0.4414364764641544,-0.05660377358490565,-0.16666666666666663,-2.035211069547141,0.0,0.0
2011-04-08,5.0,5.0,0.0,0.0,0.0,-inf,0.0,5.2700000000000005,5.635,5.752666666666666,4,8,4,5.297279384568123,5.64838499855288,11.538461538461561,-0.249796060789091,-0.1838766235845699,6.41978961310617,4.8502103868938296,0.03827312190239024,0.02780788419897071,0.02290734730438537,-122573.0,-1.6182681049681364,0,0,-1,0,0,37.0,0.013017533282167756,0.0,-0.5856854349118028,0.3277964942253177,0.4414364764641544,-0.05660377358490565,-0.16666666666666663,-2.035211069547141,0.0,0.0
2011-04-11,5.3,5.0,0.058268908123975824,0.058268908123975824,0.058268908123975824,inf,0.058268908123975824,5.265,5.6,5.73,0,11,4,5.297774041919373,5.625908547033339,28.125,-0.23539159460613757,-0.19417961778888346,6.378662821425877,4.821337178574122,0.029929711358563364,0.03175114223163726,0.025868528045979045,-122373.0,-0.7705517503728859,0,0,-1,0,0,34.0,0.0006076736388938895,0.05999999999999996,-0.48459675353015635,0.6064039200777968,0.5040337571229154,0.00952380952380949,-0.1166666666666667,0.4827601945932461,0.0,0.0
