date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2022-05-18,30.38,31.74,-0.07725968232096708,-0.09011731386557795,-0.04190323106736614,-0.16654609983711594,-0.043793217930636216,32.624,36.9675,38.42833333333333,2,18,5,33.166973238729454,37.158041752863696,29.136061559986004,-2.8280696277713773,-2.2365269736957334,46.93933375418132,26.995666245818686,0.08200279115532166,0.06426869672574927,0.06082012600531084,-17540670.0,-1.3212213846300398,0.0,0.0,-1,0.0,0,6.0,0.02660863352640528,-0.023314429741650867,-0.3523887687830438,1.5850621367651245,1.0202339317353821,0.061866480251660194,-0.3296557811120918,1.6327670017364018,0.08342988808426588,0.0
2022-05-19,32.08,30.38,-0.019544596072970283,0.04211271942564084,0.017309103449908828,0.26350145379234957,0.054448285830686824,32.101,36.433,38.227000000000004,3,19,5,32.969341740778646,36.83042615590475,35.60525381611643,-2.7512665061215955,-2.339474880180906,46.23990218806594,26.626097811934056,0.08433201981640953,0.06562850456517991,0.06182738772414021,-16837309.0,-0.8877421058195489,0.0,0.0,-1,0.0,0,13.714285714285714,0.015614642439137247,0.0006583278472679254,-0.0327147733620747,1.6096800510974165,1.0418202119791993,0.08708912233141297,-0.24994154781388833,1.3415172440656118,0.10567331670822945,0.0
2022-05-20,32.3,32.08,0.07140224731026415,0.03749420442758043,0.04891833643312968,-0.16298210746480765,0.006834447230296989,31.732999999999997,35.956,38.037333333333336,4,20,5,32.847643242455256,36.53814059745929,34.65417867435157,-2.6421897982065587,-2.4000178637860365,45.581932955466414,26.330067044533592,0.08407475257745163,0.06572346689397844,0.06185883381863908,-16239729.0,-0.7596146819044324,0.0,0.0,-1,0.0,0,12.657142857142858,0.04095953831255902,0.017768079800498764,-0.25401841299041705,0.7433485473835141,1.043327692214722,-0.07476367802921802,-0.2280114722753347,0.9081817532711164,0.0979876160990712,0.0
2022-05-23,32.63,32.3,-0.005528269607685466,-0.025485654237516357,-0.009335332563466869,-0.29722803155614747,0.010164880376618559,31.703999999999997,35.3795,37.90666666666666,0,23,5,32.80807174382703,36.28600249439741,38.79142300194932,-2.5002956276382875,-2.420073416556487,44.291206021324,26.467793978676003,0.07961340646162032,0.06407885899579549,0.06156174462561325,-15795802.0,-0.6170535682889389,0.0,0.0,-1,0.0,0,17.885714285714283,0.011238885881030945,0.005263157894736896,-0.5598428990846406,0.6165344342544299,1.0172203511978937,-0.0030553009471431247,-0.26109601449275355,0.5013991968224203,0.07937480845847368,0.0
2022-05-24,29.62,32.63,-0.02179413783332977,-0.04814131473566655,-0.06376262558590862,0.5537181203959822,-0.09678230176557658,31.451,34.761,37.62466666666667,1,24,5,32.228422335858475,35.855937817339516,31.364636830520908,-2.6007455438296674,-2.456207842011123,43.45534395696886,26.066656043031145,0.0848441376736795,0.06604841800596487,0.06311689813636559,-16568106.0,-1.1826079173873236,0.0,0.0,-1,0.0,0,16.0,0.04619634423396856,-0.026356114005516487,0.073001395530122,0.9000200207824129,1.048486131198142,-0.06679269061121607,-0.2945939509407002,-0.4542241118561785,0.0987508440243078,0.0
2022-05-25,32.77,29.62,-0.07957067556658914,0.03613276454560235,0.011311174581523024,-0.5907902492320146,0.10106365387107061,31.867,34.356,37.41366666666667,2,25,5,32.32689100206603,35.65684505493052,41.87544738725842,-2.398525443480125,-2.4446713623049234,42.59485377822199,26.11714622177801,0.08264370631043272,0.07132809849317984,0.06616027674477652,-16140335.0,-0.3850050122730227,0.0,0.0,-1,0.0,0,17.571428571428573,0.05611394140340451,-0.009453072248480795,-0.6165045663220745,1.1660837649796467,1.1322984606244488,0.07867017774851881,-0.19818938096403216,-0.5891499444857733,0.11504424778761059,0.0
2022-05-26,32.24,32.77,0.09889796046840221,0.03851186825023399,0.08365423707596321,0.5164250714595121,-0.0163055450722957,32.14,33.852500000000006,37.037666666666674,3,26,5,32.31109263805402,35.43640343848339,43.10980103168755,-2.25503647091589,-2.4067443840271165,41.2304896705622,26.474510329437813,0.08306401301487015,0.07058636832519123,0.062389049236365936,-16857290.0,-0.4371109399715746,0.0,0.0,-1,0.0,0,24.11428571428572,0.061621989497879906,-0.01159597192554173,-0.06502133572392617,1.12773470727228,1.1205238592379767,0.004987531172069959,-0.23800519971637912,0.27091098942628045,0.07785359801488827,0.0
2022-05-27,34.99,32.24,0.009831108367054562,0.018713659683699504,0.015861007362657085,-0.3336345263162296,0.08185438874116918,32.148,33.5925,36.73733333333334,4,27,5,32.79816670386238,35.407603216645754,53.857622064852784,-1.8975446950218,-2.304904446226053,40.372392484784555,26.812607515215447,0.06433123878018607,0.07310759484846402,0.06460905295539733,-16343724.0,0.41224842521803184,0.0,0.0,-1,0.0,0,29.542857142857144,0.058760086800784914,0.014578163771712123,-0.5342081540587595,1.2727972147681808,1.1605470895146155,0.08328173374613024,-0.12938541925852187,-0.35494920366612265,0.07573592454987155,0.0
2022-05-31,33.44,34.99,0.08016028418658766,0.011062373485048115,0.0006169031657707836,0.3846647988998069,-0.04530951816309596,32.21900000000001,33.2235,36.391,1,31,5,32.91486366679649,35.28066107363635,52.3361101050344,-1.719480828494838,-2.1878197226798104,39.08876357822732,27.35823642177268,0.0625399936093248,0.07346829998813466,0.0649912763007802,-17098215.0,0.07382447424994663,0.0,0.0,-1,0.0,0,40.057142857142864,0.054312131545298084,0.012860817376393132,-0.07357208831301655,1.352030751443139,1.1662731060917635,0.024823781795893174,-0.1807937285644292,0.18019383446958862,0.09031100478468909,0.0
2022-06-01,34.12,33.44,-0.05391047408748537,-0.009067786700400848,0.026173131267706973,-0.32063340055975226,0.02013093440697741,32.457,33.01049999999999,35.961999999999996,2,1,6,33.13397936374258,35.20577971404691,61.13131313131313,-1.506131863797144,-2.051482150903277,38.37535826564885,27.645641734351138,0.06150956214529257,0.07264377255412255,0.06348897055711211,-16550689.0,0.41361763724649486,0.0,0.0,-1,0.0,0,40.0,0.05666680763826921,0.004186602870813415,-0.546419915016751,1.0236257627051992,1.153184138854486,0.1519243754220121,-0.11099531005732166,0.13919861859701996,0.05392731535756165,0.0
