date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,polit_trade_count,polit_purchase_count,polit_sale_count,polit_exchange_count,polit_option_count,polit_stock_count,polit_other_asset_count,polit_distinct_senators,polit_amount_max_ord,polit_amount_sum_logmid,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2011-03-29,10.22,10.18,-0.011741817876683174,-0.0038986404156571976,-0.000983767910132727,-0.3091882776727445,0.003921573653181865,10.269,10.253499999999999,10.142,1,29,3,10.244081841039126,10.157449191943103,44.77611940298519,0.0650728110305252,0.08679953063384128,10.373898461262147,10.13310153873785,0.005276750132519038,0.005783640970393037,0.0058123311929602454,-1185430.0,-0.5564855173199803,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,23.0,-0.11080807460117618,-0.001964636542239644,-0.7715617103034544,0.07544622286972748,0.09181245408086557,-0.007766990291262155,0.011881188118811892,0.26930544146960955,0.007827788649706464,0.0
2011-03-30,10.23,10.22,0.008819263434081336,0.0009760859730554589,0.005888142625222532,-0.7876171337433973,0.0009779951879767099,10.272,10.254000000000001,10.154666666666666,2,30,3,10.241521506304737,10.162129889237097,42.18750000000002,0.05941808286524264,0.08132324108012155,10.373894690636051,10.134105309363951,0.0052535226872526585,0.00514340883560277,0.0058078403044742755,-1176013.0,-0.40035133954104335,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,24.0,-0.11123655006057635,0.002935420743639859,-1.5888005996690697,0.06923378662230226,0.08164908402082337,-0.009680542110358181,0.0009784735812132794,0.42840520792884657,0.0029325513196480314,0.0
2011-03-31,10.23,10.23,-0.0019531256208820736,0.001949318356049679,-0.0009789525989841602,0.08300349774861537,0.0,10.269,10.256,10.167,3,31,3,10.239426686976602,10.16650860606051,51.923076923076884,0.05431061113614355,0.07592071509132596,10.372691225487918,10.139308774512083,0.0048755044896322325,0.00509504379307824,0.005812385443346674,-1176013.0,-0.4456204807394323,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,24.0,-0.10975896977388855,0.0,-1.358881734216431,0.06482961670100769,0.08088131277280955,-0.004863813229571856,0.003925417075564264,-0.4969346929400554,0.005865102639296063,0.0
2011-04-01,10.27,10.23,0.007789718065333437,0.0038872740884018687,0.0029339874347875704,0.2918757685575377,0.0039024439769317454,10.261,10.260000000000002,10.179333333333334,4,1,4,10.244985471162673,10.17318547018564,54.545454545454454,0.05288098956905962,0.07131276998687269,10.372577458716814,10.14742254128319,0.004043788309194096,0.005161219714789028,0.005809999113436352,-1162313.0,0.17765545809935168,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,27.0,-0.11473714174164389,0.007820136852394924,-1.058091443036442,0.04587503803407427,0.08193182296257291,0.005876591576885248,0.007850834151128527,-0.5172547391921827,0.006815968841285325,0.0
2011-04-04,10.25,10.27,-0.00876771325331015,-0.005836592444451426,-0.0039138993211364406,0.13626487952018318,-0.0019493183560496533,10.25,10.2605,10.190333333333333,0,4,4,10.245897203678549,10.178141246302697,56.60377358490572,0.04956284173651149,0.06696278433680046,10.372791912820201,10.1482080871798,0.004009753639628658,0.005073291671384444,0.00583672650752497,-1178013.0,-0.18701257706443597,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,31.0,-0.1117935795952469,-0.004868549172346537,-0.8534078653263887,0.04050116279748889,0.08053600854587077,0.006876227897838927,0.0009765625,-0.15825747562630507,0.004878048780487874,0.0
2011-04-05,10.27,10.25,-0.0019588644853331455,0.0029225544426018666,0.0,-0.11460338273900374,0.001949318356049679,10.247,10.258500000000002,10.205666666666668,1,5,4,10.250279530282448,10.184067617508974,56.60377358490572,0.047993776149910516,0.06316898269942248,10.368480859581537,10.148519140418466,0.0037324828073365688,0.004842292115355738,0.00536347856635172,-1164013.0,0.2091272980363004,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,35.0,-0.11279453306420276,-0.004878048780487874,-0.979839668672623,0.03465113165575632,0.07686900427656104,0.004892367906066397,-0.0038797284190107417,0.00523455613210283,0.007789678675754632,0.0
2011-04-06,10.24,10.27,0.0029368596733099273,0.0019436352085712523,0.0029368596733099273,0.7073318155519017,-0.0029254043291051003,10.238,10.256,10.217000000000002,2,6,4,10.248410524776547,10.187676158314847,48.00000000000003,0.04382435124701978,0.05930005640894194,10.365236585352877,10.146763414647124,0.0036316464243554424,0.0048659414192478555,0.005222775655038213,-1192413.0,-0.29294214842607413,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,37.0,-0.11111755015934006,-0.00389483933787723,0.6371463220574357,0.04435229799150156,0.07724442533723105,0.0009775171065493637,-0.004859086491739495,0.31062972602934336,0.006835937500000028,0.0
2011-04-07,10.28,10.24,-0.002936859673309825,-0.0019436352085711256,-0.002936859673309825,-0.3162554448958369,0.003898640415657323,10.238,10.253499999999999,10.229000000000001,3,7,4,10.254154065726265,10.19363253519776,42.22222222222212,0.043249168189232634,0.05608987876500008,10.357782006322827,10.149217993677171,0.0036221087190591483,0.00486678894437669,0.005245048138656792,-1171713.0,0.5082372488684954,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,37.0,-0.11258355157087824,-0.00390625000000009,-0.23070864227802948,0.051365811427390995,0.0772578793815557,0.004887585532746819,-0.004840271055179146,-0.4095979985859113,0.007782101167315182,0.0
2011-04-08,10.27,10.28,0.005865119452398058,-0.0009732360865521835,0.003913899321136315,-0.6692796991533019,-0.0009732360865521835,10.244,10.256499999999999,10.24,4,8,4,10.257035144685124,10.198559468410808,39.999999999999915,0.0415079373811178,0.053173490488223625,10.358948960337786,10.154051039662212,0.002772497245543766,0.004073573816640844,0.005257427572303925,-1182313.0,0.2635458662633457,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,37.0,-0.11193833656335661,-0.0019455252918287524,-1.3138873067175967,0.04513618570595496,0.06466597959657541,0.0,0.005876591576885248,0.6070212450678351,0.0029211295034079223,0.0
2011-04-11,10.15,10.27,-0.005865119452398134,-0.004880439164908427,-0.008827914123565388,1.171371642950538,-0.011753318452670492,10.241,10.253,10.245333333333333,0,11,4,10.237574209287828,10.19542659948108,35.294117647058684,0.030098050709447932,0.048558402532468486,10.365033829480105,10.140966170519896,0.004710961069388016,0.004869112658692727,0.005694364602094495,-1216513.0,-1.8387303277585505,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,34.0,-0.10115283274483702,-0.006815968841285325,1.1711036431237445,0.09596331546917604,0.07729476720274486,-0.009756097560975618,-0.006849315068493178,-1.2538371684979823,0.006896551724137959,0.0
2011-04-12,10.2,10.15,-0.004914014802428929,-0.0019588644853331455,-0.0029600416284769385,-1.0473189942805592,0.004914014802428941,10.239,10.254000000000001,10.248666666666667,1,12,4,10.230742534871858,10.195721657579075,37.735849056603605,0.024804287069713382,0.04380757943991747,10.363621357891025,10.144378642108977,0.00481934390734715,0.004927755834436291,0.005410003112791335,-1204513.0,-0.9852094708347591,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,33.0,-0.1047677667729564,0.0,-1.0595593352993642,0.10542834103965705,0.07822569875739602,-0.006815968841285325,0.0019646365422396617,-1.017800904311053,0.007843137254901968,0.0
2011-04-13,10.04,10.2,-0.0009857073247591882,-0.00589972212718816,-0.009930568202600689,0.6418538861723947,-0.015810606026642315,10.219999999999999,10.245999999999999,10.242666666666668,2,13,4,10.196062073986067,10.185675099025588,31.249999999999844,0.0076105487528881355,0.03656817330251161,10.390134440168591,10.101865559831406,0.006832819281476479,0.006034405056539109,0.005715166443944793,-1227313.0,-2.858442434147492,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,33.0,-0.08917743433082807,-0.005882352941176346,0.08422865512900224,0.14783791385120434,0.09579321053899886,-0.01953125000000011,-0.015686274509803977,-0.47375297908428066,0.011952191235059861,0.0
2011-04-14,10.03,10.04,-0.014903405502575032,-0.007920833491443997,-0.0029985029962565574,-0.6418538861723948,-0.0009965122897389732,10.2,10.2345,10.237333333333334,3,14,4,10.165868969624963,10.175631544249743,34.48275862068944,-0.006744779543803148,0.02790558273324866,10.40770204204636,10.061297957953641,0.006810047161757583,0.005827608059993163,0.005698505575055234,-1239313.0,-2.361404029465945,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,30.0,-0.08786848893951173,-0.0049800796812747945,-0.961450259783024,0.13507065375467345,0.09251040999058492,-0.024319066147859947,-0.022417153996101447,-0.34728962216903403,0.006979062811565333,0.0
2011-04-15,10.0,10.03,0.001000500333583622,0.0,0.001000500333583622,0.4382549309311553,-0.002995508979798451,10.172999999999998,10.217,10.231,4,15,4,10.135710975147697,10.164300476878791,34.48275862068954,-0.02030813043672275,0.01826284009925438,10.410592083354276,10.023407916645725,0.0064923162041815785,0.005351179856025316,0.00571538559136666,-1257913.0,-2.2418272094617486,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,-0.08371706474830652,-0.0029910269192422096,-0.187326593644273,0.13211767537076446,0.08494734671892844,-0.026290165530671872,-0.033816425120772875,-0.16667047493581771,0.0060000000000000496,0.0
2011-04-18,10.0,10.0,-0.0010005003335835344,-0.002986562697749079,-0.0030045090202986133,-0.6106261568719419,0.0,10.148,10.199,10.223,0,18,4,10.11103625239357,10.153700446112417,29.62962962962935,-0.030703255718222522,0.008469620935759,10.40325989636677,9.99474010363323,0.006544448702699469,0.0053301164071659435,0.005621464098310348,-1257913.0,-1.9484980021988823,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,24.0,-0.08330590364745369,-0.0009999999999999788,-1.1279605170446714,0.12213265097342337,0.08461297483431708,-0.014778325123152691,-0.03474903474903468,-1.4132854160830903,0.005999999999999872,0.0
2011-04-19,10.04,10.0,-0.002004008686715143,0.002986562697749068,0.0,1.2983824887970108,0.003992021269537457,10.125,10.186,10.214,1,19,4,10.098120570140193,10.146364933460005,33.333333333333016,-0.03530680679953058,-0.00028566461129891484,10.396202909491041,9.975797090508959,0.006726954446921415,0.005389028461066449,0.005511841789586955,-1220913.0,-1.3891339596916759,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,24.0,-0.08917425139506757,-0.002999999999999936,1.9865462118997812,0.11849310573451048,0.0855481746973857,-0.015686274509803977,-0.025242718446602086,-1.576591522247211,0.008964143426294808,0.0
2011-04-20,10.14,10.04,0.009980122756723891,0.007920833491444058,0.00799205053133787,-1.0693159191796788,0.009910883899454178,10.115,10.1765,10.209,2,20,4,10.105735011932884,10.145954292591618,43.28358208955219,-0.03053401283987789,-0.00633533425701471,10.376212951904725,9.976787048095277,0.007739540152132225,0.005884145597388036,0.005849979721220239,-1208213.0,-0.365524615723603,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,-0.10238455230107775,0.002988047808765054,-0.713459370642204,0.08142959280933308,0.09340791557270602,0.009960159362550014,-0.01839303000968051,1.095485407779505,0.0088757396449704,0.0
2011-04-21,10.15,10.14,0.0049529571288483955,0.0029542118974313827,0.0059523985272951305,0.8859126965149833,0.0009857073247591282,10.102,10.17,10.203,3,21,4,10.113783191581451,10.146215305972804,40.625,-0.025648957596960287,-0.010198058925003826,10.363907194298209,9.976092805701791,0.0075894305442230975,0.0058233026012418886,0.005799178613761597,-1177413.0,-0.20628424925009975,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,30.0,-0.10299350228783903,-0.0019723865877713364,1.3365856799611437,0.07798634981683192,0.0924420629517694,0.011964107676969205,-0.012645914396887115,0.9329018082377277,0.005911330049261133,0.0
