date,shares,amount,buy_flag
2006-01-19,59658.0,1200892.028,0
2006-01-20,69930.0,1387257.354,0
2006-01-27,26576.0,536466.8144,0
2006-01-30,6000.0,130219.8,0
2006-02-22,15642.0,396397.7154,0
2006-04-21,158913.0,3706836.4206,0
2006-05-26,21330.0,545846.9,0
2006-07-20,10000.0,244600.0,0
2006-08-16,10000.0,210000.0,0
2006-10-19,64440.0,1681134.164,0
2006-10-27,7800.0,217230.0,0
2006-11-10,3875.0,112375.0,0
2006-11-13,5000.0,147500.0,0
2006-11-14,48974.0,1489636.9642,0
2007-04-19,99815.0,3051053.5760000004,0
2007-04-20,224400.0,6667786.62,0
2007-04-23,316859.0,9464451.5864,0
2007-07-24,39169.0,1127176.6985,0
2007-07-25,7988.0,226739.38,0
2007-07-26,37191.0,1018009.0778,0
2007-07-27,26000.0,662451.4,0
2008-04-17,391052.0,3335469.994,0
2008-05-14,22497.0,204818.03000000003,0
2008-07-18,7500.0,49029.0,1
2008-08-12,2000.0,25758.0,1
2009-04-16,1000.0,5210.0,1
2009-04-27,5000.0,22750.0,1
2010-02-09,5000.0,39789.0,1
2010-02-11,10000.0,83699.99999999999,0
2010-02-12,20000.0,173000.0,0
2010-02-18,50000.0,437316.66,0
2010-04-21,9560.0,74281.2,0
2010-07-23,3126.0,22278.3768,0
2010-11-09,28.0,247.8,0
2010-11-11,7397.0,63614.2,0
2011-01-26,12000.0,89400.0,0
2011-01-27,15759.0,119295.63,0
2011-04-21,39717.0,219607.2081,0
2011-05-19,39717.0,265706.73000000004,0
2011-07-21,20000.0,97800.0,1
2011-08-17,20000.0,76200.0,1
2013-04-23,60503.0,233541.58,0
2013-04-26,30000.0,120000.0,0
2013-04-29,61408.0,253200.96,0
2013-05-15,43262.0,264486.66000000003,0
2013-05-16,21343.0,146128.98,0
2013-11-15,368599.0,4348891.9,0
2013-12-11,5503.0,144848.8654,0
2013-12-16,2594.0,68689.12,0
2014-01-17,226728.0,6801840.0,0
2014-01-31,380557.0,12709424.0733,0
2014-02-07,713813.0,25207449.0509,0
2014-02-12,293940.0,10178466.137999998,0
2014-02-13,829227.0,28472411.6306,0
2014-02-24,20625.0,747150.9374999999,0
2015-01-22,66.0,3668.94,1
2015-02-17,6612.0,325083.6084,0
2015-02-23,7.0,359.17,1
2015-03-23,60947.0,3383777.4400000004,0
2015-04-29,192589.0,9585378.45,0
2015-04-30,69882.0,3400350.84,0
2015-05-01,97015.0,4771692.7,0
2015-05-07,87161.0,4289140.5134000005,0
2015-05-11,65.0,3226.925,0
2015-06-22,55400.0,2374770.8600000003,0
