date,shares,amount,buy_flag
2020-04-30,15628.0,199569.56,1
2020-05-06,189188.0,2383390.424,1
2020-05-11,4000.0,49860.0,0
2020-08-24,2741.0,39074.0514,0
2021-03-18,5138.0,85059.59,0
2021-04-29,7475.0,133802.5,0
2021-08-18,45000.0,731250.0,0
2021-08-25,50000.0,825500.0000000001,0
2021-11-05,10200.0,165780.6,0
2022-02-11,600000.0,8459280.0,0
2022-05-04,7520.0,88698.4,0
2023-02-15,10910.0,123719.4,0
2023-04-26,26101.0,257635.98,0
2023-04-28,2600.0,25740.0,0
2023-05-09,7000.0,65730.0,0
2023-05-10,503400.0,4682943.0,0
2023-05-16,12000.0,108840.0,0
2023-05-24,11000.0,98010.0,1
2023-07-27,4772.0,49991.472,1
2023-08-31,5000.0,49650.0,0
2023-11-08,71000.0,603140.0,0
2024-01-26,10000.0,98500.0,0
2024-02-15,65000.0,605800.0,0
2024-04-24,21209.0,197817.88,0
2024-05-02,3500.0,32620.0,0
2024-05-03,5400.0,50760.0,0
2024-05-06,2000.0,18900.0,0
2024-05-07,1500.0,14475.0,0
2024-05-14,9223.0,89832.02,0
2024-08-06,5000.0,49850.0,0
2024-08-07,5000.0,50500.0,0
2024-08-08,5000.0,50350.0,0
2025-01-30,13000.0,130470.0,0
2025-02-05,5000.0,50475.0,0
2025-02-26,10000.0,105700.0,0
2025-04-25,48333.0,420497.1,0
2025-04-28,48333.0,429197.04,0
2025-04-29,75834.0,684613.4299999999,0
2025-05-01,8000.0,71004.0,0
2025-05-02,13500.0,119394.0,0
2025-05-06,17218.0,149280.06,0
2025-07-25,11000.0,105721.0,0
2025-07-28,20278.0,195682.7,0
2025-08-08,31500.0,297990.0,0
2025-10-24,45797.0,465160.129,0
2025-10-27,45798.0,470208.066,0
2025-10-28,45798.0,471609.4848,0
2025-11-06,10000.0,102150.0,0
2025-11-10,10000.0,103200.0,0
2026-01-28,75000.0,909000.0,0
2026-01-29,700000.0,8336300.000000001,0
2026-02-17,35397.303,399635.55087,0
2026-02-19,15000.0,170400.0,0
