date,shares,amount,buy_flag
2004-02-19,1000.0,12950.0,1
2004-05-19,5000.0,61200.0,1
2004-06-04,5000.0,62050.0,1
2004-06-15,6000.0,73050.0,1
2004-09-01,75000.0,1179750.0,0
2004-09-02,125000.0,1940400.0,0
2005-01-19,31368.0,458600.16,0
2005-05-19,50000.0,761000.0,0
2005-05-20,62500.0,949375.0,0
2005-06-15,3500.0,57680.0,0
2005-06-16,13500.0,220050.0,0
2005-08-09,57024.0,1035686.12,0
2005-08-10,5800.0,104980.0,0
2005-09-02,41800.0,779569.9999999999,0
2005-09-06,30700.0,575011.0,0
2005-09-07,14300.0,267410.0,0
2005-11-21,4000.0,72330.4,0
2005-11-23,10000.0,186300.0,0
2005-12-09,7500.0,142050.0,0
2006-11-10,30000.0,465000.0,0
2007-02-07,26000.0,519800.0,0
2007-02-12,9000.0,186300.0,0
2007-02-13,22500.0,462375.0,0
2007-02-14,18100.0,381910.0,0
2007-02-15,21900.0,461433.0,0
2007-02-16,10000.0,210700.0,0
2007-02-20,62500.0,1409750.0,0
2007-02-27,17000.0,363120.0,0
2007-12-04,6000.0,77739.74,1
2008-02-01,167138.0,2230180.2184,1
2008-02-14,56779.0,697654.9288000001,1
2008-02-15,42255.0,513186.975,1
2008-02-19,46500.0,584830.5,1
2008-02-21,73980.0,925874.496,1
2008-02-22,86871.0,1077374.142,1
2008-02-25,40600.0,507942.54,1
2008-02-26,67346.0,864480.1943999999,1
2008-02-27,29300.0,383906.18000000005,1
2008-02-28,28200.0,364456.8,1
2008-02-29,50000.0,632380.0,1
2008-03-03,46849.0,577095.3518,1
2008-03-04,40000.0,480212.0,1
2008-03-31,39300.0,455160.81,1
2008-04-01,27653.0,332214.8461,1
2008-04-02,123298.0,1463903.4,1
2008-04-03,45495.0,498434.121,1
2008-04-04,22700.0,251025.68,1
2008-04-07,25259.0,280887.6577,1
2008-04-25,16900.0,174762.9,1
2008-04-28,35000.0,369131.0,1
2008-04-29,27000.0,291564.9,1
2008-04-30,74010.0,805917.093,1
2008-05-01,30085.0,339418.97,1
2008-05-02,39791.0,443156.3461,1
2008-05-29,95897.0,975803.2161,1
2008-05-30,66400.0,680453.92,1
2008-06-02,94207.0,950313.1125,1
2008-11-24,350418.0,883287.1451999999,1
2008-11-25,477418.0,1205555.7410000002,1
2008-11-26,2500.0,6785.0,1
2008-12-02,64524.0,189558.6072,1
2008-12-03,2000.0,6280.0,1
2009-02-12,216477.0,831040.7712000001,1
2009-02-13,70089.0,290782.9069,1
2009-02-17,190815.0,767121.1399999999,1
2009-02-23,35080.0,124990.04,1
2009-02-24,69124.0,258554.8658,1
2009-02-25,24000.0,90502.8,1
2009-04-16,12312.0,89186.11739999999,0
2009-04-17,29254.0,201478.86,0
2009-04-22,39754.0,278792.9752,0
