date,shares,amount,buy_flag
2019-12-18,10000.0,102000.0,1
2020-03-19,500.0,5250.0,1
2020-11-17,1882000.0,52601900.0,0
2020-12-07,12000.0,418920.0,0
2020-12-11,16967.0,631681.4099999999,0
2021-03-12,55000.0,2047732.5,0
2021-03-16,7000.0,265952.4,1
2021-03-17,1050.0,39943.26,0
2021-05-11,1000.0,24640.0,1
2021-05-17,7000.0,173473.3,1
2021-05-20,4000.0,96540.0,1
2021-08-20,49443.0,1145198.766,0
2021-09-23,945.0,22229.046,0
2021-11-30,50000.0,970995.0,1
2021-12-01,1300.0,25696.84,1
2022-03-02,1590.0,24946.941,1
2022-03-03,32342.0,499506.019,1
2022-03-04,13352.0,200265.3128,1
2022-03-11,17486.0,271033.0,1
2022-03-14,25000.0,381167.5,1
2022-05-12,80154.0,1215159.226,1
2022-05-13,100000.0,1593960.0,1
2022-05-16,21632.0,350498.9696,1
2022-05-20,100000.0,1732940.0,1
2022-05-23,9300.0,162157.59,1
2022-05-24,100000.0,1727230.0000000002,1
2022-05-25,200.0,3500.0,1
2022-06-01,35091.0,616499.7426,1
2022-06-09,5999.0,104970.502,1
2022-06-10,7923.0,137785.7238,1
2022-06-13,100000.0,1722009.9999999998,1
2022-06-14,100000.0,1707287.7,1
2022-06-16,100000.0,1678269.9999999998,1
2022-06-17,200.0,3399.0,1
2022-08-10,159000.0,3657000.0,0
2022-08-11,150618.0,3539523.0,0
2022-08-12,215382.0,5061477.0,0
2022-08-16,100000.0,2219530.0,0
2022-08-31,2254.0,40993.2726,0
2022-09-14,200000.0,3800000.0,0
2022-09-15,200000.0,3810000.0,0
2022-09-16,200000.0,4000000.0,0
2022-09-19,100000.0,2150000.0,0
2022-09-23,200000.0,3820000.000000001,0
2022-10-13,110602.0,2433918.6722,0
2022-10-17,100000.0,2100000.0,0
2022-10-18,5395.0,118690.0,0
2022-10-24,14605.0,321310.0,0
2022-10-25,114032.0,2508704.0,0
2022-10-26,165968.0,3651296.0,0
2022-10-28,10437.0,240051.0,0
2022-11-01,45999.0,1057977.0,0
2022-11-02,5859.0,134757.0,0
2022-11-10,75000.0,1689060.0,0
2022-11-11,23583.0,542409.0,0
2022-12-09,115078.0,2525375.2022,0
2023-01-10,200000.0,4000000.0,0
2023-01-12,340000.0,6800000.0,0
2023-01-13,10201.0,214221.0,0
2023-01-18,4789.0,105358.0,0
2023-01-31,55211.0,1159431.0,0
2023-02-01,44789.0,940569.0,0
2023-02-06,540000.0,11205007.0,0
2023-08-10,720.0,10152.0,1
2023-08-10,328788.0,4645161.0056,0
2023-08-11,196839.0,2758698.585,0
2023-12-04,2255.0,20971.5,0
2024-03-04,135443.0,1409961.63,0
2024-03-08,52487.0,573652.49,0
2024-03-11,182607.0,2012556.84,0
2024-03-12,114906.0,1229494.2,0
2024-05-23,3100.0,30690.0,0
2024-05-24,1409.0,14047.73,0
2024-08-29,4000.0,45040.0,0
2024-09-20,25000.0,281000.0,0
2024-11-13,7000.0,75600.0,0
2024-12-10,35000.0,327250.0,0
2025-08-22,8200.0,79786.0,0
2025-12-04,5000.0,47150.0,0
2026-02-26,5000.0,44550.0,1
2026-02-27,8000.0,71680.0,1
2026-03-10,820528.0,7982670.753599999,1
2026-03-11,536827.0,5222306.7387,1
2026-03-12,689336.0,6707170.3464,1
2026-03-19,727.0,7227.615900000001,1
2026-03-20,447100.0,4431699.91,1
