date,shares,amount,buy_flag
2021-12-20,8932.0,4466.0,1
2023-04-19,400000.0,300000.0,0
2023-04-26,61157.0,48558.658,1
2025-06-18,5000.0,2608.5000000000005,0
2025-06-19,10903.0,6015.1851,0
2025-06-23,29476.0,0.0,1
2025-06-23,39476.0,5000.0,0
2025-06-25,9894.0,4995.540000000001,0
2025-06-27,10000.0,5020.0,0
2025-07-17,7001.0,19625.9033,0
2025-07-18,7000.0,19646.9,0
2025-08-05,11191.0,27250.085,0
2025-08-06,20000.0,59000.0,0
2025-09-30,1006.0,3537.8002,0
2025-10-01,1700.0,5887.61,0
2025-10-02,2000.0,7170.0,0
2025-10-06,7000.0,25130.0,0
2026-01-08,850.0,1534.08,0
2026-01-09,431.0,801.6600000000001,0
2026-01-28,46000.0,99806.2,0
