date,shares,amount,buy_flag
2020-03-17,164030.0,515710.32,0
2020-03-18,54181.0,153153.4327,0
2020-08-03,50000.0,277920.0,0
2020-08-04,29272.0,177039.9832,0
2020-08-05,17936.0,107956.784,0
2020-08-06,2792.0,17726.408,0
2021-06-02,2500.0,16525.0,1
2022-03-15,18226.0,52984.8046,1
2022-03-16,49528.0,155243.5858,1
2022-05-16,11716.0,26186.4316,0
2022-05-17,27699.0,62441.85570000001,0
2022-11-21,20000.0,59355.740000000005,1
2024-12-05,82010.0,578170.5,0
2024-12-06,187990.0,1265172.7000000002,0
2025-08-14,23157.0,102353.94,1
2025-08-18,10000.0,46400.0,1
