date,shares,amount,buy_flag
2016-12-14,1990000.0,31631050.0,0
2017-02-07,29000.0,463016.3,0
2017-03-06,4572.0,57058.560000000005,1
2017-03-07,5990.0,75054.7,1
2017-04-03,1500.0,22579.05,0
2017-04-10,3234.0,48510.0,0
2017-04-11,25266.0,385402.5108,0
2017-04-17,22000.0,321468.4,0
2017-05-08,9333.0,125915.2362,0
2017-09-11,10276.0,92405.9024,1
2017-12-11,24069.0,224915.1774,0
2018-01-19,15000.0,150000.0,0
2018-03-05,7293.0,67461.7086,0
2018-03-06,16707.0,154539.75,0
2018-03-09,18229.0,164061.0,0
2018-05-10,5000.0,40950.0,1
2018-05-11,10000.0,82000.0,1
2019-02-27,10000.0,127302.0,0
2019-03-04,4964.0,63409.6396,0
2019-03-05,8000.0,112000.0,0
2019-03-15,1508.0,19657.6848,0
2019-03-19,21167.0,275272.6016,0
2019-03-20,2325.0,30225.0,0
2019-04-11,3000.0,45000.0,0
2019-05-13,60.0,901.8,0
2019-05-14,2940.0,44100.0,0
2019-06-10,4476.0,62664.0,0
2019-06-12,5488.0,76832.0,0
2019-07-15,12500.0,179591.25,0
2019-11-27,2000.0,18632.6,1
2020-02-28,5000.0,39432.5,1
2020-05-18,5210.0,43216.95,1
2020-05-19,6790.0,56757.61,1
2020-08-12,75000.0,1021942.5,0
2021-02-23,64436.0,1504696.6204,0
2021-03-10,3000.0,63682.2,1
2021-03-12,20000.0,466046.0,0
2021-03-17,2000.0,46279.8,1
2021-11-12,9701.0,101839.1578,1
2021-11-15,299.0,3132.025,1
2021-11-24,6000.0,57239.99999999999,1
2022-03-01,5000.0,45400.0,1
2022-03-03,960.0,8678.4,0
2022-03-15,4612.0,35051.2,1
2022-06-08,6584.0,67802.032,0
2022-06-13,4000.0,32433.6,1
2022-06-16,4000.0,31039.6,1
2022-12-08,7539.0,54800.2371,0
2022-12-15,2000.0,13358.8,1
2023-06-06,4000.0,23263.6,0
2023-08-15,12500.0,52275.0,1
2023-08-16,12500.0,53100.0,1
2023-08-17,3112.0,13064.8,1
2023-08-18,5372.0,22793.8,1
2023-08-21,2500.0,10600.0,1
2023-11-14,10000.0,24400.0,1
2023-11-15,4726.0,11817.8356,0
2024-03-15,3782.0,20347.16,0
2024-03-21,20032.0,102240.5198,0
2024-11-18,6777.0,61623.261,0
2025-03-07,12093.0,58608.7245,0
2025-03-13,120.0,559.2,0
2025-03-14,5000.0,22158.5,0
2025-03-17,6982.0,29077.9354,0
2025-05-15,6912.0,27739.2384,0
2025-05-16,3088.0,12722.56,0
2025-05-20,1055.0,4325.5,0
2025-05-22,5535.0,22416.75,0
2025-05-23,4812.0,19488.6,0
2025-07-18,2000.0,10000.0,0
2025-11-24,7866.0,31381.3094,0
2026-01-20,25313.0,101152.6266,0
2026-02-09,8231.0,41216.6921,0
2026-02-10,1769.0,9124.886600000002,0
2026-02-17,1000.0,5277.4,0
2026-03-04,4932.0,20505.7764,0
2026-03-20,63721.0,262479.5432,0
2026-03-23,2000.0,10000.0,0
2026-04-01,1000.0,5510.0,0
2026-04-17,1000.0,6210.0,0
