date,shares,amount,buy_flag
2004-06-29,51820.0,674076.146,0
2004-06-30,1780.0,20772.6,0
2004-07-22,9000.0,28710.0,1
2004-08-02,345990.0,4610188.42,0
2004-08-03,86052.0,1067481.22,0
2004-08-04,6829.0,85492.75,0
2004-08-06,2800.0,34175.0,0
2004-08-09,18000.0,224036.9,0
2004-08-22,600.0,13734.0,0
2004-08-23,30100.0,423561.4,0
2004-08-25,20000.0,263714.0,0
2004-09-17,58900.0,907927.0,0
2004-09-21,131699.0,2399679.49,0
2004-09-22,378589.0,7842869.58,0
2004-09-23,13930.0,321674.4,0
2004-09-24,202222.0,4446595.74,0
2004-09-27,3720.0,91110.49,0
2004-11-06,1000.0,30510.0,0
2004-11-08,93000.0,2735287.3,0
2004-11-17,106000.0,2533326.52,0
2006-08-16,3000.0,25914.0,1
2006-08-18,1000.0,8300.0,1
2006-08-22,5000.0,39983.0,1
2006-11-20,245.0,2094.75,1
2006-11-21,1759.0,15117.33,1
2006-12-21,3000.0,25910.0,1
2008-12-01,3502.0,20356.6625,1
2011-06-07,400.0,3640.0,0
2011-08-12,1000.0,7780.0,1
2012-03-22,3096.0,29412.0,1
2012-03-23,928.0,8780.271999999999,1
2012-03-26,100.0,947.0,1
2012-03-30,1608.0,15354.4704,1
2012-04-02,3168.0,30114.6912,1
2012-04-03,4895.0,46926.40700000001,1
2012-04-05,1100.0,10399.95,1
2012-04-11,4874.0,46254.26,1
2012-04-12,4000.0,38097.2,1
2012-04-13,100.0,950.0,1
2012-04-16,30.0,279.0,1
2012-04-17,4319.0,41642.9342,1
2012-04-20,2300.0,22216.16,1
2012-04-23,1100.0,10560.0,1
2012-05-01,6300.0,59850.0,1
2012-05-02,4001.0,38546.8343,1
2012-05-04,1900.0,18073.56,1
2012-05-10,1300.0,12413.05,1
2012-05-21,5645.0,52664.463,1
2012-06-07,3687.0,30530.9409,1
2012-06-08,1775.0,14506.72,1
2012-06-11,158.0,1294.67,1
2012-06-14,4000.0,32800.0,1
2012-06-15,500.0,4075.0,1
2012-06-18,802.0,6536.3,1
2012-07-18,1203.0,10225.2594,1
2012-07-27,1200.0,10016.0,1
2012-08-06,1025.0,8591.02,1
2012-08-07,950.0,8069.0,1
2012-08-14,1400.0,11932.0,1
2012-08-17,5000.0,41631.5,1
2012-12-10,100.0,840.0,1
2012-12-11,601.0,5040.26,1
2012-12-12,3125.0,26186.25,1
2012-12-13,5100.0,42840.0,1
2013-02-11,2300.0,21372.98,1
2013-02-13,1878.0,17840.22,1
2013-02-14,3300.0,31464.840000000004,1
2013-02-19,3287.0,31439.8263,1
2013-02-20,3305.0,31308.595500000003,1
2013-02-21,900.0,8326.98,1
2013-02-25,1138.0,10846.9608,1
2013-02-26,12432.0,118097.784,1
2013-08-12,2500.0,24476.0,1
2013-08-13,500.0,4930.0,1
2013-08-14,500.0,4994.0,1
2013-08-16,4600.0,47142.64,1
2013-08-19,6769.0,70652.7913,1
2013-08-20,4031.0,42755.6077,1
2013-08-23,4500.0,48131.1,1
2013-09-04,3538.0,37847.0474,1
2013-09-05,98.0,1048.6,1
2013-09-06,23364.0,249569.5752,1
2013-09-10,300.0,3210.99,1
2013-09-11,1964.0,21088.8428,1
2013-09-12,6475.0,70265.405,1
2013-09-13,4879.0,52934.2226,1
2013-09-16,1294.0,14045.9818,1
2013-09-17,2200.0,23950.3,1
2013-09-18,100.0,1080.0,1
2013-09-19,3330.0,35664.633,1
2013-09-20,100.0,1073.0,1
2013-09-24,389.0,4233.4092,1
2013-09-25,1100.0,11930.05,1
2013-09-27,274.0,3004.52,1
2013-10-04,675.0,7425.0,1
2013-10-07,2500.0,27355.0,1
2013-10-08,2000.0,21998.2,1
2013-10-09,422.0,4639.679,1
2013-10-10,600.0,6600.0,1
2013-10-11,2600.0,28600.0,1
2013-10-28,20.0,222.8,1
2013-10-31,400.0,4444.2,1
2013-11-04,200.0,2226.0,1
2013-11-05,1600.0,17760.0,1
2013-11-13,3614.0,40732.5,1
2013-11-14,300.0,3375.0,1
2013-11-15,2300.0,25745.05,1
2013-12-03,700.0,7875.0,1
2013-12-05,400.0,4496.0,1
2013-12-12,100.0,1125.0,1
2013-12-18,11376.0,127842.3504,1
2013-12-30,95.0,1068.75,1
2014-01-24,130.0,1462.5,1
2014-02-03,500.0,5625.0,1
2014-02-14,9500.0,109253.7,1
2014-02-20,3492.0,41518.4832,1
2014-06-06,19112.0,235733.1416,1
2014-06-13,8000.0,99964.8,1
2014-06-17,6700.0,85291.0,1
2014-06-19,14999.0,191987.2,1
2014-08-21,2342.0,25931.795,1
2014-08-22,6900.0,77176.5,1
2014-08-25,27700.0,314611.06,1
2014-08-26,615.0,6855.774,1
2014-08-27,4300.0,48848.42999999999,1
2014-08-28,2029.0,23364.9495,1
2014-08-29,2400.0,28040.4,1
2014-09-05,2001.0,23747.2677,1
2014-09-08,2800.0,32688.04,1
2014-09-09,1000.0,11960.5,1
2014-09-10,4506.0,55259.7816,1
2014-09-11,4100.0,49911.76,1
2014-09-12,4500.0,56716.2,1
2014-09-17,4500.0,56531.7,1
2014-09-18,3050.0,39301.995,1
2014-09-19,2800.0,36328.04,1
2014-09-22,700.0,9156.98,1
2014-09-23,1100.0,14413.41,1
2014-09-25,300.0,3894.0,1
2014-09-26,2300.0,29632.97,1
2014-09-29,400.0,5220.0,1
2014-09-30,1400.0,18276.44,1
2014-10-01,2400.0,31472.88,1
2014-10-06,20000.0,256428.0,1
2014-10-07,700.0,9093.0,1
2014-10-08,800.0,10384.0,1
2014-10-09,800.0,10217.04,1
2014-10-10,2000.0,25614.6,1
2014-10-13,2500.0,31188.75,1
2014-10-16,2107.0,27213.3799,1
2014-10-17,650.0,8503.234999999999,1
2014-10-20,7600.0,97470.0,1
2014-10-21,4400.0,57578.84,1
2014-10-23,3400.0,44412.84,1
2014-10-24,1100.0,14269.97,1
2014-10-27,300.0,3884.25,1
2014-10-28,14400.0,186648.48,1
2014-10-29,2600.0,33802.86,1
2014-10-30,100.0,1298.0,1
2014-11-13,2000.0,5883.0,1
2014-11-14,800.0,2392.0,1
2014-11-17,2000.0,5835.0,1
2014-11-18,2800.0,8172.919999999999,1
2014-11-19,4000.0,11609.6,1
2014-11-20,4000.0,11569.2,1
2014-11-21,2700.0,8054.91,1
2014-11-24,2000.0,5851.0,1
2014-11-26,1800.0,5251.5,1
2014-12-01,3398.0,10498.4608,1
2014-12-09,100.0,309.0,1
2014-12-10,1600.0,4947.84,1
2014-12-11,2500.0,7731.0,1
2014-12-15,64496.0,1648446.8144,1
2014-12-16,28000.0,751772.0,1
2014-12-17,10500.0,278953.5,1
2015-01-22,700.0,2170.0,1
2015-01-26,700.0,2165.03,1
2015-01-27,600.0,1855.02,1
2015-01-28,1000.0,3094.9,1
2015-02-24,1100.0,3407.4700000000003,1
2015-02-25,2000.0,6193.6,1
2015-02-26,5000.0,14900.0,1
2015-02-27,2900.0,8688.4,1
2015-03-02,2000.0,6010.799999999999,1
2015-03-03,7400.0,22043.120000000003,1
