date,shares,amount,buy_flag
2004-02-05,138650.0,3050300.0,1
2004-05-18,2280.0,55840.4,1
2004-05-25,500.0,12380.0,1
2004-06-01,500.0,12535.0,1
2004-06-08,500.0,12645.0,1
2004-06-15,500.0,12890.0,1
2004-06-22,500.0,12630.0,1
2004-06-29,500.0,13115.0,1
2004-07-06,500.0,12955.0,1
2004-07-13,500.0,12960.0,1
2004-07-20,500.0,12760.0,1
2004-07-27,500.0,12075.0,1
2004-08-03,500.0,12489.0,1
2004-08-10,500.0,12990.0,1
2004-08-17,500.0,12685.0,1
2004-08-24,500.0,12925.0,1
2004-08-31,500.0,13150.0,1
2004-09-07,500.0,13325.0,1
2004-09-14,500.0,13195.0,1
2004-09-21,500.0,13275.0,1
2004-09-28,500.0,13035.0,1
2004-10-05,500.0,13165.0,1
2004-10-12,500.0,13475.0,1
2004-10-19,500.0,12590.0,1
2004-10-26,500.0,13005.0,1
2004-11-02,500.0,13485.0,1
2004-11-09,500.0,14675.0,1
2004-11-16,500.0,14600.0,1
2004-11-23,500.0,14805.0,1
2004-11-30,500.0,14600.0,1
2004-12-07,500.0,14825.0,1
2004-12-14,500.0,15200.0,1
2004-12-21,500.0,15265.0,1
2004-12-28,500.0,15165.0,1
2005-01-04,500.0,15010.0,1
2005-01-11,500.0,14945.0,1
2005-01-18,500.0,15215.0,1
2005-01-25,500.0,15500.0,1
2005-01-26,27200000.0,832320000.0,0
2005-02-01,300.0,9864.0,1
2005-03-02,33000.0,1151635.0,1
2005-03-15,1000.0,34440.0,1
2005-03-22,1000.0,34270.0,1
2005-03-29,1000.0,33910.0,1
2005-04-05,1000.0,32950.0,1
2005-04-12,1000.0,33630.0,1
2005-04-19,1000.0,32690.0,1
2005-04-26,1000.0,33030.0,1
2005-05-03,1000.0,33053.0,1
2005-05-10,1000.0,34050.0,1
2005-05-13,1000.0,32950.0,1
2005-05-17,1000.0,33170.0,1
2005-05-24,1000.0,34000.0,1
2005-05-31,1000.0,35250.0,1
2005-06-07,1000.0,35800.0,1
2005-06-14,1000.0,35650.0,1
2005-06-21,1000.0,36000.0,1
2005-06-28,1000.0,36230.0,1
2005-07-05,1000.0,36490.0,1
2005-07-12,1000.0,37100.0,1
2005-07-19,1000.0,36700.0,1
2005-07-26,1000.0,36100.0,1
2005-08-02,1000.0,37500.0,1
2005-08-09,1000.0,36950.0,1
2005-08-16,1000.0,37750.0,1
2005-08-23,1000.0,38000.0,1
2005-08-30,1000.0,37650.0,1
2005-09-06,1000.0,37000.0,1
2005-09-08,15000.0,558750.0,1
2005-09-13,1000.0,37900.0,1
2005-09-20,1000.0,37900.0,1
2005-09-27,1000.0,37320.0,1
2005-10-04,1000.0,38080.0,1
2005-10-11,1000.0,37500.0,1
2005-10-18,1000.0,36937.0,1
2005-10-25,1000.0,37520.0,1
2005-11-01,400.0,15408.000000000002,1
2006-02-14,2000.0,86480.0,1
2006-03-02,4980.0,224915.4,0
2006-05-15,2626.0,132613.0,0
2006-11-15,5570.0,306355.1,0
2006-11-21,12579.0,692725.53,0
2007-02-14,2000.0,109453.0,1
2007-02-15,7500.0,408274.0,0
2007-05-11,825.0,49664.7,1
2008-05-08,7382.0,496660.96,0
2008-05-12,5000.0,327200.0,0
2008-05-13,11594.0,762885.2,0
2008-05-21,3000.0,200072.0,0
2008-11-24,4500.0,69120.0,1
2010-02-10,1000.0,30060.0,1
2010-05-05,4500.0,165178.14,0
2010-12-17,1000.0,37185.0,0
2011-03-04,15219.0,597331.3585,0
2011-03-17,1000.0,38309.5,0
2011-06-17,1000.0,35019.0,0
2011-09-16,1000.0,35669.0,0
2011-10-10,2500.0,92004.0,1
2011-10-13,5000.0,180743.2394,1
2011-11-07,5930.0,229406.342,0
2011-12-16,1000.0,39535.0,0
2012-03-16,1000.0,40178.0,0
2012-09-04,1500.0,52738.16,0
2012-09-13,4500.0,169544.67,0
2012-12-03,1500.0,50889.01,0
2013-03-04,1500.0,62402.66,0
2013-04-26,24000.0,1117371.16,0
2013-05-01,11398.0,541441.1205,0
2013-05-02,10000.0,478141.23,0
2013-05-30,1500.0,75832.61,0
2013-08-02,20000.0,1094059.7000000002,0
2013-09-03,1250.0,67200.28,0
2013-10-31,20000.0,1172098.79,0
2013-11-11,1700.0,101710.97,1
2013-11-25,2000.0,127604.58,0
2013-12-02,1250.0,82284.14000000001,0
2014-02-25,10000.0,637249.955,0
2014-03-03,21250.0,1382788.2099999995,0
2014-05-07,35344.0,2343850.58,0
2014-05-14,30000.0,2029302.0,0
2014-05-29,5000.0,337367.0,0
2014-05-30,10000.0,678897.9999999999,0
2014-06-02,1250.0,85124.37500000001,0
2014-06-06,21626.0,1500351.3272,0
2014-08-14,10000.0,649708.0,0
2014-08-21,2500.0,164562.25,0
2014-09-02,1250.0,83643.625,0
2014-11-03,11664.0,802732.8095999999,0
2014-11-12,10000.0,682743.0,0
2014-12-01,1250.0,84249.875,0
2015-03-12,2000.0,122810.0,0
2015-06-12,2000.0,133478.80000000002,0
2015-09-11,2000.0,153131.0,0
2015-11-17,2500.0,209306.0,0
2015-11-24,10000.0,852827.0,0
2015-12-11,2000.0,165555.4549,0
2015-12-21,200.0,16011.000000000002,0
2015-12-22,2300.0,184110.17,0
2016-03-11,2000.0,154922.2,0
2016-06-15,3000.0,252349.2,0
2016-06-16,2000.0,170000.0,0
2016-08-04,2500.0,210025.0,0
2016-08-18,5000.0,430211.0,0
2016-09-12,6000.0,538588.7376,0
2016-12-12,6000.0,552093.516,0
2017-03-13,6000.0,597195.6,0
2017-05-31,2000.0,195505.4,0
2017-06-15,7000.0,720605.4495999999,0
2018-06-07,2500.0,238869.25000000003,0
2018-08-14,14144.0,1547523.328,0
2018-09-10,1250.0,128107.025,0
2018-09-12,1200000.0,121320000.0,0
2018-09-18,1000000.0,105140000.0,0
2018-11-16,1107.0,110644.2072,0
2018-12-10,1250.0,112713.283,0
2019-03-21,7869230.0,772364924.5,0
2019-08-19,20500.0,2547066.0,0
2019-11-25,1000.0,132000.0,0
2019-12-05,19868.0,2589263.3244,0
2019-12-09,1897.0,249036.8321,0
2020-11-06,1950.0,249210.0,1
2021-05-21,7703.0,1240584.3263,0
2021-05-24,40647.0,6478424.5422,0
2021-06-08,721.0,117474.2478,0
2021-06-09,1979.0,323334.5612,0
2021-08-13,10000.0,1650848.0,0
2021-11-05,13400.0,2216732.8416,0
2022-03-28,2200.0,403009.2,0
2022-03-29,4000.0,727254.8,0
2023-02-10,525.0,69132.84,0
2023-05-26,800.0,99196.0,0
2023-06-22,4000.0,524286.0,0
2023-08-04,3000.0,433302.6,0
2023-08-07,3700.0,529081.13,0
2023-08-14,4000.0,572777.6247,0
2023-11-17,850.0,136616.25,0
2023-11-20,2000.0,324325.60000000003,0
2024-05-16,9400.0,1657158.5499999998,0
2024-05-17,2084.0,365304.1516,0
2024-05-20,1304.0,226048.0088,0
2024-05-21,9696.0,1661622.9120000002,0
2024-08-12,3250.0,579128.0499999999,0
2024-08-19,550.0,103639.305,0
2024-11-08,3000.0,627531.9,0
2025-02-19,3000.0,604485.889,0
2025-03-20,5150.0,1094861.405,0
2025-05-16,1000.0,201926.4,0
2025-08-08,950.0,194707.25,0
2025-08-12,3900.0,813256.47,0
2025-08-29,4275.0,941671.35,0
2025-10-03,13725.0,3026652.006,0
2026-03-19,20.0,4300.0,0
2026-03-20,2630.0,554031.4,0
