date,shares,amount,buy_flag
2014-03-25,479325.0,8148525.0,1
2014-11-12,6000.0,69820.0,1
2014-11-13,6300.0,73164.7,1
2014-11-14,5000.0,59550.0,1
2014-11-17,5000.0,64700.0,1
2014-11-18,5000.0,69200.0,1
2014-11-19,5000.0,74250.0,1
2014-11-20,5000.0,73500.0,1
2014-11-21,5000.0,73650.0,1
2014-11-24,5000.0,69400.0,1
2014-11-25,5000.0,65900.0,1
2014-11-26,1000.0,13220.0,1
2014-12-02,5000.0,59586.49999999999,1
2014-12-15,1000.0,11336.4,1
2014-12-22,1000.0,11916.0,1
2014-12-24,6764.0,76189.0196,0
2014-12-26,5169.0,57845.76209999999,0
2014-12-29,1000.0,11567.2,1
2015-01-02,2710.0,31058.497,0
2015-04-02,2479.0,22529.399900000004,0
2015-04-22,420000.0,3465000.0,1
2015-07-02,2480.0,23650.3644,0
2015-10-02,2480.0,21477.1912,0
2016-01-04,1811.0,22239.08,0
2016-04-04,2957.0,27825.370000000003,0
2016-07-05,2959.0,22093.3735,0
2016-07-06,1980.0,14818.518,0
2016-10-01,2957.0,26479.3436,0
2016-10-03,1981.0,17745.9961,0
2017-01-01,3439.0,36077.1734,0
2017-01-03,1980.0,20710.998,0
2017-04-03,3948.0,36257.1486,0
2017-07-03,3943.0,56230.28809999999,0
2017-07-05,1034482.0,14999989.0,1
2017-08-15,5000.0,75000.0,0
2017-09-28,5000.0,96500.0,0
2017-10-02,10389.0,205977.46,0
2018-02-15,1000.0,14620.0,0
2019-11-20,147800.0,511854.0,1
2020-02-28,24452.0,212732.4,0
2020-06-01,6426.0,74413.08,0
2020-06-08,13701.0,165462.41,0
2021-03-01,93129.0,316275.3969,0
2021-04-01,9203.0,31290.2,0
2021-06-07,4567.0,15163.3534,0
2021-08-31,1042.0,2948.86,0
2022-01-03,5833.0,13335.4046,0
2022-02-28,63388.0,136588.4624,0
2022-03-01,98622.0,214078.7754,0
2022-06-03,4567.0,1653.254,0
2022-08-31,1147.0,415.7875,0
2023-02-27,70477.0,57311.8964,0
2023-03-01,146647.0,128682.7425,0
2023-05-16,127134.0,135779.112,0
2023-05-25,158664.0,194030.2056,0
2023-08-25,27000.0,31050.0,0
2024-02-01,70800.0,118944.0,0
2024-02-27,64255.0,97667.6,0
2024-02-29,68374.0,108030.92,0
2024-05-13,46856.0,59038.56,0
2025-02-03,280579.0,589215.9,0
2025-03-03,53553.0,98001.99,0
2025-06-04,13334.0,47069.02,0
2025-06-09,15000.0,60150.0,0
2025-06-30,41314.0,151622.38,0
2026-02-02,648039.0,900774.21,0
2026-03-04,69270.0,86587.5,1
