date,shares,amount,buy_flag
2014-04-15,22700.0,567500.0,1
2015-05-04,5500.0,121605.0,1
2015-05-08,12500.0,283000.0,0
2016-02-25,4500.0,76995.0,1
2016-05-04,19000.0,319839.99999999994,1
2018-11-29,25000.0,658750.0,0
2019-02-11,2000.0,52940.0,1
2019-02-21,97311.0,2628370.1100000003,0
2019-04-01,2222.0,61616.06,0
2019-05-01,2222.0,66215.6,0
2019-05-02,5000.0,148550.0,1
2019-06-03,2222.0,63993.6,0
2019-07-01,2222.0,69593.04,0
2019-07-23,15000.0,500250.0,0
2019-08-01,2222.0,73081.58,0
2019-09-03,2222.0,69193.08,0
2019-10-01,2222.0,74281.46,0
2019-11-01,2222.0,68659.8,0
2019-12-02,2222.0,70447.6212,0
2020-03-12,12840.0,249609.6,1
2020-03-13,10000.0,203000.0,1
2020-04-24,15000.0,213750.0,1
2020-10-20,17300.0,502090.0,0
2020-11-16,22500.0,693342.0,0
2021-03-01,15000.0,646302.0,0
2021-03-16,4126.0,190146.71,0
2021-03-22,2500.0,111900.0,0
2021-04-01,6626.0,302211.86,0
2021-04-05,27500.0,1296209.0,0
2021-04-12,2917.0,138207.46000000002,0
2021-04-26,3334.0,166700.0,0
2021-05-03,9543.0,496522.29,0
2021-06-01,24542.0,1359473.6,0
2021-07-01,12875.0,643750.0,0
2021-08-02,9542.0,494371.02,0
2021-09-01,24542.0,1297784.44,0
2021-09-02,12500.0,656148.75,0
2021-10-01,12875.0,661903.75,0
2021-10-15,1500.0,82500.0,0
2021-11-01,9542.0,458970.2,0
2021-12-01,24541.0,1141548.47,0
2022-01-03,21541.0,1036456.8,0
2022-01-05,11124.0,556324.5888,0
2022-01-07,1376.0,68807.01759999999,0
2022-02-01,9541.0,455868.98,0
2022-03-01,5416.0,266521.36,0
2022-04-19,2500.0,112500.0,0
2022-10-25,2000.0,54867.8,1
2023-12-14,7500.0,253500.0,0
2023-12-15,3750.0,131250.0,0
2023-12-29,3750.0,131251.125,0
2025-01-24,19100.0,753473.99,1
2025-01-27,25634.0,1002097.145,1
2025-04-22,8200.0,252682.18,1
2025-04-30,8000.0,257120.8,0
2025-10-22,29000.0,1184803.7,0
2026-01-23,23800.0,991867.38,1
2026-01-27,11566.0,499306.5332,1
2026-04-17,39675.0,1792175.295,0
