date,shares,amount,buy_flag
2022-12-22,83333.0,249999.0,1
2023-02-17,649570.0,3962.377,0
2025-08-14,150000.0,2827305.0,0
2025-09-29,25000.0,439359.12,0
2025-09-30,33580.0,543596.4,0
2025-10-01,50500.0,851687.86,0
2025-10-02,35000.0,598557.6,0
2025-10-03,31147.0,547136.22,0
2025-10-06,63604.0,1189394.8,0
2025-10-07,35000.0,621268.4,0
2025-10-08,35000.0,611576.0,0
2025-10-09,36908.0,611168.32,0
2025-10-10,35000.0,583471.28,0
2025-10-13,35331.0,599747.07,0
2025-10-14,36855.0,731940.2999999999,0
2025-10-15,40000.0,823423.6,0
2025-10-16,25000.0,482251.0,0
2025-10-17,40000.0,677294.36,0
2025-10-20,37500.0,614625.0,0
2025-12-04,30000.0,480980.0,0
2025-12-05,30000.0,484195.70000000007,0
2025-12-08,40000.0,642420.04,0
2025-12-09,30000.0,504523.13,0
2025-12-10,20000.0,349799.99999999994,0
2025-12-18,20000.0,287400.0,0
2025-12-19,30000.0,441000.0,0
2025-12-22,35000.0,519050.0,0
2025-12-23,15000.0,223050.0,0
2025-12-24,15000.0,240750.0,0
2025-12-26,30000.0,533644.56,0
2026-01-20,30000.0,620616.9600000001,0
2026-01-21,45000.0,846818.6599999999,0
2026-01-22,30000.0,542231.12,0
2026-01-29,32500.0,546508.23,0
2026-01-30,25000.0,397826.28,0
2026-02-02,37500.0,590250.0,0
2026-02-04,34500.0,507653.44000000006,0
2026-02-25,12500.0,219766.25,0
2026-02-26,12500.0,198093.75,0
2026-03-04,50000.0,902599.7016,0
2026-04-01,20000.0,261950.0,0
