date,shares,amount,buy_flag
2004-03-01,10000.0,53099.99999999999,0
2004-04-28,15000.0,75373.2,0
2004-11-04,10000.0,51100.0,0
2004-12-13,10000.0,55570.0,0
2005-01-18,10000.0,66100.0,0
2005-02-22,10000.0,80040.0,0
2005-03-21,10000.0,75160.0,0
2005-04-11,10000.0,62070.0,0
2005-05-02,1100.0,6050.0,0
2005-05-03,1816.0,9988.0,0
2006-03-31,1004.0,3765.0,1
2006-08-11,10000.0,50000.0,0
2006-11-08,12000.0,66720.0,0
2007-03-01,1053.0,6318.0,0
2007-03-13,2932.0,17592.0,0
2007-03-14,1200.0,6900.0,0
2007-05-17,100.0,635.0,0
2007-05-22,14900.0,89403.0,0
2007-08-16,4000.0,18420.0,1
2007-08-27,3000.0,13260.0,1
2008-01-31,1600.0,8015.0,0
2008-02-01,2450.0,12250.0,0
2008-02-29,950.0,4750.0,0
2008-06-11,10000.0,55000.0,0
2008-08-04,2614.0,15030.5,0
2008-08-05,1504.0,8652.16,0
2008-08-06,1300.0,7475.0,0
2008-11-13,1400.0,2920.0,1
2008-11-14,5500.0,11470.0,1
2008-11-17,4700.0,9612.0,1
2008-11-18,7950.0,16206.5,1
2008-11-19,6000.0,11689.0,1
2008-11-20,6700.0,12287.0,1
2008-12-01,3000.0,5880.0,1
2008-12-05,13600.0,20350.0,1
2008-12-08,1000.0,1510.0,1
2009-01-09,2000.0,8784.0,0
2009-05-19,5000.0,9900.0,1
2009-06-25,1809.0,3568.28,1
2009-09-10,3000.0,6450.0,1
2009-12-15,19700.0,49446.99999999999,0
2009-12-16,1600.0,4000.0,0
2010-08-23,2000.0,8700.0,1
2010-11-15,2000.0,10926.2,1
2010-11-16,2000.0,10720.0,1
2011-02-23,338.0,2494.44,1
2011-03-25,3000.0,20250.0,1
2011-05-17,370.0,2497.5,1
2011-08-08,476.0,2499.0,1
2011-08-29,2246.404,11871.7958592,1
2011-11-08,436.0,2498.28,1
2012-02-22,348.0,2498.64,1
2012-03-05,1100.0,7920.0,0
2012-03-06,2000.0,14400.0,0
2012-05-14,1300.0,7995.0,1
2012-08-03,1360.0,7996.8,1
2012-09-17,6000.0,37542.0,0
2012-11-02,1249.0,7993.6,1
2012-11-20,474.0,3091.0014,0
2012-11-23,1626.0,10569.0,0
2013-02-21,1536.0,10736.64,1
2013-02-21,4123.0,28861.0,0
2013-02-22,1344.0,9408.0,0
2013-02-25,4533.0,31731.0,0
2013-03-25,2000.0,14000.0,0
2013-05-20,2000.0,13471.8,0
2013-05-21,1142.0,7994.0,1
2013-06-27,1000.0,6810.0,0
2013-08-07,1223.0,8744.45,1
2013-08-27,3000.0,25500.0,0
2013-09-24,5000.0,40400.0,0
2013-09-24,5000.0,40400.0,1
2013-11-14,813.0,8739.75,1
2013-11-19,2000.0,20020.0,0
2013-11-22,19.0,205.2,0
2013-11-25,100.0,1080.0,0
2013-11-27,1881.0,20691.0,0
2014-03-14,854.0,9991.8,1
2014-03-19,2000.0,24000.0,0
2014-03-31,2000.0,24125.0,1
2014-05-15,1145.0,13740.0,1
2014-06-02,1500.0,22425.0,0
2014-06-03,28500.0,427500.0,0
2014-06-04,4000.0,60800.0,0
2014-06-05,26000.0,395980.0,0
2014-08-15,1047.0,14982.570000000002,1
2014-11-14,852.0,16256.159999999998,1
2015-03-13,617.0,16955.16,1
2015-03-16,5000.0,136433.5,0
2015-03-17,7000.0,194881.6,0
2015-03-18,14553.0,447993.7308,0
2015-03-19,7647.0,236056.2749,0
2015-03-20,8000.0,248571.2,0
2015-03-23,7800.0,242604.96,0
2015-03-24,2000.0,65391.6,1
2015-03-31,10000.0,332259.0,0
