date,shares,amount,buy_flag
2020-07-21,4462000.0,84778000.0,1
2020-12-14,20000.0,1520000.0,1
2021-03-10,7387.0,549173.1781,0
2021-03-22,16700.0,1143860.49,0
2021-04-12,7387.0,438977.7448,0
2021-04-19,16700.0,962433.3885,0
2021-05-10,7387.0,457771.5827,0
2021-05-19,16700.0,930275.9987,0
2021-06-10,7387.0,449696.8125,0
2021-06-21,16700.0,978480.2646,0
2021-07-12,7387.0,405527.1516,0
2021-07-19,16700.0,911245.01,0
2021-08-10,7387.0,477438.8623,0
2021-08-17,10000.0,662298.6731,0
2021-08-19,16700.0,1023340.4559,0
2021-08-23,60000.0,4448761.784,0
2021-09-10,7387.0,573670.475,0
2021-09-16,1426.0,114694.8912,0
2021-09-17,11345.0,895811.0001000001,0
2021-09-20,16700.0,1242212.6056,0
2021-10-11,7387.0,450421.6319,0
2021-10-18,7229.0,400793.1457,0
2021-10-19,33400.0,1813428.51,0
2021-11-22,14884.0,547314.448,0
2021-12-08,84916.0,2823741.139999999,0
2021-12-09,153810.0,4927003.340000001,0
2021-12-10,52548.0,1645437.8000000005,0
2021-12-13,373767.0,10189235.27,0
2022-12-29,6224.0,68900.6911,0
2023-06-30,6166.0,45258.44,0
2023-07-06,7345.0,47889.4,0
2023-12-29,13831.0,208018.24,0
2024-01-04,2717.0,36956.634,0
2024-03-14,4400.0,49771.48,1
2024-04-04,20000.0,223036.0,0
2024-04-16,50000.0,710195.0,0
2024-05-06,20000.0,318334.0,0
2024-05-13,12000.0,191338.6959,0
2024-06-04,20000.0,168652.00000000003,0
2024-06-13,12000.0,102338.4,1
2024-07-01,15404.0,89632.79520000001,0
2024-07-05,1823.0,10025.2239,0
2024-07-11,20000.0,158076.0,0
2024-08-14,3866.0,9974.28,0
2024-12-02,30000.0,46404.0,1
2024-12-30,12222.0,19313.2044,0
2025-01-06,2221.0,3997.8,0
2025-02-19,4035.0,4641.057,0
2025-06-30,1532.0,658.76,0
2025-07-07,2011.0,905.1511,0
2025-08-15,2993.0,1916.7172,0
2025-08-18,75000.0,58402.49999999999,1
2025-09-16,21070.0,22460.620000000003,1
2025-09-17,71163.0,76891.62150000001,1
2026-01-06,3925.0,4356.75,0
2026-02-02,3184713.0,4999999.41,1
2026-02-18,565.0,1282.55,0
2026-03-19,13214.0,28674.38,0
