date,shares,amount,buy_flag
2004-03-08,5000.0,701250.0,0
2004-03-26,1000.0,161402.0,0
2004-03-30,200.0,29300.0,1
2004-04-16,300.0,43950.0,1
2004-05-25,1000.0,161250.0,0
2004-05-27,1000.0,161550.0,0
2004-06-14,500.0,81525.0,0
2004-08-23,500.0,88375.0,0
2004-08-24,2000.0,360000.0,0
2004-09-07,1000.0,198125.0,0
2004-12-30,100.0,21500.0,0
2005-01-20,300.0,66351.99,0
2005-01-27,600.0,132400.02,0
2005-02-28,1500.0,359000.0,0
2005-03-01,1000.0,240025.0,0
2005-03-03,1500.0,376195.0,0
2005-03-10,1000.0,247285.0,0
2005-03-18,100.0,25000.0,0
2005-04-08,1900.0,475499.2,0
2005-06-01,500.0,127750.0,0
2005-06-14,500.0,127800.0,0
2005-07-07,200.0,50840.0,1
2005-07-12,550.0,144650.0,0
2005-09-22,500.0,142500.0,0
2005-09-28,200.0,55750.0,1
2006-01-04,13.0,3175.25,1
2006-01-06,100.0,23746.0,1
2006-06-23,1000.0,262500.0,1
2006-10-03,400.0,126160.0,0
2006-10-04,600.0,190740.0,0
2006-10-11,950.0,327731.0,0
2006-11-14,1000.0,370450.0,0
2006-11-29,100.0,39800.0,1
2006-12-13,10000.0,4379500.0,0
2007-01-04,1000.0,425790.0,0
2007-05-31,1000.0,428810.0,0
2007-06-06,500.0,215957.5,0
2007-06-08,2000.0,811620.0,0
2007-11-27,900.0,323183.28,1
2007-12-28,1000.0,365000.0,1
2008-01-08,200.0,64700.0,1
2008-01-09,300.0,96030.0,1
2008-02-28,500.0,153250.0,1
2008-04-03,500.0,191875.0,0
2008-04-09,250.0,90250.0,0
2008-04-11,20500.0,7892500.0,0
2008-07-01,500.0,154000.0,1
2008-08-04,500.0,183755.0,0
2008-08-05,500.0,188500.0,0
2008-08-06,500.0,193690.0,0
2008-08-07,1000.0,382700.99,0
2008-08-15,1300.0,516640.0,0
2008-08-18,118.0,46610.0,0
2008-09-16,8000.0,3097796.94,0
2008-09-19,4050.0,1654632.0,0
2008-09-22,300.0,124505.01,0
2008-11-05,100.0,37025.0,0
2008-11-13,2263.0,706059.6057999999,0
2008-11-21,8900.0,1368986.93,0
2009-02-27,100.0,13590.0,1
2009-03-02,300.0,40898.0,1
2009-03-03,700.0,93470.0,1
2014-06-02,17.0,6145.5,1
2014-06-04,15.0,5422.5,1
2014-06-10,268.0,96882.0,1
2014-06-11,9.0,3244.5,1
2014-06-12,7.0,2523.5,1
2014-10-02,9.0,3339.0,1
2014-10-06,17.0,6307.0,1
2014-10-07,7.0,2597.0,1
2014-10-08,6.0,2226.0,1
2015-08-21,381.0,138303.0,1
2015-08-24,19.0,6897.0,1
2016-06-27,15.0,5445.0,1
2017-05-11,1000.0,421597.4,0
2019-05-15,1000.0,389622.8,0
2019-05-16,1000.0,390589.0,0
