date,shares,amount,buy_flag
2021-06-15,2001400.0,10017808.0,1
2021-06-16,11100.0,120002.1,1
2021-06-17,500.0,5400.0,0
2021-06-17,16500.0,173439.75,1
2021-06-18,500.0,4760.0,0
2021-06-18,16500.0,153172.80000000002,1
2021-06-21,6500.0,52667.55,1
2021-06-22,22000.0,170027.0,1
2021-06-23,2500.0,22400.000000000004,1
2021-06-24,9500.0,78280.0,1
2021-06-25,14000.0,123026.4,1
2021-06-28,9000.0,86528.59999999999,1
2021-06-29,300.0,3018.0,0
2021-06-29,1300.0,12784.07,1
2021-07-01,15500.0,120138.95,1
2021-07-02,10500.0,75522.3,1
2021-07-06,7000.0,49492.8,1
2021-07-07,5000.0,31466.5,1
2021-07-08,2000.0,12150.0,1
2021-07-12,8100.0,49811.76,1
2021-07-13,900.0,5636.97,1
2021-07-14,5000.0,33687.0,1
2021-07-15,300.0,2076.09,0
2021-07-15,700.0,4427.78,1
2021-07-16,600.0,3739.98,1
2021-07-19,4000.0,21650.0,1
2021-07-20,3000.0,15604.5,1
2021-07-21,500.0,2727.2,1
2021-07-23,5000.0,28788.0,1
2021-07-26,3500.0,17298.4,1
2021-07-27,4000.0,17467.199999999997,1
2021-07-30,1338333.0,2022843.0,1
2021-08-02,1500.0,6844.95,1
2021-08-03,500.0,2175.0,1
2021-08-04,500.0,2150.4500000000003,1
2021-08-05,1000.0,4210.0,1
2021-08-06,4000.0,16275.200000000004,1
2021-08-09,500.0,2027.5,1
2021-08-10,1100.0,4411.88,1
2021-08-12,3400.0,13161.06,1
2021-08-13,13000.0,46217.6,1
2021-08-17,4000.0,13170.0,1
2021-08-27,6000.0,17430.0,1
2021-09-14,5000.0,13492.0,1
2021-11-08,145000.0,373114.0,1
2021-11-22,15000.0,28498.5,1
2021-11-23,4681.0,9315.19,1
2021-11-30,5319.0,12057.6411,1
2021-12-01,17000.0,33724.6,1
2021-12-14,20000.0,57086.0,0
2021-12-17,13000.0,32303.7,1
2021-12-20,25000.0,52664.99999999999,1
2021-12-23,1612.0,3377.3012,1
2021-12-31,8000.0,15289.6,1
2022-01-05,2000.0,3958.6,1
2022-01-07,3000.0,5775.0,1
2022-01-14,3000.0,5368.200000000001,1
2022-01-18,7000.0,11619.3,1
2022-01-24,5000.0,6449.5,1
2022-01-27,2500.0,3487.5,1
2022-02-24,22500.0,25960.5,1
2022-03-18,100000.0,110450.0,1
2022-03-28,25000.0,30325.000000000004,0
2022-03-31,20000.0,24202.0,0
2022-04-11,50000.0,56325.0,1
2022-04-22,75000.0,70335.0,1
2022-04-26,2666667.0,4000000.5,1
2022-05-05,100000.0,106850.0,1
2022-05-06,100000.0,99980.0,1
2022-05-12,25000.0,21317.5,1
2022-05-17,23900.0,23343.13,1
2022-05-24,16100.0,14306.46,1
2022-05-26,10000.0,9120.0,1
2022-05-27,12000.0,11506.8,1
2022-06-02,8000.0,7679.2,1
2022-06-07,2000.0,1881.4,1
2022-06-08,8000.0,7576.0,1
2022-06-14,10000.0,8474.0,1
2022-06-15,10000.0,8740.0,1
2022-06-17,10000.0,8841.0,1
2022-06-29,10000.0,8830.0,1
2022-07-18,10000.0,9773.0,1
2022-07-22,2300.0,2081.73,1
2022-07-27,5700.0,4959.0,1
2022-08-03,2000.0,1895.6,1
2022-08-12,1000.0,1040.0,1
2022-08-15,14000.0,14833.000000000002,1
2022-08-16,15000.0,16213.5,1
2022-08-22,36000.0,34894.8,1
2022-08-25,4900.0,4703.51,1
2022-08-26,9100.0,8561.279999999999,1
2022-09-14,10000.0,11092.0,1
2022-09-19,8500.0,10414.2,1
2022-09-29,3500.0,4152.75,1
2022-10-06,1000.0,1429.3,1
2022-10-12,2000.0,2466.8,1
2022-10-31,6000.0,7135.8,1
2022-11-02,1000.0,1129.9,1
2022-11-18,1000.0,1289.0,1
2022-12-16,20000.0,17960.0,1
2022-12-19,23000.0,18813.2,1
2022-12-21,5000.0,4049.5,1
2022-12-27,900.0,531.9,1
2022-12-28,3100.0,1744.9899999999998,1
2023-02-15,1000.0,597.3000000000001,1
2023-03-16,4000.0,2005.6,1
2023-03-17,5000.0,2149.0,1
2023-03-22,10000.0,4350.0,1
2023-04-28,37000.0,19998.5,1
2023-05-24,18000.0,10704.6,1
2023-09-26,53000.0,10234.3,1
2023-12-22,200.0,184.84,1
2023-12-26,500.0,450.0,1
2024-01-05,7000.0,7219.5,1
2024-04-01,334.0,304.24060000000003,1
2024-04-19,1000.0,688.2,1
2024-07-31,25.0,93.42,1
2024-08-06,75.0,206.25,1
2025-03-12,100.0,68.42,1
2025-03-18,10000.0,9661.5,1
2025-03-20,5000.0,4891.5,1
2025-03-21,7905.0,8016.91,1
2025-03-26,3334.0,3285.3236,1
2025-05-12,1224.0,6196.3463,0
2025-07-23,59516.0,175584.1032,0
2025-07-24,9621.0,28236.6729,0
2025-07-25,36532.0,105855.1232,0
2025-07-28,8311.0,22314.2039,0
2025-07-30,29449.0,73981.7778,0
2025-07-31,100000.0,221550.0,0
2025-09-17,2121.0,5203.8735,0
2025-09-18,20870.0,51492.551,0
2025-09-19,77009.0,180855.6365,0
2025-09-23,43238.0,102720.5166,0
2025-09-24,39140.0,90374.26,0
2025-09-25,14628.0,33828.7128,0
2025-09-26,37738.0,87344.601,0
2025-09-29,38324.0,88490.11600000001,0
2025-09-30,3566.0,8320.904400000001,0
2025-10-01,36777.0,86378.1399,0
2025-10-02,20686.0,49522.284,0
2025-10-03,65903.0,160888.9939,0
2025-10-06,82033.0,201267.9655,0
2025-10-07,57379.0,142954.0406,0
2025-10-08,101394.0,247158.0144,0
2025-10-09,20397.0,47390.3898,0
2025-10-23,30.0,68.7,0
2025-12-19,3333.0,7058.627399999999,0
2025-12-23,1851.0,3825.0915,0
2026-04-14,108388.0,108897.4236,1
