date,shares,amount,buy_flag
2021-03-01,9924.0,177242.63999999998,0
2021-03-03,5683.0,109681.9,0
2021-03-04,300.0,5562.0,0
2021-03-12,1757.0,32065.25,0
2021-03-18,6920.0,121291.684,0
2021-06-02,1282.0,20519.051000000003,0
2021-08-23,745.0,11502.8,0
2021-08-25,500.0,7828.65,0
2021-11-10,6000.0,117600.0,0
2021-11-11,13171.0,258019.89,0
2021-11-12,4483.0,86163.26,0
2021-11-15,367.0,6984.01,0
2022-05-17,175.0,3491.25,0
2022-05-18,177.0,3531.15,0
2022-05-24,5464.0,109006.8,0
2022-05-25,223.0,4448.849999999999,0
2022-05-31,12316.0,245704.2,0
2022-06-02,4317.0,90657.0,0
2022-07-28,938.0,21592.76,0
2022-07-29,6180.0,142263.6,0
2022-08-01,4404.0,101556.24,0
2022-08-11,12668.9189,299999.999552,1
2022-09-01,5000.0,110723.5,0
2022-09-02,5000.0,111691.5,0
2022-09-06,5000.0,110443.0,0
2022-11-03,1339.0,33494.0138,0
2022-11-15,6961.0,176235.8136,0
2022-11-30,4564.0,119491.4532,0
2023-02-27,2096.0,49172.16,0
2023-03-08,45155.0,993861.55,0
2023-05-04,2000.0,29620.0,1
2023-08-14,1041.0,20102.76,0
2023-11-06,3000.0,58046.100000000006,0
2023-11-13,6665.0,128584.53,0
2023-11-21,68487.15,1447818.351,1
2023-12-01,109690.0,2394203.6300000004,0
2023-12-06,10000.0,226590.0,0
2023-12-07,14804.0,340492.0,0
2023-12-08,69738.0,1605110.7294,0
2023-12-11,105458.0,2437819.857,0
2023-12-12,8599.0,206376.0,0
2023-12-13,4000.0,102378.0,0
2023-12-19,4000.0,106270.8,0
2023-12-20,4000.0,108000.0,0
2024-02-01,593.0,15750.08,0
2024-02-20,828.0,19623.6,0
2024-05-06,8994.0,229077.18,0
2024-05-16,8269.0,208792.25,0
2024-06-28,4000.0,108074.4,0
2024-09-03,3242.0,105732.6428,0
2024-09-09,164928.0,5121284.076,0
2024-09-10,85580.0,2571216.868,0
2024-09-11,89154.0,2671975.6836,0
2024-10-28,111750.0,3834835.350000001,0
2024-10-29,48402.0,1652599.1663999998,0
2024-10-30,103016.0,3503914.8184,0
2024-10-31,82518.0,2757243.27,0
2024-11-01,50000.0,1654150.0,0
2024-11-04,126008.0,4134377.6136,0
2024-11-05,94506.0,3140727.3486,0
2024-11-06,350000.0,13032876.7504,0
2024-11-07,28000.0,1005737.581,0
2024-11-08,63688.0,2278087.916,0
2024-11-11,71294.0,2629308.2474,0
2024-11-12,90000.0,3313242.0,0
2024-11-13,110000.0,4095058.0,0
2024-11-14,105380.0,3850026.686,0
2024-11-15,125942.0,4499038.660200001,0
2024-11-18,40000.0,1412004.0,0
2024-11-19,95214.0,3340202.3340000003,0
2024-11-20,20000.0,704124.0,0
2025-01-02,8269.0,276241.6561,0
2025-01-28,4403.0,148701.1981,0
2025-02-03,36000.0,1233885.6,0
2025-02-04,89966.0,3070116.7398,0
2025-02-05,2654.0,91004.5984,0
2025-02-13,9782.0,353521.48,0
2025-03-03,3000.0,97470.0,0
2025-03-05,3317.0,101167.1732,0
2025-03-07,869.0,25835.37,0
2025-04-07,740.0,18596.348,0
2025-06-02,426.0,12784.26,0
2025-06-03,426.0,12780.0,0
2025-08-07,5542.0,152185.9302,0
2025-08-25,4106.0,122224.5338,0
2025-08-27,3512.0,104231.5944,0
2025-10-31,22343.0,610843.2426,0
2025-11-13,3425.0,95078.0,0
2026-01-21,5151.0,182860.5,0
2026-02-19,1360.0,54998.4,0
2026-02-20,2285.0,91194.35,0
2026-02-24,607.0,23448.41,0
2026-02-27,2029.0,78112.6449,0
2026-03-04,501.0,19478.88,0
2026-03-10,776.0,29394.88,0
2026-04-01,4948.0,195048.1808,0
2026-04-07,1495.0,59829.90000000001,0
