date,shares,amount,buy_flag
2019-07-01,80.0,911.2,1
2019-08-26,80.0,776.8000000000001,0
2019-09-13,69787.0,716712.49,0
2019-11-04,35.0,341.25,1
2020-01-08,50.0,522.0,1
2020-02-11,110.0,1211.1,1
2020-02-27,160.0,1540.8000000000002,0
2020-03-16,153600.0,1194737.83,1
2020-04-06,240.0,1968.0,1
2020-05-14,35.0,318.15,0
2020-08-21,48989.0,551126.25,0
2020-08-27,111241.0,1230058.4816,0
2020-10-14,13.0,148.20000000000002,1
2020-11-02,7.0,75.60000000000001,1
2020-12-09,9.0,104.49,1
2021-01-15,2.0,22.32,1
2021-05-07,195200.0,2412672.0,0
2021-05-17,50000.0,617500.0,0
2021-06-14,464045.0,5638146.75,0
2021-08-20,73000.0,900090.0,0
2021-08-26,659300.0,8372450.7,0
2021-09-02,11851.0,150020.6239,0
2021-09-08,303000.0,3726900.0,0
2021-09-09,1591380.0,19386537.7309,0
2021-11-22,147736.0,1775919.6823999998,0
2021-11-24,139.0,1627.69,0
2021-12-06,90000.0,1045080.0,0
2022-05-06,71343.0,900534.4049999999,0
2022-05-09,846507.0,10713392.592000002,0
2022-05-31,33500.0,440826.5,0
2022-08-23,93104.0,1175258.3424,0
2022-08-26,1035748.0,13027901.336,0
2022-08-29,204960.0,2518500.7648,0
2022-08-30,110798.0,1357618.9738,0
2022-08-31,780784.0,9416801.5888,0
2022-09-01,52752.0,640440.9312,0
2022-09-09,1429959.0,17367050.9064,0
2022-09-12,204685.0,2542401.775,0
2022-11-22,497022.0,5953275.0,0
2022-12-01,478561.0,5885965.3073,0
2022-12-02,100000.0,1238000.0000000002,0
2022-12-12,16266.0,201647.3948,0
2023-08-23,30000.0,282026.105,0
2023-12-01,29652.0,278432.28,0
2024-02-09,1560.0,14196.572,1
2024-02-09,25000.0,225444.478,0
2024-09-03,8000.0,90960.0,0
2024-12-03,13368.0,141032.4,0
2025-02-10,100000.0,1004780.0,1
2025-02-12,100000.0,995000.0,1
2025-02-18,20000.0,201900.0,1
2025-02-19,20000.0,201893.0,1
2025-02-27,10000.0,101000.0,1
2025-03-03,14000.0,144286.80000000002,1
2025-08-19,10000.0,85500.0,1
2025-11-10,198945.0,1664196.506,1
2025-11-12,10000.0,85374.0,1
2025-11-24,6596.0,55927.484,0
2025-12-03,10206.0,86128.43400000001,0
2025-12-11,121065.0,1006982.3505,1
