date,shares,amount,buy_flag
2015-05-15,9000.0,261810.0,0
2015-06-22,1250.0,38131.25,0
2015-06-23,138.8889,4218.055893000001,0
2015-06-25,3633.0,109898.25,0
2015-08-21,1250.0,36912.5,0
2015-12-01,1250.0,31887.500000000004,0
2016-03-11,9000.0,264060.0,0
2016-03-16,3250.0,94551.2,0
2016-03-21,10000.0,288558.0,1
2016-08-08,10000.0,288000.0,1
2017-02-13,31747.0,1000030.5,1
2017-06-02,10000.0,247150.0,1
2017-06-08,4000.0,94086.0,1
2017-07-18,3500.0,69902.0,1
2017-08-16,7000.0,94304.0,1
2017-08-18,20000.0,250000.0,1
2017-09-14,35000.0,552650.0,1
2017-09-18,12000000.0,73080000.0,0
2017-09-29,2800000.0,18172000.0,0
2018-05-30,98000.0,727032.6,0
2018-05-31,902000.0,6501525.800000001,0
2018-06-01,6000.0,88531.45000000001,0
2018-06-18,5364.0,85563.3096,0
2018-07-30,17500.0,269762.5,0
2018-09-07,75826927.0,138005007.14000002,0
2018-10-15,17500.0,327250.0,0
2019-03-01,7500.0,118125.0,0
2020-12-14,2043474.0,6904738.8136,0
2020-12-15,1000000.0,2905300.0,0
2020-12-16,1000000.0,2777100.0,0
2020-12-17,1000000.0,2822800.0,0
2020-12-18,1000000.0,2790000.0,0
2020-12-21,1000000.0,2671400.0,0
2020-12-22,1000000.0,2590800.0,0
2020-12-23,1000000.0,2589600.0,0
2020-12-24,250000.0,629825.0,0
2021-01-09,111300.0,4492290.600000001,0
2021-01-27,33317145.0,534752119.4551,0
2021-02-01,2061060.0,30072926.46,0
2021-03-16,105247.0,1406801.72,0
2021-03-17,36179.0,492034.4,0
2021-03-19,1582996.0,22842632.28,0
2021-03-20,12004438.0,167822043.24,0
2021-03-23,100000.0,1052170.0,0
2021-03-26,60000.0,606600.0,0
2021-03-29,20000.0,205160.0,0
2021-04-16,55404.0,525623.152,0
2021-04-22,50000.0,496000.0,0
2021-05-14,14495.0,201045.65,0
2021-05-28,15000.0,411306.0,0
2021-06-03,150197.0,8155220.8398,0
2021-06-07,14277.0,790072.0475999999,0
2021-06-08,46137.0,2544752.3647,0
2021-06-09,27923.0,1419488.2122,0
2021-06-14,1843.0,107152.02,0
2021-06-17,2495.0,151808.275,0
2021-08-16,45405.0,1579639.95,0
2021-11-01,354811.0,12687788.22,0
2021-11-05,60000.0,2478000.0,0
2021-11-09,625000.0,25330625.000000004,0
2021-11-10,93414.0,3646882.81,0
2021-11-11,18250.0,716385.5,0
2021-11-12,26667.0,1060973.262,0
2021-12-07,330816.0,10211205.892,0
2021-12-29,20898.0,577901.4,0
2021-12-30,11791.0,329086.81,0
2022-01-06,53706.0,1214668.602,0
2022-01-07,47813.0,1125742.74,0
2022-01-10,46165.0,1035019.3,0
2022-01-11,312500.0,7139375.0,0
2022-01-12,95000.0,2180350.0,0
2022-01-13,50588.0,1145818.2,0
2022-01-14,40788.0,826935.912,0
2022-02-28,47028.0,851677.08,0
2022-03-02,107412.0,1944909.084,0
2022-03-08,50000.0,752450.0,0
2022-03-09,119005.0,1854787.95,0
2022-03-16,17722.0,257128.498,0
2022-03-17,17722.0,264943.9,0
2022-03-23,50000.0,1000100.0,0
2022-03-29,34931.0,1028237.869,0
2022-03-31,25000.0,597625.0,0
2022-08-08,12000.0,300000.0,0
2023-01-11,80750.0,377748.5,0
2023-02-10,3638989.0,17428210.017699998,0
2023-02-13,4046622.0,12240162.1531,0
2023-02-14,5208299.0,13126658.5712,0
2023-02-15,17557400.0,43191204.0,0
2023-03-03,380900.0,2468232.0,1
2023-03-15,48000579.0,72480874.29,0
2023-04-03,7885000.0,15641450.0,0
2023-04-04,10050000.0,16856000.0,0
2023-04-05,1008385.0,1694254.5,0
2023-04-14,2918400.0,4844544.0,0
2023-04-24,1500000.0,2310000.0,0
2023-05-02,1263420.0,1907764.2,0
2023-05-03,955190.0,1451888.8,0
2023-05-15,1235947.0,2005005.42,0
2023-05-16,497947.0,794037.2000000001,0
2023-05-17,426868.0,682988.8,0
2023-05-18,1000000.0,1610000.0,0
2023-05-19,1000000.0,1600000.0,0
2023-05-22,500000.0,800000.0,0
2023-05-23,500000.0,800000.0,0
2023-05-24,500000.0,800000.0,0
2023-06-01,1207946.0,1956872.52,0
2023-06-02,337380.0,536434.2000000001,0
2023-06-05,1414000.0,2248260.0,0
2023-06-06,2621438.0,4169351.54,0
2023-06-07,1000000.0,1595000.0,0
2023-06-08,2000000.0,3210000.0,0
2023-06-09,1884800.0,3015680.0,0
2023-06-12,2100000.0,3350000.0,0
2023-06-14,2805000.0,4498000.0,0
2023-06-15,3631994.0,5853830.28,0
2023-06-16,3253091.0,5695440.16,0
2023-06-20,2121511.0,3658998.92,0
2023-06-21,2259135.0,3874758.1,0
2023-06-22,7566230.0,14054111.5,0
2023-06-23,2650100.0,4823182.0,0
2023-06-26,2371887.0,4245677.73,0
2023-06-27,3573030.0,6395362.4,0
2023-06-28,7993400.0,13815317.0,0
2025-12-03,2340824.0,0.0,0
