date,shares,amount,buy_flag
2014-08-15,13000.0,132814.68,1
2014-08-18,2600.0,26078.0,1
2014-08-19,3500.0,34999.65,1
2014-08-25,6000.0,65022.0,1
2015-04-08,10000.0,157900.0,0
2015-04-09,28000.0,442120.0,0
2015-05-19,3000.0,44824.5,0
2015-05-20,13945.0,206252.128,0
2015-05-21,13565.0,200178.705,0
2015-05-22,1942.0,28654.210000000003,0
2015-06-05,88138.0,1451187.6431,0
2015-06-08,54120.0,899006.05,0
2015-06-09,51500.0,833225.74,0
2015-06-10,23142.0,378964.1461,0
2015-06-11,23264.0,383138.2896,0
2015-06-12,114089.0,1843104.5949,0
2015-06-15,45382.0,739445.2316,0
2015-06-17,1000.0,16480.0,0
2015-07-17,15384.0,267823.1328,0
2015-08-17,5400.0,79384.31999999999,0
2015-08-18,9100.0,133395.08,0
2015-11-17,3772.0,52606.198,0
2015-11-20,31529.0,450511.5752,0
2015-12-01,40000.0,619560.0,0
2015-12-03,37166.0,572921.3232,0
2015-12-04,57424.0,858603.648,0
2015-12-07,30092.0,438979.0868,0
2015-12-08,48718.0,706235.6152,0
2015-12-09,52638.0,752265.4493999999,0
2015-12-10,43830.0,627768.324,0
2015-12-11,30132.0,423472.1148,0
2015-12-15,36536.0,523999.312,0
2015-12-16,34815.0,494456.614,0
2015-12-17,29423.0,417747.6275,0
2016-03-17,2400.0,27000.0,0
2016-04-18,15637.0,200649.2929,0
2016-04-19,5607.0,73124.8119,0
2016-05-17,3200.0,43391.36,0
2016-05-18,1427.0,19939.3283,0
2016-05-25,1074.0,16754.399999999998,0
2016-06-02,2297.0,36752.0,0
2016-06-09,9904.0,162722.72,0
2016-06-13,7500.0,119535.75,0
2016-06-15,1551.0,24583.8153,0
2016-07-18,2297.0,40794.72,0
2016-08-11,19629.0,353756.5794,0
2016-08-12,46790.0,847826.3235,0
2016-08-15,40317.0,735457.3653,0
2016-08-16,10670.0,195783.83,0
2016-08-17,5987.0,112908.833,0
2016-08-18,3086.0,60539.2964,0
2016-08-19,24046.0,463606.88,0
2016-08-22,10000.0,199500.0,0
2016-09-01,10381.0,194916.7703,0
2016-09-08,3000.0,57150.0,0
2016-09-20,389118.0,8202469.287,0
2016-09-21,55081.0,1140334.3760000002,0
2016-09-26,56996.0,1111268.1108,0
2016-10-03,400.0,7500.0,0
2016-11-01,400.0,7236.0,0
2016-11-11,8000.0,160500.8,0
2016-11-14,20000.0,411170.0,0
2016-11-15,17994.0,373510.455,0
2016-11-25,2043.0,42056.7894,0
2016-11-28,24292.0,497201.3684,0
2016-12-01,400.0,8104.000000000001,0
2016-12-05,61.0,1262.4255,0
2016-12-15,2940.0,60286.758,0
2017-01-03,400.0,7444.0,0
2017-05-11,7500.0,115725.0,0
2017-05-30,12125.0,203960.7499,0
2017-05-31,3654.0,63070.2324,0
2017-06-01,15000.0,255201.0,0
2017-06-09,10000.0,170707.0,0
2017-08-14,5000.0,73997.0,0
2017-08-15,5000.0,74087.0,0
