date,shares,amount,buy_flag
2023-06-14,50000.0,474915.0,0
2023-06-15,61000.0,540130.6,0
2023-09-14,46370.0,169491.62399999998,0
2023-09-15,33630.0,130726.536,0
2023-09-19,143516.0,627164.92,0
2023-09-20,6484.0,27396.1968,0
2023-10-10,70329.0,306543.0123,0
2023-10-11,56702.0,236158.1598,0
2023-10-12,22969.0,89691.6481,0
2023-11-07,24809.0,80420.8544,0
2023-11-08,48052.0,146664.3144,0
2023-11-09,49508.0,139652.16640000002,0
2023-11-20,27631.0,106105.8031,0
2023-11-28,45000.0,166936.5,0
2023-11-29,60000.0,240452.0,0
2023-11-30,45000.0,188355.0,0
2023-12-05,77756.0,334210.9676,0
2023-12-06,77767.0,313665.0682,0
2023-12-07,84477.0,327784.0738,0
2023-12-12,60000.0,228794.0,0
2023-12-13,190000.0,692809.0,0
2023-12-14,355000.0,1262251.5,0
2023-12-15,100000.0,353600.0,0
2024-01-02,150000.0,666260.0826000001,0
2024-02-06,150000.0,663810.0,0
2024-03-05,109800.0,320462.28,0
2024-03-06,40200.0,111579.12,0
2024-04-02,125983.0,299612.7706,0
2024-05-21,46965.0,62350.73399999999,0
2024-05-22,36708.0,49776.04800000001,0
2024-06-12,280000.0,363496.0,0
2024-06-13,260000.0,315653.0,0
2024-06-14,260000.0,294060.0,0
2024-08-21,78383.0,81518.32,0
2024-09-03,141300.0,141136.5,0
2024-09-04,338255.0,318342.25,0
2024-09-05,250000.0,201264.0,0
2024-11-20,133536.0,256883.2032,0
2024-11-21,92682.0,182050.0572,0
2025-02-21,75088.0,235265.7216,0
2025-05-21,117747.0,286360.704,0
2025-08-21,113203.0,771614.2886000001,0
2025-11-17,1000000.0,10595300.0,0
2025-11-21,93679.0,944406.1027,0
2025-12-11,198255.0,2083382.493,0
2026-01-12,506267.0,5111474.1388,0
2026-01-16,950548.0,10518669.1132,0
2026-01-20,43185.0,476274.4095,0
2026-01-21,73280.0,879411.296,0
2026-01-22,492827.0,5931912.1855,0
2026-01-23,1600.0,19200.0,0
2026-01-28,39690.0,476351.442,0
2026-02-23,86617.0,879638.9435,0
2026-03-10,166632.0,2985428.9016,0
2026-03-12,568711.0,10498588.2362,0
2026-03-23,217869.0,4095401.6343,0
2026-04-01,1500000.0,23860713.7537,0
