date,shares,amount,buy_flag
2012-04-25,9438183.0,115334596.26,0
2012-08-16,48000.0,361460.0,1
2012-08-22,25000.0,201000.0,1
2012-08-29,25000.0,200637.5,1
2012-11-13,50000.0,267650.0,1
2012-11-15,56000.0,287650.0,1
2012-11-19,50000.0,275950.0,1
2013-05-28,25000.0,165450.0,1
2013-06-13,10000.0,61740.00000000001,1
2013-07-16,10000.0,60500.0,1
2013-08-13,25000.0,113000.0,1
2013-08-15,10000.0,44900.0,1
2013-09-17,10000.0,53400.0,1
2013-10-15,10000.0,52600.0,1
2013-11-14,10000.0,59940.0,1
2015-10-01,30889.0,183480.66,0
2015-10-02,38400.0,220032.00000000003,0
2015-10-05,54072.0,319565.52,0
2015-10-06,163548.0,979652.52,0
2015-10-07,50133.0,300798.0,0
2015-10-08,88103.0,525093.88,0
2015-10-09,19445.0,115892.2,0
2015-10-28,7900.0,33733.0,0
2015-10-29,5100.0,21675.0,0
2015-11-03,6525.0,27861.75,0
2015-11-04,50562.0,225000.9,0
2015-11-05,9476.0,40746.8,0
2015-11-06,300.0,1275.0,0
2015-11-09,300.0,1275.0,0
2015-11-10,100.0,428.0,0
2015-11-13,15768.0,58026.240000000005,0
2015-11-16,17536.0,66461.44,0
2015-11-17,8400.0,30912.0,0
2015-11-18,9500.0,34485.0,0
2015-11-19,7444.0,25458.48,0
2015-11-20,3932.0,13526.08,0
2015-11-23,800.0,2664.0,0
2015-11-24,13500.0,45765.0,0
2015-11-25,3891.0,14707.98,0
2015-11-27,100.0,331.0,0
2015-11-30,2200.0,7282.0,0
2015-12-01,1000.0,3340.0,0
2015-12-03,400.0,1320.0,0
2016-01-06,33295.0,60263.95,0
2016-01-07,9000.0,14310.0,0
2016-01-08,21210.0,32875.5,0
2016-01-11,100.0,154.0,0
2016-01-12,51154.0,51665.54,0
2016-01-13,29176.0,29467.76,0
2016-01-14,23790.0,22124.7,0
2016-01-15,22672.0,18364.32,0
2016-01-19,24633.0,19213.74,0
2016-01-20,17542.0,12454.82,0
2016-01-21,38547.0,31608.54,0
2016-01-22,34536.0,27974.160000000003,0
2016-01-25,11422.0,8223.84,0
2016-01-26,15962.0,10694.54,0
2016-01-27,31769.0,22238.3,0
2016-01-28,36667.0,30433.61,0
2016-01-29,206502.0,218892.12,0
2016-02-01,38325.0,34109.25,0
2016-02-02,197376.0,151979.52,0
2016-02-03,128398.0,92446.56,0
2016-10-25,7810.0,177052.7,0
2016-10-27,9800.0,205800.0,0
2017-09-12,200000.0,3240000.0,0
2017-09-13,100000.0,1630000.0,0
2017-09-14,300000.0,4914000.0,0
2017-09-21,260000.0,4160000.0,0
2017-09-25,200000.0,3200000.0,0
2017-09-26,300000.0,4800000.0,0
2017-10-03,13400.0,213060.0,0
2017-10-05,250000.0,3887500.0,0
2017-11-01,550000.0,8801000.000000002,0
2017-11-02,14000.0,229644.8,0
2017-11-03,50000.0,825000.0,0
2018-03-14,25000.0,337500.0,0
2018-05-10,100.0,1425.0,0
2018-05-14,3170.0,40702.8,0
2018-05-14,25400.0,334734.0,1
2018-05-18,154200.0,2158800.0,0
2018-05-22,17000.0,240550.0,0
2018-06-05,2000.0,26000.0,0
2018-06-08,18174.0,236262.0,0
2019-02-12,1706949.0,17069490.0,0
2019-02-13,933142.0,9331420.0,0
2019-09-23,4316.0,28544.7292,0
2019-11-08,25276.0,165921.59999999998,0
2019-11-11,10000.0,65900.0,0
2019-11-22,500000.0,2685000.0,0
2019-12-17,1304.0,8899.800000000001,0
2020-03-12,43112.0,46560.96000000001,0
2020-06-10,80117.0,162637.50999999998,0
2020-06-15,47045.0,86039.63,0
2020-06-16,21911.0,39878.02,0
2020-06-17,16162.0,26344.06,0
2020-06-19,15000.0,24600.0,0
2020-06-22,15000.0,23400.0,0
2020-06-26,25000.0,32250.0,0
2020-09-29,441883.0,430526.6069,0
2020-09-30,19389.0,17545.1061,0
2020-10-09,50027.0,45844.7428,0
2020-11-18,157193.0,149191.8763,0
2020-11-19,66031.0,60378.7464,0
2020-11-20,12527.0,11323.1553,0
2020-11-23,116051.0,106279.5058,0
2020-11-24,271908.0,288276.8616,0
2020-11-25,178794.0,194796.063,0
2020-11-27,38887.0,42892.361,0
2020-11-30,78897.0,78881.2206,0
2020-12-01,50134.0,52425.1238,0
2020-12-02,16916.0,17778.716,0
2020-12-11,8548485.0,9339219.8625,0
2021-03-12,13284.0,45205.452,0
2021-03-15,18000.0,61392.6,0
2021-08-09,30000.0,110700.0,0
2021-08-20,15000.0,50379.0,1
2021-08-30,10000.0,36900.0,1
2022-12-22,17000.0,130110.0,1
2023-03-14,20000.0,142800.0,1
2023-03-15,20000.0,133000.0,1
2023-06-12,26599.0,182216.4495,0
2023-06-23,3000.0,19350.3,0
2023-08-18,3000.0,19815.0,0
2023-09-11,7000.0,49919.8,0
2023-09-12,2679.0,19931.76,1
2023-09-20,10000.0,69451.0,1
2023-11-07,10000.0,60963.0,1
2023-11-08,10000.0,60499.0,1
2023-12-21,2000.0,11861.2,0
2024-08-12,6000.0,42197.4,0
2025-03-07,55000.0,211100.0,1
2025-03-11,10000.0,41400.0,1
2025-05-30,10000.0,29747.0,1
2025-06-04,181000.0,591870.0,1
2025-06-05,92000.0,299920.0,1
2025-06-06,31000.0,105400.0,1
2025-06-18,77176.0,283235.92,1
2025-06-20,150000.0,550500.0,1
2025-06-23,5500.0,20083.25,0
2025-08-11,50000.0,175000.0,1
2025-08-12,142420.0,526120.318,1
2025-08-13,167086.0,647675.4618,1
2025-08-14,65494.0,254693.0672,1
2026-03-13,256232.0,1706505.12,0
2026-03-16,501279.0,3218211.18,0
2026-03-17,242489.0,1530105.59,0
