date,shares,amount,buy_flag
2011-02-22,220000.0,1872824.0,0
2011-02-25,423000.0,3442542.2,0
2011-02-28,475000.0,3724137.5,0
2011-03-01,150000.0,1136485.0,0
2011-03-02,1390000.0,10705840.0,0
2011-03-03,14000.0,108640.0,0
2011-03-04,186000.0,1415320.0,0
2011-03-07,50000.0,384000.0,0
2011-03-08,550000.0,4125990.0,0
2011-03-09,30700.0,222575.0,0
2011-03-10,606300.0,4400282.88,0
2011-03-11,4950000.0,37122000.0,0
2011-03-14,150000.0,1099500.0,0
2011-03-15,100000.0,724000.0,0
2011-03-21,154000.0,1085700.0,0
2011-03-24,546000.0,4123000.0,0
2011-03-25,188900.0,1413418.61,0
2011-03-28,186200.0,1368570.0,0
2011-03-29,424900.0,3080609.98,0
2011-04-04,31250.0,233687.5,0
2011-04-18,10482174.0,158021018.5652,0
2011-04-19,80000.0,1208624.0,0
2011-04-20,1631250.0,25760343.75,0
2011-04-21,1500000.0,25000000.0,0
2011-04-25,30000.0,497379.0,0
2011-04-29,200000.0,3202000.0000000005,0
2011-05-02,65800.0,1072540.0,0
2012-03-23,160000.0,1854560.0,0
2012-03-28,6302.0,73922.46,0
2012-03-29,993698.0,10910804.04,0
2012-04-02,264350.0,2905285.805,0
2012-04-03,4035650.0,44359664.645,0
2012-04-09,150926.0,1503072.034,0
2012-04-17,1712000.0,16454203.2,0
2012-04-18,1614341.0,15505583.8709,0
2012-04-19,682000.0,6586346.800000001,0
2012-05-29,150000.0,1795215.0,0
2012-06-07,16725.0,201634.9275,0
2012-06-15,100.0,1200.0,0
2012-06-18,162925.0,1955523.605,0
2012-06-19,1234200.0,15955128.409999998,0
2012-06-26,1100.0,14870.02,0
2012-06-27,48900.0,734204.16,0
2012-07-27,1204376.0,17453307.0,0
2012-09-04,467400.0,6745984.199999999,0
2012-10-01,150000.0,1884315.0,0
2013-11-18,50777.0,78196.58,1
2013-11-20,45000.0,81500.0,1
2014-11-11,35500.0,28605.7,1
2014-11-12,20000.0,17600.0,1
2015-08-11,20000.0,47000.0,1
2016-02-01,25000.0,34250.0,1
2016-11-09,122358.0,372041.7348,0
2017-06-29,151768.0,603824.1648,0
2017-06-30,105039.0,417950.181,0
2017-07-03,51104.0,209158.4512,0
2017-10-05,63479.0,221198.9234,0
2017-11-30,10000.0,32446.0,1
2018-01-02,128257.0,545092.25,0
2018-01-05,64683.0,284631.07320000004,0
2018-01-11,2612.0,11492.8,0
2018-01-12,9587.0,41128.23,0
2018-01-16,10000.0,41300.0,0
2018-01-17,31519.0,127021.57,0
2018-01-23,135205.0,596429.8165,0
2018-01-31,44857.0,167388.3812,0
2018-04-02,7900.0,23019.81,0
2018-04-03,19042.0,55052.3262,0
2018-07-02,26942.0,80955.3216,0
2018-09-24,2408947.0,25323083.744800005,0
2018-09-25,200000.0,2700000.0,0
2018-09-28,200000.0,3100000.0,0
2018-10-01,166853.0,2850117.1496,0
2018-10-31,40349.0,836816.1029,0
2018-11-12,607611.0,11587896.1787,0
2018-11-30,40348.0,718172.0606,0
2018-12-28,141500.0,1866668.0,0
2018-12-31,43984.0,593759.2689,0
2019-01-02,385000.0,5015703.0,0
2019-01-09,200000.0,3051080.0,0
2019-01-10,465920.0,8081951.3497,0
2019-01-11,3173.0,60033.16,0
2019-01-22,175300.0,3141884.37,0
2019-01-23,255779.0,4591309.7837,0
2019-01-24,609115.0,10754717.174500002,0
2019-01-31,52165.0,912343.1379,0
2019-02-01,27989.0,477497.9378,0
2019-02-15,25000.0,439525.0,0
2019-02-22,597507.0,11888398.855199998,0
2019-02-28,36774.0,761420.8965,0
2019-03-01,146000.0,3225373.3523,0
2019-03-04,385377.0,8212138.5496,0
2019-04-01,63714.0,1277513.5708,0
2019-04-30,36771.0,686945.4585,0
2019-05-17,13174.0,237138.587,0
2019-05-29,33799.0,623534.0917,0
2019-05-31,27229.0,488058.0418,0
2019-06-18,100000.0,1902090.0,0
2019-06-24,113195.0,2104521.44,0
2019-07-01,104186.0,2041175.7896000005,0
2019-07-02,69564.0,1442140.88,0
2019-07-03,29250.0,662237.5499999999,0
2019-07-05,100000.0,2381580.0,0
2019-07-11,51991.0,1158354.2809,0
2019-09-03,91016.0,1365722.3848,0
2019-11-05,6400.0,115230.08,0
2019-11-11,475546.0,8143451.7862,0
2019-11-12,38600.0,746759.46,0
2019-11-19,274454.0,6217371.1344,0
2019-12-16,168253.0,4268755.6449,0
2020-01-03,300000.0,6282870.000000001,0
2020-03-04,200000.0,3198700.0,0
2020-11-10,153840.0,635974.56,0
2020-11-11,413565.0,1681183.0815,0
2020-11-30,25000.0,121517.5,1
2021-01-27,421629.0,3378131.3375,0
2021-02-01,217728.0,1754133.5474,0
2021-06-03,5000.0,23115.0,1
2021-06-04,10000.0,45350.0,1
2021-08-12,120000.0,630240.0,0
2021-12-14,10000.0,32689.0,1
2021-12-15,2000.0,6310.0,1
2022-06-13,55000.0,92730.0,1
2023-08-16,300000.0,312315.205,1
2023-12-12,34131.0,26963.49,0
2024-01-22,14426.0,15724.340000000002,1
2024-08-02,160000.0,102400.0,1
