date,shares,amount,buy_flag
2003-08-11,1000.0,5640.0,0
2003-08-12,3000.0,17100.0,0
2003-08-14,1700.0,9599.0,0
2003-08-15,4300.0,24553.0,0
2003-08-18,23000.0,136770.0,0
2003-08-19,12800.0,76840.0,0
2003-09-02,1822.0,10203.2,0
2003-10-30,1300.0,8320.0,0
2003-10-31,200.0,1280.0,0
2003-11-05,300.0,1920.0,0
2003-11-06,3200.0,20480.0,0
2003-11-07,5000.0,32100.0,0
2003-11-10,1500.0,9630.0,0
2003-11-12,900.0,5778.0,0
2003-11-13,1400.0,8988.0,0
2003-11-18,5000.0,31000.0,0
2003-12-02,5000.0,30350.0,0
2003-12-15,2000.0,11440.0,0
2003-12-16,1200.0,6900.0,0
2003-12-18,11500.0,68220.0,0
2003-12-19,2300.0,13800.0,0
2003-12-22,6200.0,37260.0,0
2003-12-23,200.0,1210.0,0
2003-12-29,4000.0,24000.0,0
2003-12-30,1000.0,6040.0,0
2004-02-02,19100.0,115688.0,0
2004-02-03,1400.0,8540.0,0
2004-02-04,3000.0,18300.0,0
2004-02-05,1600.0,9760.0,0
2004-02-06,6400.0,39260.0,0
2004-02-09,3800.0,23370.0,0
2004-02-10,400.0,2460.0,0
2004-02-17,600.0,3690.0,0
2004-02-20,1100.0,6765.0,0
2004-02-23,2700.0,16605.0,0
2004-03-01,15600.0,96340.0,0
2004-03-05,5900.0,37170.0,0
2004-06-16,27800.0,148770.0,0
2004-06-17,500.0,2719.0,1
2004-06-24,5000.0,28004.0,0
2004-06-29,5000.0,27850.0,0
2004-07-21,2222.0,9999.0,0
2004-08-06,170000.0,722500.0,0
2004-08-09,101100.0,431190.0,0
2004-08-10,20000.0,85024.0,0
2004-08-11,3500.0,15770.0,0
2006-08-08,1000.0,5750.0,1
2006-08-10,600.0,3390.0,1
2006-08-11,2000.0,11140.0,1
2006-08-14,2000.0,10800.0,1
2008-11-19,8860.0,12399.57,1
2008-11-24,7025.0,8781.25,1
2008-11-25,3865.0,4831.25,1
2008-11-26,4075.0,5093.75,1
2008-11-28,200.0,250.0,1
2009-08-20,60000.0,143640.0,0
2009-08-28,10000.0,26500.0,0
2010-04-13,16000.0,44000.0,1
2010-05-28,2500.0,6875.0,0
2010-06-08,480.0,1344.0,0
2010-06-11,2020.0,5612.0,0
2010-08-23,400.0,1180.0,0
2010-09-10,10000.0,28026.0,0
2011-04-06,16000.0,49920.0,0
2011-04-06,16000.0,49920.0,1
2011-04-15,24000.0,74880.0,0
2011-06-20,55000.0,165000.0,0
2011-06-20,55000.0,165000.0,1
2012-04-04,3000.0,9797.1,1
2012-05-30,2500.0,7625.0,0
2012-06-14,35000.0,99750.0,1
2012-06-21,6600.0,20376.0,1
2013-05-14,200.0,322.0,1
2013-05-15,50000.0,87425.0,1
2013-05-16,9.0,16.650000000000002,1
2013-05-29,5000.0,9500.0,1
2013-06-20,10000.0,22488.0,1
2013-09-04,5000.0,13500.0,1
2013-09-10,8000.0,21440.0,1
2014-06-12,250000.0,607500.0000000001,1
2014-10-22,100000.0,220000.00000000003,1
2015-08-27,8600.0,17822.64,0
2016-06-06,500.0,1009.3,1
2016-06-07,500.0,1028.88,1
2016-06-08,500.0,1041.0,1
2016-06-22,500.0,1111.0,0
2017-03-29,5000.0,21216.5,0
2017-03-30,5000.0,21065.0,0
2017-03-31,5000.0,21603.76,0
2017-05-18,3500.0,13304.2,0
2017-05-19,3500.0,13650.35,0
2018-06-05,5000.0,13750.0,0
2018-06-06,34.0,93.5,0
2018-06-07,2966.0,7889.56,0
2018-06-14,5.0,13.5,0
2018-06-18,6900.0,19003.0,0
2019-05-15,160559.0,438326.07,0
2019-05-15,160559.0,438326.07,1
