date,shares,amount,buy_flag
2020-07-28,1502000.0,25534000.0,1
2021-03-23,5000.0,142176.48,0
2021-03-24,3995.0,120511.9715,0
2021-03-25,16175.0,465769.5696000001,0
2021-03-29,3750.0,95334.09,0
2021-03-30,3750.0,91966.045,0
2021-03-31,7102.0,199620.8854,0
2021-04-01,500.0,14041.0,0
2021-05-27,3500.0,77835.1,0
2021-06-03,15000.0,322324.824,0
2021-06-07,3750.0,83667.375,0
2021-06-08,3750.0,84562.5,0
2021-09-13,19690.0,393893.503,0
2021-09-16,7500.0,165340.5,0
2022-04-14,60000.0,146814.0,1
2022-07-07,2453988.0,9423313.92,1
2023-02-10,2647058.0,17999994.4,1
2023-02-13,3243.0,20449.8134,0
2023-02-14,310.0,1953.3972,0
2023-02-15,6571.0,38563.8848,0
2023-05-25,300000.0,639720.0,1
2023-07-11,2035.0,7806.4635,0
2023-12-26,350000.0,1008000.0,1
2023-12-27,21000.0,94966.2,0
2024-02-12,10750.0,59541.51,0
2024-02-20,7148.0,39378.810000000005,0
2024-04-08,3200.0,19411.2,1
2024-05-01,3200.0,14982.4,1
2024-06-03,3200.0,15459.2,1
2024-07-01,3200.0,16000.0,1
2024-07-15,2994.0,18034.92,0
2024-08-01,3200.0,19968.0,1
2024-08-29,5500.0,32725.0,0
2024-09-03,3200.0,17536.0,1
2024-09-05,5500.0,31020.0,0
2024-09-12,5500.0,33880.0,0
2024-09-19,4500.0,31950.0,0
2024-10-01,3200.0,19104.0,1
2024-10-15,5408.0,40073.28,0
2024-12-02,3200.0,17056.0,1
2025-02-13,10015.0,29726.15,0
2025-02-18,32911.0,96711.8,0
2025-06-30,4115.0,10122.9,1
2025-07-14,3086.0,7987.470000000001,0
2025-07-30,4115.0,9999.45,1
2025-09-02,4115.0,8600.349999999999,1
2025-09-30,4115.0,12550.75,1
2025-10-30,4115.0,13044.55,1
2025-11-17,500000.0,1495000.0,1
2025-11-18,500000.0,1590000.0,1
2025-11-19,500000.0,1970000.0,1
2025-11-20,400000.0,1792000.0000000002,1
2025-11-21,422613.0,1808783.64,1
2025-12-01,37115.0,156664.05,1
2025-12-30,4115.0,20657.3,1
2026-02-18,32513.0,165973.38,0
2026-03-02,27184.0,147454.41999999998,0
2026-03-10,8000.0,45360.0,1
2026-04-10,8000.0,49600.0,1
