date,shares,amount,buy_flag
2007-01-26,4500.0,90180.0,1
2007-01-30,155700.0,3114000.0,1
2008-12-16,100.0,602.0,0
2010-10-06,6500.0,36075.0,1
2010-10-18,10200.0,58650.0,1
2010-10-29,5400.0,30660.66,1
2013-01-24,200125.0,802499.5875,1
2013-02-05,4000.0,16118.4,1
2013-02-07,5000.0,19995.24,1
2013-03-04,65000.0,259995.85,1
2014-01-14,100000.0,423000.00000000006,1
2014-01-15,19494.0,83044.44,1
2015-03-04,4889.0,43350.763000000006,0
2015-08-28,70000.0,562940.0,1
2015-08-31,30000.0,241350.0,1
2018-10-22,500.0,4125.0,1
2018-11-07,1000.0,8248.699999999999,1
2018-11-29,1000.0,8079.900000000001,1
2019-06-25,1000.0,8214.0,1
2020-03-02,500.0,3900.0,1
2021-10-18,1000.0,9990.0,1
2023-07-11,1000.0,8189.999999999999,1
2025-01-07,250.0,2128.75,1
2025-05-12,200.0,1698.0,1
2025-08-01,350.0,3081.75,1
2025-09-26,500.0,4740.0,1
