date,shares,amount,buy_flag
2024-08-15,5623.0,67431.57830000001,0
2024-08-20,4377.0,53269.4031,0
2024-08-23,5000.0,55500.0,1
2024-08-29,2000.0,22910.0,0
2024-08-30,1345.0,15198.500000000002,0
2024-09-03,677.0,7602.71,0
2024-09-04,3084.0,34446.738,0
2024-09-05,22894.0,252285.0118,0
2024-09-17,500000.0,5000500.0,0
2024-11-08,5000.0,48650.0,1
2024-12-18,5000.0,45481.99999999999,1
2025-05-15,452659.0,4413425.25,0
2025-08-07,5000.0,45174.5,1
2025-08-21,595000.0,5801250.0,0
2025-09-17,50000.0,489115.0,0
2025-11-18,3441.0,28618.797,1
2026-03-20,481537.0,3789696.19,0
