date,shares,amount,buy_flag
2004-03-03,1875484.0,65360617.400000006,0
2004-03-12,145297.0,5063600.45,0
2004-05-28,10000.0,274262.0,1
2004-06-28,6395.0,180339.0,0
2004-06-29,36000.0,1013828.0,0
2004-06-30,213328.0,6073448.16,0
2004-09-15,20000.0,550602.0,0
2004-09-16,3909.0,107504.5,0
2004-09-24,73128.0,2049046.56,0
2004-12-02,9800000.0,320460000.0,0
2004-12-30,35300.0,836610.0,0
2004-12-31,40000.0,952000.0,0
2005-05-10,22000.0,543680.0,1
2005-05-12,58000.0,1452345.85,0
2005-05-25,4000.0,100028.0,1
2005-08-12,75000.0,2218060.0,0
2005-08-31,72468.0,2146139.82,0
2005-09-09,600000.0,18690090.0,0
2005-09-12,300000.0,9715456.0,0
2005-09-13,100000.0,3233562.0,0
2005-11-04,175000.0,6260673.0,0
2005-11-07,271016.0,9526235.45,0
2005-11-08,125000.0,4443447.0,0
2005-11-14,100000.0,3591269.0,0
2005-11-15,50000.0,1792019.0,0
2005-11-16,165000.0,6070080.3,0
2005-11-18,100000.0,3693611.0,0
2005-11-21,79432.0,2882976.2,0
2005-11-22,90000.0,3250879.0,0
2005-11-23,7080.0,257924.4,0
2005-11-28,65000.0,2369723.0,0
2005-11-29,165000.0,6057509.0,0
2005-11-30,89700.0,3284362.0,0
2005-12-06,53100.0,1923234.0,0
2005-12-07,35000.0,1242070.0,0
2005-12-08,112200.0,3984324.0,0
2006-02-13,190000.0,7218954.0,0
2006-02-14,209000.0,8052439.0,0
2006-02-15,76000.0,2922851.0,0
2006-02-21,100000.0,3910639.0,0
2006-02-22,160000.0,6357290.0,0
2006-02-23,100000.0,3955361.0,0
2006-02-27,115000.0,4595434.0,0
2006-02-28,216857.0,8505061.4808,0
2006-03-01,195000.0,7835384.52,0
2006-03-09,100000.0,3987216.0,0
2006-03-10,180000.0,7213560.0,0
2006-05-08,5000.0,189084.0,1
2006-05-10,50000.0,1848410.45,0
2006-05-11,23500.0,865890.0,0
2006-05-12,26400.0,965314.0,0
2006-05-16,90400.0,3277528.0,0
2006-05-17,10100.0,364990.0,0
2006-05-18,105000.0,3750613.0,0
2006-05-19,50000.0,1831569.0,0
2006-05-22,50000.0,1809163.0,0
2006-05-23,40000.0,1443425.0,0
2006-05-31,60000.0,2151460.0,0
2006-06-01,70000.0,2517966.0,0
2006-06-02,55000.0,1980651.0,0
2006-06-05,30000.0,1089860.0,0
2006-06-06,31600.0,1093395.0,0
2006-06-07,95000.0,3332935.8,0
2006-06-12,60000.0,2040461.0,0
2006-06-13,70000.0,2359181.0,0
2006-06-14,83000.0,2761922.0,0
2007-02-15,45000.0,1742625.0,0
2007-05-09,20000.0,829599.9999999999,0
2007-05-18,13500.0,588547.35,0
2007-05-30,200935.0,8630560.5327,0
2007-08-03,49091.0,2063250.5481,0
2007-08-06,18375.0,762941.025,0
2008-08-07,60852.0,2852566.8784000003,0
2008-08-08,13636.0,640892.0,0
2008-08-18,6100.0,288164.0,0
2008-11-24,125821.0,5396779.108999999,0
2008-11-25,62636.0,2748718.224,0
2008-11-26,2000.0,86299.0,1
2008-11-26,35378.0,1540604.104,0
2008-11-28,31052.0,1405778.3348,0
2009-02-12,66667.0,2674655.2829,0
2009-02-17,5000.0,196956.2,0
2009-02-19,620.0,24614.0,0
2009-02-24,10000.0,395000.0,0
2009-02-25,4667.0,182142.2759,0
2009-02-27,45332.0,1763414.8,0
2009-05-15,4675.0,170936.0,0
2009-06-18,998.0,36576.7,0
2009-07-15,1580.0,59648.002,0
2009-08-05,1500.0,60239.85,1
2009-08-05,35000.0,1399551.5,0
2009-08-10,59760.0,2418727.056,0
2009-08-12,15032.0,623527.36,0
2009-08-18,557.0,22892.7,0
2009-08-19,2000.0,81780.0,0
2009-08-21,110908.0,4605687.504,0
2009-09-02,1000.0,41710.0,0
2009-09-16,2000.0,83080.0,0
2009-10-01,1000.0,40720.0,0
2009-10-14,2000.0,82720.0,0
2009-11-09,1000.0,39950.0,0
2009-11-11,2000.0,79600.0,0
2009-11-24,4000.0,157760.0,1
2009-12-09,2000.0,75420.0,0
2010-01-06,2000.0,75280.0,0
2010-02-03,2000.0,78700.0,0
2010-02-08,3000.0,119850.0,0
2010-03-01,1000.0,40780.0,0
2010-03-02,5000.0,204600.0,0
2010-03-31,2000.0,85400.0,0
2010-04-01,2000.0,85560.0,0
2010-04-28,2000.0,86761.0,0
2010-05-03,2000.0,84720.0,0
2010-05-07,4000.0,163400.0,0
2010-05-26,2000.0,77761.45,0
2010-06-01,2000.0,76150.0,0
2010-06-21,1000.0,39970.0,0
2010-06-23,1590.0,61946.4,0
2010-07-21,2386.0,86039.3986,0
2010-08-18,2500.0,92950.0,0
2010-09-15,2500.0,94375.0,0
2010-10-13,2500.0,97975.0,0
2010-11-02,788689.0,31421369.760000005,0
2010-11-10,2500.0,103275.0,0
2010-11-29,25000.0,1012895.0,1
2010-11-30,25000.0,1010420.0,1
2011-05-23,60154.0,3099481.996,0
2012-02-07,3000.0,144390.0,0
2012-02-09,1688.0,82154.96,0
2012-02-10,45515.0,2214227.3745,0
2012-02-13,12706.0,620998.1264000001,0
2012-02-28,11900.0,562056.9,0
2012-03-15,82364.0,4031717.8,0
2012-05-25,1030.0,48904.4,1
2012-05-29,2000.0,94158.0,1
2012-05-30,1300.0,61083.100000000006,0
2012-08-01,10274.0,509313.002,0
2012-08-08,20000.0,1010520.0,0
2012-08-09,24635.0,1265573.855,0
2012-11-13,71000.0,3989078.2,0
2012-11-15,9000.0,503027.1,0
2013-01-17,411.0,23507.556,0
2013-02-11,44.0,2493.48,1
2013-02-15,25000.0,1427450.0,1
2013-02-19,24575.0,1420779.05,0
2013-02-22,95311.0,5763265.548,0
2013-02-27,12748.0,774466.496,0
2013-02-28,8100.0,499373.1,0
2013-04-30,2273.0,136357.27000000002,0
2013-05-08,9757.0,623579.627,0
2013-05-15,23000.0,1521726.0000000002,0
2013-05-21,23450.0,1549458.75,0
2013-07-30,12000.0,801408.0000000001,0
2013-08-09,5600.0,386321.6,0
2013-10-30,64045.0,5087030.305,0
2014-02-04,30000.0,2319150.0,1
2014-02-21,10000.0,862660.0,0
2014-02-26,65594.0,5606254.86,0
2014-04-15,10000.0,804700.0,0
2014-05-08,11303.0,971831.94,0
2014-05-15,10000.0,854945.0,0
2014-06-16,10000.0,897350.0,0
2014-07-15,10000.0,900610.0000000001,0
2014-07-16,9367.0,841025.462,0
2014-08-15,10000.0,853460.0,0
2014-09-02,14926.0,1309241.0699999998,0
2014-09-18,4454.0,391952.0,0
2014-10-01,41783.0,3629346.34,0
2014-11-19,60000.0,5426220.0,1
2015-02-10,32296.0,3132356.744,0
2015-02-11,33603.0,3318296.25,0
2015-02-12,5051.0,508964.015,0
2015-02-13,29001.0,2932204.107,0
2015-02-17,31906.0,3209455.64,0
2015-02-18,29049.0,2922009.861,0
2015-02-19,29089.0,2916434.051,0
2015-02-20,237564.0,23706501.32,0
2015-02-23,63158.0,6316205.0200000005,0
2015-02-24,29019.0,2923548.174,0
2015-02-25,38994.0,3921137.466,0
2015-02-26,29087.0,2897385.157,0
2015-02-27,29091.0,2918990.94,0
2015-03-02,29066.0,2903548.07,0
2015-03-03,29097.0,2896606.35,0
2015-03-04,29116.0,2890723.828,0
2015-03-05,29082.0,2908083.672,0
2015-03-06,29053.0,2887685.77,0
2015-03-09,29334.0,2886289.5960000004,0
2015-03-10,29244.0,2831082.396,0
2015-03-11,29402.0,2824503.13,0
2015-03-12,29238.0,2829741.354,0
2015-03-13,29296.0,2841595.219,0
