date,shares,amount,buy_flag
2004-03-03,10000.0,62523.0,0
2004-03-04,10000.0,61792.0,0
2004-03-16,10000.0,56242.0,0
2004-03-29,6000.0,36000.0,0
2006-03-08,25000.0,103013.0,0
2006-05-10,25000.0,121095.0,0
2006-08-10,25000.0,136167.0,0
2006-08-29,1500.0,8550.0,0
2006-09-12,10000.0,66862.61000000002,0
2006-09-13,10000.0,66144.0,0
2006-09-14,10000.0,65228.0,0
2006-10-10,4000.0,24667.0,0
2006-10-24,4000.0,23080.0,0
2006-11-08,25000.0,156150.0,0
2006-11-14,4000.0,25506.150000000005,0
2006-11-28,4000.0,25893.75,0
2006-12-11,20000.0,140000.0,0
2006-12-12,4000.0,28445.2,0
2006-12-26,4000.0,29965.0,0
2007-01-09,4000.0,28277.8,0
2007-01-23,4000.0,33064.45,0
2007-02-13,4000.0,34920.0,0
2007-02-27,4000.0,31834.0,0
2007-03-13,4000.0,30906.0,0
2007-03-14,4400.0,34100.0,0
2007-03-15,200.0,1550.0,0
2007-03-27,4000.0,33602.149999999994,0
2007-04-04,3075.0,27675.0,0
2007-04-10,4000.0,37315.0,0
2007-04-24,4000.0,39249.75,0
2007-05-10,4600.0,59758.0,0
2007-05-11,31000.0,396964.06000000006,0
2007-05-14,25000.0,313337.7,0
2007-05-15,2500.0,32177.0,0
2007-05-17,30800.0,390424.0,0
2007-05-21,1000.0,14011.0,0
2007-05-22,6500.0,92430.0,0
2007-05-31,82000.0,1208680.0,0
2007-06-12,1004.0,13672.48,0
2007-06-13,22000.0,298390.0,0
2007-07-02,9000.0,118155.0,0
2007-09-10,28000.0,253806.22,0
2008-01-18,5000.0,40450.0,0
2008-02-26,11414.0,109640.71,0
2008-02-27,6300.0,60480.0,0
2008-03-04,5000.0,46000.0,0
2008-03-12,10000.0,87500.0,0
2008-03-13,8705.0,76942.22,0
2008-03-14,900.0,8118.0,0
2008-04-15,5500.0,57739.350000000006,0
2008-05-06,2500.0,29327.0,0
2008-05-07,5000.0,57523.99,0
2008-05-15,5500.0,63470.0,0
2008-05-22,6490.0,70741.0,0
2008-05-27,33564.0,367425.5,0
2008-05-28,14496.0,160610.15999999997,0
2008-06-11,2000.0,21094.0,0
2008-06-16,6500.0,70363.87,0
2008-07-15,5500.0,58209.8,0
2008-08-05,28250.0,377073.45,0
2008-08-06,13698.0,187630.2152,0
2008-08-07,3000.0,41880.0,0
2008-08-12,2220.0,31080.0,0
2008-08-14,4000.0,57753.2149,0
2008-08-15,5500.0,79401.0,0
2008-08-19,6700.0,100670.1333,0
2008-08-25,45000.0,636813.0,0
2008-08-26,6000.0,88020.0,0
2008-09-03,939.0,15352.65,0
2008-09-08,18000.0,286943.4,0
2008-09-09,1162.0,18882.5,0
2008-09-15,5500.0,73496.91,0
2008-11-05,25000.0,311500.0,0
2009-06-09,10000.0,56500.0,0
2009-06-11,600.0,3648.0,0
2009-06-12,5037.0,30025.52,0
2009-06-15,2000.0,11487.0,0
2009-06-16,10000.0,57579.0,0
2009-08-13,7662.0,46898.3358,0
2009-08-18,1500.0,10755.0,0
2009-08-21,7000.0,56300.2,0
2009-08-24,26800.0,213102.88,0
2009-09-09,500.0,4054.0,0
2010-03-01,7500.0,52582.5,0
2010-11-12,9000.0,53245.78,0
2010-11-15,3000.0,17430.0,0
2011-05-03,10000.0,55296.0,0
2011-05-04,10000.0,54288.99999999999,0
2011-05-05,14000.0,75308.62,0
2011-05-17,23401043.0,10694276.651,1
2011-07-13,300.0,1800.0,0
2011-07-14,101.0,606.0,0
2011-11-18,5000.0,22464.0,0
2011-11-21,4000.0,17354.81,1
2011-11-22,10000.0,43500.0,0
2011-12-06,3000.0,13681.0,0
2012-02-21,5000.0,28025.000000000004,0
2012-05-21,2100.0,10285.0,1
2012-05-29,4000.0,18276.0,0
2012-05-30,6000.0,27115.2,0
2012-06-01,3000.0,13703.999999999998,0
2012-06-07,25000.0,119837.5,1
2012-08-27,3000.0,16031.4,0
2012-11-14,6000.0,34321.8,0
2012-11-30,4360.0,25906.248,0
2013-05-31,2250.0,13830.975,0
2013-06-05,2000.0,12380.0,0
2013-06-06,2000.0,12220.88,0
2013-08-01,6000.0,42588.0,0
2013-08-05,2000.0,14041.0,0
2013-08-08,2500.0,17675.0,0
2013-08-27,4500.0,28463.85,0
2013-10-29,7000.0,63000.0,0
2013-11-04,16909.0,162611.1497,0
2013-11-05,45504.0,427227.9552,0
2013-11-06,31121.0,289515.5509,0
2013-11-07,23375.0,221447.7375,0
2013-11-11,5150.0,51495.5,0
2013-11-12,9442.0,93629.7046,0
2013-11-26,5000.0,52500.0,0
2013-11-27,25000.0,265102.5,0
2014-05-02,2823.0,25243.7091,0
2014-05-06,14047.0,123754.07,0
2014-05-12,29223.0,263050.8345,0
2014-05-13,1300.0,11704.03,0
2014-05-16,8952.0,77088.3576,0
2014-06-09,2500.0,23152.0,0
2014-07-28,24477.0,232924.8957,0
2014-07-29,2500.0,24175.0,0
2014-08-13,20881.0,219349.31,0
2014-08-14,119.0,1249.5,0
2014-08-18,10000.0,105182.0,0
2014-08-25,5000.0,50255.0037,0
2014-09-02,20000.0,201502.00000000003,0
2014-09-08,10000.0,100529.0,0
2014-10-30,10333.0,104246.5371,0
2014-11-03,10000.0,102200.0,0
2014-11-05,4000.0,40320.0,0
2014-11-25,20211.0,204367.6395,0
2014-12-09,3900.0,40141.92,0
2015-02-19,30000.0,327945.0,0
