date,shares,amount,buy_flag
2004-01-29,1400.0,44520.0,0
2004-02-02,22700.0,711163.76,0
2004-02-13,7400.0,237049.0,0
2004-03-05,16900.0,540800.0,0
2004-04-21,500.0,15185.0,1
2004-05-28,1950.0,57857.5,0
2004-06-01,1000.0,29450.0,0
2004-06-02,1000.0,29100.0,0
2004-06-03,8800.0,257214.0,0
2004-12-15,27800.0,819771.96,0
2004-12-16,26712.0,786403.9512,0
2005-04-26,16100.0,471168.11,0
2005-05-12,1850.0,53829.45,0
2005-05-13,7300.0,212408.1,0
2005-05-26,20100.0,615426.0,0
2005-08-15,71299.0,1997797.98,0
2005-08-24,3724.0,104272.0,0
2005-08-29,600.0,16800.0,0
2005-10-20,12838.0,410816.0,0
2005-10-24,51600.0,1638919.2,0
2005-10-26,51500.0,1630818.9,0
2005-11-17,18525.0,639475.59,0
2005-11-18,9225.0,332214.39,0
2005-11-22,10700.0,385205.0,0
2005-11-23,5300.0,190800.0,0
2006-01-26,38000.0,1619478.0,0
2006-02-13,17937.0,783326.53,0
2006-02-14,15800.0,689594.0,0
2006-02-15,5000.0,222550.0,0
2006-02-22,10350.0,480680.0,0
2006-02-24,25729.0,1207015.25,0
2006-02-27,32300.0,1515579.0,0
2006-04-27,56300.0,2626055.0,0
2006-11-15,37050.0,1407900.0,0
2007-01-25,37050.0,1416066.8,0
2007-02-23,32660.0,1315571.0,0
2007-02-27,400.0,18700.0,0
2007-04-23,16600.0,631278.9199999999,0
2007-04-24,20450.0,777658.97,0
2007-05-21,58250.0,2277154.01,0
2007-07-20,104212.0,5216746.25,0
2007-08-16,1000.0,46209.8,1
2008-02-26,0.774,28.599300000000003,0
2008-12-17,12100.0,361096.78,0
2009-07-21,54086.0,2062893.8,0
2009-07-23,3917.0,156711.34,0
2009-10-20,62197.0,2716403.0394,0
2009-10-21,54200.0,2400763.56,0
2009-10-22,27000.0,1164944.71,0
2009-11-18,500.0,21304.0,0
2010-01-28,0.466,20.16848,0
2010-08-04,2210.0,121351.1,0
2010-08-09,8830.0,488259.97,0
2010-08-16,1500.0,75916.5,0
2010-08-31,17437.0,903073.34,0
2010-09-03,18649.0,992440.3200000002,0
2010-09-08,24542.0,1346871.56,0
2010-09-09,3600.0,194930.06,0
2010-09-10,31758.0,1712519.34,0
2010-09-13,100.0,5422.0,0
2011-02-09,75920.0,3166305.895,0
2011-02-10,74356.0,3115647.8,0
2011-02-11,93924.0,3947107.9228000017,0
2011-02-17,22950.0,978368.16,0
2011-12-02,1105.607,42909.713277,0
2012-01-31,13350.0,566033.65,0
2012-02-01,130331.0,5671394.58,0
2012-02-02,22369.0,973183.62,0
2012-02-10,36617.0,1669297.15,0
2012-02-11,2151.0,149830.91640000002,0
2012-02-16,7490.0,345242.5,0
2012-02-28,2900.0,131935.6,0
2012-03-05,5490.0,247585.275,0
2012-04-25,12000.0,570188.3,0
2012-04-26,66650.0,3178128.2299999995,0
2012-05-01,9362.0,453021.41,0
2012-05-02,9700.0,466090.953,0
2012-05-15,3000.0,140386.92,0
2012-07-20,22050.0,1125551.9,0
2012-08-16,1694.0,88093.42079999999,0
2012-11-01,88107.0,5402099.2709,0
2012-11-05,2000.0,123000.0,0
2012-11-06,13200.0,816406.7999999999,0
2012-11-19,12000.0,721946.25,0
2012-12-06,2345.0,146953.8805,0
2013-02-06,1372.0,96042.8812,0
2013-02-11,27134.0,1890891.3727,0
2013-03-05,81600.0,5977665.12,0
2013-03-08,6000.0,442468.8,0
2013-06-06,8000.0,273877.6,0
2013-07-26,43300.0,1768888.92,0
2013-07-29,10102.0,408610.747,0
2013-08-01,22800.0,958596.36,0
2013-08-02,6800.0,284800.32,0
2013-08-15,6000.0,252041.4,0
2013-08-19,21150.0,884457.045,0
2013-09-06,12900.0,556659.51,0
2013-10-23,63000.0,3169489.8,0
2013-10-24,5669.0,284805.45790000004,0
2013-10-25,5764.0,291299.8792,0
2013-10-31,13410.0,689929.7490000001,0
2013-11-11,7750.0,408251.235,0
2013-12-06,3300.0,175204.91999999998,0
2014-01-31,8509.0,402050.25,0
2014-02-10,42723.0,1994697.4522,0
2014-02-11,7033.0,329053.6743,0
2014-02-17,6900.0,429725.1,0
2014-03-03,2533.0,124298.3628,0
2014-04-25,25000.0,1183470.0,0
2014-05-01,3854.0,180651.2398,0
2014-07-24,20000.0,993878.0,0
2014-09-05,25200.0,1242047.52,0
2014-11-25,14300.0,779478.7,0
2014-12-03,4933.0,270312.6144,0
2014-12-04,13800.0,755031.12,0
2015-01-29,8614.0,507467.968,0
2015-01-30,583.0,34603.965,0
2015-02-02,4667.0,277624.8956,0
2015-02-03,13416.0,916354.8996,0
2015-02-04,3000.0,190134.0,0
2015-02-05,11700.0,716668.29,0
2015-02-10,39290.0,2413765.4340000004,0
2015-02-17,10923.0,678602.298,0
2015-02-18,53153.0,3314562.5573,0
2015-03-05,8236.0,521362.3771,0
2015-08-04,43079.0,3100270.7009,0
2015-10-27,15933.0,1169238.4251,0
2015-10-29,13585.0,1038654.8615,0
2015-10-30,3615.0,276519.303,0
2015-11-30,20434.0,1645179.907,0
2015-12-01,5397.0,432592.2174,0
2015-12-02,3216.0,258237.0816,0
2015-12-11,1375.0,106671.95,0
2015-12-21,464.0,35863.952000000005,0
2016-02-12,34634.0,2278471.942,0
2016-02-22,8709.0,603098.25,0
2016-04-29,12000.0,923218.8,0
2016-05-02,8182.0,639516.1744,0
2016-05-10,5000.0,392800.0,0
2016-05-13,1871.0,147809.0,0
2016-05-16,80400.0,6333365.28,0
2016-05-20,15000.0,1208793.5,0
2016-05-24,20000.0,1654800.0,0
2016-05-25,6072.0,508059.0608,0
2016-05-27,3800.0,315775.44,0
2016-07-28,1146.0,107448.6162,0
2016-07-29,6200.0,578398.62,0
2016-11-10,2473.0,118996.0613,0
2016-11-14,20000.0,953712.0,0
2016-12-05,20000.0,994832.0,0
2016-12-06,10000.0,497339.0,0
2016-12-12,576.0,37902.643200000006,0
2017-02-06,44490.0,2201133.852,0
2017-02-08,16000.0,788480.0,0
2017-02-09,17621.0,863429.0,0
2017-02-10,120900.0,6022161.99,0
2017-02-15,24645.0,1213293.066,0
2017-02-27,21404.0,1093669.486,0
2017-02-28,7500.0,379460.25,0
2017-03-09,7406.0,365874.1744,0
2017-05-01,82560.0,4448471.6206,0
2017-05-03,1250.0,67014.0,0
2017-05-04,13600.0,739708.0800000001,0
2017-05-05,30000.0,1657530.0,0
2017-05-09,750.0,41220.075,0
2017-05-10,3987.0,216706.5864,0
2017-05-24,8000.0,433960.8,0
2017-05-25,25200.0,1372124.88,0
2017-06-02,12200.0,687149.14,0
2017-08-03,60000.0,3241122.0,0
2017-10-31,22267.0,1321087.7498,0
2017-11-02,9594.0,574464.4488,0
2017-11-17,9723.0,573809.6511,0
2017-11-22,8958.0,544464.5525999999,0
2017-11-28,15000.0,927121.5,0
2017-11-29,13813.0,860759.6886,0
2017-11-30,3610.0,226504.035,0
2017-12-01,5288.0,333885.90640000004,0
2017-12-06,13293.0,817405.1802,0
2017-12-07,7644.0,470772.5568,0
2018-02-01,17856.0,1187424.0,0
2018-02-13,11606.0,716547.4764,0
2018-02-14,6800.0,435308.12,0
