date,shares,amount,buy_flag
2015-08-12,120211.0,2173469.75,1
2015-08-20,5600.0,100484.16,1
2015-08-21,2750.0,48675.0,1
2015-08-25,68775.0,1156592.6475,1
2015-08-26,750.0,12532.5,1
2015-08-28,5592.0,99984.96,1
2016-09-07,5272.0,98213.7788,1
2016-09-08,1000.0,18425.0,1
2016-09-09,7514.0,136886.461,1
2016-09-12,1500.0,27335.0,1
2016-09-13,3000.0,55005.0,1
2016-09-14,1000.0,18300.0,1
2016-11-11,5825.0,102176.72,1
2016-11-14,3000.0,53830.0,1
2016-11-15,4000.0,71560.0,1
2017-03-03,2600.0,50257.99999999999,1
2017-03-06,1500.0,28527.0,1
2017-03-16,10000.0,191143.7496,1
2017-05-12,3000.0,55524.3,1
2017-05-25,5400.0,102535.74,1
2017-06-06,5400.0,100644.66,1
2017-08-11,43000.0,757647.1000000001,1
2017-08-14,1000.0,17939.0,1
2017-08-21,1000.0,17940.0,1
2017-08-22,1000.0,17980.0,1
2017-08-28,5000.0,89136.0,1
2017-11-10,5000.0,95899.5,1
2018-02-28,26300.0,449797.11,1
2018-03-01,4591.0,77522.70000000001,1
2018-03-02,1000.0,16930.0,1
2018-03-05,4000.0,67620.0,1
2018-03-06,1000.0,16950.0,1
2018-03-08,10000.0,171578.00000000003,1
2018-03-14,2800.0,48655.88,1
2018-03-15,4313.0,74830.55,1
2018-05-14,5000.0,92600.0,1
2018-06-13,532.0,9975.0,1
2018-08-10,6156.0,106620.23470000002,1
2018-08-13,12500.0,216298.0,1
2018-08-14,1.0,17.45,1
2018-08-20,10000.0,176300.0,1
2018-08-23,6000.0,105877.8,1
2018-11-09,1000.0,16147.8,1
2018-11-12,7000.0,113476.5,1
2018-11-13,3000.0,47907.0,1
2018-11-14,6624.0,105507.8888,1
2018-11-15,6300.0,98918.0,1
2018-11-16,1000.0,15615.0,1
2018-12-06,5000.0,77500.0,1
2019-03-01,29000.0,477295.50000000006,1
2019-03-07,1000.0,16379.999999999998,1
2019-05-17,5000.0,82084.49999999999,1
2019-06-11,2000.0,31766.0,1
2019-08-09,5000.0,76945.5,1
2019-08-12,2000.0,31093.2,1
2019-11-08,5000.0,81296.5,1
2019-11-13,1000.0,16050.0,1
2019-11-15,1000.0,16116.499999999998,1
2020-03-02,6000.0,78760.0,1
2020-03-03,3000.0,38758.5,1
2020-03-10,16000.0,180965.5,1
2020-06-11,5000.0,56579.0,1
2020-06-15,500.0,5622.5,1
2020-08-17,5000.0,48390.00000000001,1
2020-08-21,1000.0,9480.0,1
2020-08-24,1000.0,9500.0,1
2020-09-03,180.0,1952.37,1
2020-09-04,1000.0,10895.1,1
2020-09-11,500.0,5047.5,1
2020-11-11,5000.0,60555.5,1
2021-03-15,1915.0,29998.475,1
2021-04-08,12916.0,197024.5388,0
2021-04-26,12916.0,200346.534,0
2021-04-28,100.0,1575.0,0
2021-04-29,15193.0,239842.7752,0
2021-05-03,10576.0,169240.32480000003,0
2021-05-26,315.0,4957.722,1
2021-06-08,17642.0,291128.284,0
2021-08-10,5000.0,72190.5,1
2021-08-12,336.0,5006.400000000001,1
2021-08-19,300.0,4272.0,1
2021-08-20,1000.0,14535.0,1
2021-09-15,10000.0,152926.0,0
2021-11-04,5642.0,94523.8112,0
2021-11-05,25015.0,424877.2735,0
2021-11-09,5000.0,80175.0,1
2022-02-28,5000.0,87971.5,1
2022-03-14,1670.0,29993.2,1
2022-05-16,5000.0,81099.0,1
2022-05-24,332.0,4996.5668,1
2022-05-25,310.0,4930.674,1
2022-06-10,1100.0,17498.85,1
2022-06-13,600.0,8919.14,1
2022-08-09,5613.0,91042.0019,1
2022-11-10,5000.0,81425.0,1
2022-11-17,935.944,14999.9986,1
2023-02-27,5000.0,84498.03,1
2023-03-14,1000.0,15545.0,1
2023-05-05,5648.0,87478.19,1
2023-05-25,70.0,1009.4,1
2023-05-31,1000.0,14480.0,1
2023-08-11,5000.0,75338.0,1
2023-11-10,1750.0,27613.95,1
2024-02-27,1000.0,15967.1,1
2024-05-16,1000.0,14729.5,1
2024-05-17,549.0,8004.42,1
2024-05-21,5000.0,73900.0,1
2024-08-08,5000.0,70225.0,1
2024-08-21,1000.0,14095.0,1
2025-02-27,5000.0,72700.0,1
2025-02-28,1000.0,14570.0,1
2025-03-12,7250.0,99289.475,1
2025-05-06,13000.0,148360.0,1
2025-05-08,1000.0,11450.0,1
2025-05-09,2100.0,24612.0,1
2025-06-04,1000.0,11574.6,1
2025-08-19,5000.0,61451.0,1
2025-11-11,2000.0,23879.8,1
2025-11-13,1000.0,11754.7,1
2025-12-11,5000.0,59550.0,1
