date,shares,amount,buy_flag
2007-02-07,59000.0,1062000.0,0
2007-02-08,8788900.0,158200200.0,0
2007-02-13,3757614.0,67637052.0,0
2007-09-04,100000.0,1382240.0,1
2007-10-30,10000.0,200000.0,0
2007-11-12,100000.0,1590810.0,0
2007-12-11,20000.0,307231.0,1
2007-12-12,10000.0,149800.0,1
2008-03-06,1000.0,10000.0,1
2008-05-05,10000.0,86159.1,1
2008-09-09,800.0,6400.0,1
2008-09-11,4200.0,32760.0,1
2009-02-10,250000.0,1400000.0,0
2009-02-11,250000.0,1332500.0,0
2009-03-24,1200000.0,5856000.0,0
2009-06-01,17500.0,105637.0,0
2009-06-02,17500.0,107247.0,0
2009-06-12,50000.0,394305.0,0
2009-06-26,1200000.0,7320000.0,0
2009-12-03,850000.0,4199000.0,0
2009-12-08,15600.0,83601.95999999999,0
2009-12-09,24400.0,137589.16,0
2010-01-12,200000.0,1256000.0,0
2010-03-15,7000.0,49802.9,0
2010-03-16,12500.0,88076.25,0
2010-03-17,12500.0,91135.0,0
2010-04-01,3031.0,18398.17,0
2010-04-14,1000.0,7000.0,0
2010-04-16,6000.0,40176.6,0
2010-04-21,12500.0,79875.0,0
2010-04-22,12500.0,78296.25,0
2010-05-03,6000.0,38578.0,0
2010-05-17,1000.0,6450.0,0
2010-05-18,6000.0,38971.8,0
2010-05-26,12500.0,74682.5,0
2010-05-27,12500.0,77875.0,0
2010-06-01,7000.0,41501.2,0
2010-06-09,12500.0,79743.75,0
2010-06-10,12500.0,79771.25,0
2010-06-15,4000.0,27940.0,0
2010-06-16,6000.0,41113.2,0
2010-06-18,1000.0,7000.0,0
2010-07-01,19500.0,123346.8,0
2010-07-02,12500.0,77873.75,0
2010-07-16,6000.0,36208.8,0
2010-08-02,7000.0,46539.8,0
2010-08-17,6000.0,40884.0,0
2010-08-18,1000.0,7000.0,0
2010-08-24,12500.0,81416.25,0
2010-08-25,12500.0,79355.0,0
2010-09-01,7000.0,43458.8,0
2010-09-15,12500.0,77643.75,0
2010-09-16,18500.0,112704.55,0
2010-10-01,7000.0,43502.8,0
2010-10-07,12500.0,75762.5,0
2010-10-08,12500.0,75396.25,0
2010-10-18,6000.0,36994.2,0
2010-11-01,7000.0,46104.0,0
2010-11-05,1000.0,7000.0,0
2010-11-16,6000.0,36106.0,0
2010-11-17,12500.0,73870.0,0
2010-11-18,12500.0,74641.25,0
2010-12-01,1000.0,6050.0,0
2010-12-02,6000.0,36411.0,0
2010-12-09,12500.0,75521.25,0
2010-12-10,12500.0,76923.75,0
2010-12-16,6000.0,39065.4,0
2011-01-03,7000.0,47267.8,0
2011-01-11,1000.0,7000.0,0
2011-01-18,7000.0,49770.0,0
2011-01-20,12500.0,84932.5,0
2011-01-21,12500.0,84835.0,0
2011-01-28,2000.0,17000.0,0
2011-02-01,9000.0,76850.0,0
2011-02-02,12500.0,108603.75,0
2011-02-03,12500.0,109516.25,0
2011-02-04,1000.0,9000.0,0
2011-02-07,1000.0,10000.0,0
2011-02-15,10000.0,101367.5,0
2011-03-01,10000.0,98058.4,0
2011-03-03,1000.0,10030.0,0
2011-03-10,12500.0,103530.0,0
2011-04-01,3774.0,34041.48,0
2011-05-02,1000.0,8930.0,0
2011-06-01,1000.0,7120.0,0
2011-06-13,10000.0,75196.0,0
2011-06-14,10000.0,75456.0,0
2011-06-15,9000.0,66690.0,0
2011-07-01,1000.0,8000.0,0
2011-07-02,761.0,6179.32,0
2011-07-05,10000.0,81315.00000000001,0
2011-07-06,10000.0,82255.0,0
2011-07-15,9000.0,75690.0,0
2011-08-01,1000.0,6990.0,0
2011-08-15,9000.0,45350.0,0
2011-08-24,10000.0,47167.0,0
2011-08-25,10000.0,46232.0,0
2011-09-15,19000.0,93246.7,0
2011-09-16,10000.0,51543.0,0
2011-10-01,7065.0,25076.3092,0
2011-10-05,10000.0,38874.0,0
2011-10-06,10000.0,39473.0,0
2011-10-31,287.0,1122.0839,0
2011-11-15,100.0,394.0,1
2011-11-17,400.0,1628.0,0
2011-12-12,1900.0,7581.0,1
2011-12-13,8100.0,33210.0,1
2012-02-01,6000.0,36000.0,0
2012-02-16,10000.0,73347.0,0
2012-02-17,10000.0,72158.0,0
2012-03-01,1000.0,6820.0,0
2012-03-08,10000.0,65585.0,0
2012-03-09,10000.0,66917.0,0
2012-03-13,2278.0,14941.8576,0
2012-04-17,10000.0,73499.0,0
2012-04-18,10000.0,77127.0,0
2012-05-24,10000.0,60639.0,0
2012-05-25,10000.0,61620.0,0
2012-06-06,10000.0,64031.0,0
2012-06-07,10000.0,64044.0,0
2012-07-09,10000.0,63008.0,0
2012-07-10,10000.0,62655.0,0
2012-08-22,10000.0,63812.0,0
2012-08-23,10000.0,62431.0,0
2012-09-17,10000.0,59554.0,0
2012-09-18,10000.0,60552.0,0
2012-10-01,15702.0,110857.8138,0
2012-10-10,10000.0,70164.0,0
2012-10-11,10000.0,70393.0,0
2012-10-31,283.0,1941.6913,0
2012-11-21,11900.0,75824.42,0
2012-11-30,2600.0,15919.54,0
2012-12-31,2547.0,15995.16,0
2013-01-18,100.0,525.99,1
2013-02-13,100000.0,437890.0,1
2013-03-05,20000.0,85938.0,1
2013-09-04,11002.0,71850.3664,0
2013-10-01,1791.0,13199.67,0
2013-12-03,8000.0,61880.0,0
2013-12-04,7000.0,53921.0,0
2014-02-04,9795.0,101182.35,1
2014-05-06,50000.0,407500.0,1
2014-11-03,100000.0,634000.0,1
2014-11-30,2541.0,16821.420000000002,0
2015-01-31,1033.0,7623.54,0
2015-02-02,4131.0,30486.78,0
2015-08-31,957.0,6507.5043,0
2015-11-09,50000.0,356000.0,1
2017-10-04,99136.0,419880.6144,0
2017-11-30,3324.0,17617.2,0
2017-12-01,25151.0,122142.3054,0
2018-04-03,14257.0,66295.05,0
2018-07-03,64739.0,263811.425,0
2018-10-02,14921.0,66454.0021,0
2018-10-03,12869.0,56404.827,0
2018-10-31,18742.0,87903.72839999999,0
2018-11-01,26361.0,121435.952,0
2018-11-05,50000.0,235750.0,1
2018-12-03,18183.0,72978.7527,0
2019-04-02,6604.0,29982.16,0
2019-05-02,1921.0,7760.84,0
2019-07-01,8222.0,30839.8998,0
2019-07-02,56426.0,211631.3556,0
2019-09-04,12500.0,32750.0,1
2019-10-01,28739.0,78184.268,0
2019-10-31,32595.0,85101.88359999999,0
2019-11-01,1770.0,4548.369000000001,0
2019-11-01,25000.0,65000.0,1
2019-12-04,20106.0,55112.2446,0
2020-01-03,10563.0,28523.2689,0
2020-10-02,24011.0,58373.1421,0
2020-11-03,49268.0,148827.2691,0
2020-11-11,50000.0,173135.0,1
2020-12-01,559.0,2493.14,0
2020-12-02,15674.0,63804.15180000001,0
2021-02-01,20000.0,100400.0,1
2021-03-02,11268.0,62199.35999999999,0
2021-05-03,1420.0,6730.8,0
2021-08-16,17500.0,63700.0,1
2021-08-18,25000.0,90886.8,1
2021-09-30,15741.0,62334.36,0
2021-10-01,8755.0,34582.25,0
2021-11-02,37276.0,194953.48,0
2021-11-08,9000.0,49047.3,1
2021-12-02,23858.0,109573.0002,0
2022-01-31,12000.0,42360.0,1
2022-03-01,11653.0,39975.6165,0
2022-05-04,1559.0,4131.349999999999,0
2022-09-01,18443.0,43894.34,0
2022-10-03,40222.0,84417.93360000002,0
2022-11-01,63317.0,127248.1749,0
2022-12-01,26506.0,55556.576,0
2023-01-04,2053.0,4229.18,0
2023-03-01,11977.0,34613.53,0
2023-06-01,28805.0,102257.75,0
2023-07-03,17085.0,65264.7,0
2023-09-01,8195.0,23355.75,0
2023-10-03,40361.0,105725.6395,0
2023-10-31,3303.0,8533.9611,0
2023-11-01,38338.0,98528.66,0
2023-12-01,184051.0,434248.4098,0
2024-01-03,16245.0,44529.1695,0
2024-03-01,11991.0,31056.69,0
2024-05-28,50000.0,77045.0,1
2024-05-29,50000.0,79000.0,1
2024-06-04,2701.0,4597.102,0
2024-09-04,8404.0,17276.1028,0
2025-06-13,50000.0,62334.99999999999,1
2025-11-19,20000.0,19410.0,1
2026-02-18,126125.0,67199.40000000001,1
2026-02-19,69000.0,36597.6,1
2026-02-20,54875.0,30878.1625,1
