date,shares,amount,buy_flag
2004-02-11,40.0,1161.268,1
2004-02-17,10.0,292.808,1
2004-02-17,1200.0,35104.0,0
2004-02-18,10.0,289.854,1
2004-02-18,10231.0,293056.6,0
2004-04-26,75202.0,2092833.02,0
2004-05-27,7586.0,227580.0,0
2004-05-28,2391.0,71730.0,0
2004-07-23,1.478,50.252,0
2004-07-27,40700.0,1390340.35,0
2004-07-28,7500.0,254831.1,0
2004-08-03,25895.0,923624.4237,0
2004-08-04,15097.0,534160.5443,0
2004-08-11,18300.0,671205.0,0
2004-08-25,3008.0,106297.96,0
2004-08-27,15.0,528.9,1
2004-10-26,75.0,2887.5,0
2004-11-03,12100.0,480099.7,0
2004-11-08,3280.0,134480.0,0
2004-11-11,30380.0,1246147.284,0
2004-11-12,15900.0,656208.9,0
2004-11-16,886.0,36060.2,0
2004-11-23,1425.0,58864.5,0
2005-02-25,16000.0,653968.0,0
2005-08-30,15000.0,503294.5,0
2005-11-10,47860.9063,1984205.7402028,0
2005-11-11,5446.8,230866.97544000004,0
2005-11-15,8134.0,335778.8406,0
2005-11-16,1732.0,72063.4972,0
2005-11-17,5900.0,247551.02,0
2005-11-18,63130.0,2636495.215,0
2006-01-31,12000.0,516596.4,0
2006-02-09,24656.0,1048573.75,0
2006-02-21,14192.0,600101.6240000001,0
2006-02-27,11971.0,511931.4353,0
2006-11-10,6485.0,259464.85,0
2006-11-13,2902.0,116080.0,0
2006-11-14,4281.0,171240.0,0
2006-11-20,440.0,17529.600000000002,0
2007-02-26,4156.0,172141.52000000002,0
2007-02-27,4156.0,170811.6,0
2007-05-24,3500.0,140945.0,0
2008-04-28,5159.0,207022.08,0
2008-04-30,9000.0,366507.0,0
2008-05-01,6300.0,262937.87,0
2008-05-05,206798.0,8284728.29,0
2008-05-06,179202.0,7103191.2275,0
2009-08-03,4500.0,128610.0,0
2009-08-13,2000.0,60000.0,0
2009-10-01,3000.0,88800.0,0
2009-11-02,3000.0,77550.0,0
2009-12-01,3000.0,74070.0,0
2010-01-04,3000.0,88674.0,0
2010-02-01,3000.0,67740.0,0
2010-02-11,2400.0,55817.04,0
2010-03-01,3000.0,79077.0,0
2010-04-01,3046.0,91288.62,0
2010-04-28,393.0,12269.46,0
2010-04-29,500.0,15255.0,0
2010-11-18,10000.0,246955.0,0
2010-11-30,800.0,19648.0,0
2011-04-28,1000.0,23000.0,0
2011-05-26,6976.0,169419.136,0
2011-08-23,2600.0,48638.2,1
2013-08-14,15052.0,352781.888,0
2013-11-15,8500.0,275370.0,0
2013-11-18,7900.0,258925.8,0
2013-11-21,5500.0,177925.0,0
2013-11-22,6000.0,192558.00000000003,0
2013-11-25,7500.0,239250.0,0
2013-12-06,12124.0,408394.1196,0
2014-05-12,4606.0,191406.936,0
2014-05-13,5000.0,209523.5,0
2014-05-14,4700.0,195357.38,0
2014-05-19,6900.0,280811.37,0
2014-05-30,4000.0,172000.0,0
2014-08-08,500.0,16539.0,1
2014-11-11,4400.0,188412.4,0
2015-08-06,7265.0,247010.0,0
2016-11-08,8338.0,197000.2584,0
2016-11-14,8964.0,260526.4,0
2016-12-05,16794.0,524460.3354,0
2016-12-07,10000.0,327412.0,0
2016-12-08,9664.0,320785.8496,0
2017-02-22,76.0,2319.064,0
2017-02-24,0.509,15.0155,0
2017-08-04,9929.0,256863.23,0
2017-08-14,6918.0,187733.766,0
2017-09-05,6593.0,197644.954,0
2017-09-06,770.0,23100.0,0
2017-11-15,4000.0,128000.0,0
2017-12-08,3700.0,140933.0,0
2017-12-11,6153.0,230848.254,0
2018-05-15,5589.0,262683.0,0
2018-05-24,9947.0,468105.82,0
2018-11-09,2062.0,83595.54199999999,0
2018-11-15,3988.0,160010.52399999998,0
2018-11-16,4409.0,177052.213,0
2020-08-04,12673.0,397351.7766,0
2020-08-11,5000.0,165000.0,0
2020-11-24,9670.0,411175.169,0
2021-02-09,1629.0,85817.349,0
2021-03-09,10000.0,710110.0,0
2021-03-15,5000.0,357866.0,0
2021-05-10,7174.0,637646.642,0
2021-05-11,11064.0,953938.08,0
2021-05-13,30141.0,2524999.1,0
2021-05-14,14292.0,1200911.0255999998,0
2021-05-17,6669.0,557380.2874,0
2021-05-25,12000.0,921576.0,0
2021-05-27,13500.0,1071494.55,0
2021-06-01,8696.0,703689.8855999999,0
2021-11-11,5265.0,577605.3,0
2021-11-23,3508.0,389388.0,0
2021-12-09,5000.0,538350.0,0
2022-02-04,5000.0,450000.0,0
2022-02-07,1771.0,150127.66999999998,1
2022-02-09,5000.0,455000.0,0
2022-02-10,5000.0,460000.0,0
2022-08-11,5000.0,453200.0,0
2022-08-24,25000.0,2219250.0,0
2022-11-10,7555.0,613012.7,0
2023-08-02,12937.0,1490544.99,0
2023-08-03,11913.0,1399896.63,0
2023-08-08,15443.0,1700119.87,0
2023-08-09,18504.0,2039173.36,0
2023-08-10,2321.0,255472.47,0
2023-08-11,1679.0,183011.0,0
2023-08-17,3700.0,378214.0,0
2023-08-22,8079.0,864845.4400000001,0
2023-08-23,1962.0,205507.37,0
2023-09-01,5000.0,551200.0,0
2023-09-14,1000.0,104980.0,1
2023-11-15,3390.0,415003.8,0
2024-03-01,2000.0,283163.88,0
2024-08-12,1000.0,103930.0,1
2024-11-06,10443.0,1259410.0499999998,0
2024-11-22,3900.0,428649.0,0
2025-03-13,700.0,52423.0,1
2025-05-07,3418.0,201662.0,1
