date,shares,amount,buy_flag
2004-10-05,250000.0,3750000.0,0
2004-10-08,599900.0,8998500.0,1
2006-07-18,2500.0,39175.0,1
2007-05-24,11250.0,201150.0,1
2007-08-29,2000.0,31640.0,1
2008-03-03,29994.0,375471.6,1
2008-03-04,9944.0,122942.52,1
2008-03-06,1000.0,12750.0,1
2008-03-10,1000.0,12680.0,1
2008-05-12,500.0,6070.0,1
2008-05-13,1500.0,18343.5,1
2008-05-14,3500.0,43230.0,1
2008-05-15,2000.0,24460.0,1
2008-08-14,2500.0,30000.0,1
2008-11-10,5690.0,35227.928,1
2008-11-11,8550.0,50017.5,1
2008-11-14,2000.0,12468.0,1
2008-11-20,75000.0,269625.0,1
2008-12-02,2000.0,10067.0,1
2008-12-03,400.0,2242.0,1
2009-05-20,15000.0,110250.0,1
2009-11-19,10000.0,119900.0,1
2011-05-05,500.0,8485.0,1
2011-06-01,500.0,8275.0,1
2011-08-05,77000.0,1113516.0,1
2011-08-08,101500.0,1393710.0,1
2011-08-09,5500.0,73625.0,1
2011-08-10,2500.0,33750.0,1
2012-05-09,100000.0,1539000.0,1
2012-05-15,1538.1758,23487.944466,0
2012-06-01,180000.0,2701800.0,1
2012-06-04,153250.0,2288022.5,1
2012-11-13,1000.0,16890.0,1
2012-12-20,100.0,1748.0,1
2013-04-22,100.0,1719.0000000000002,1
2013-05-29,100.0,1750.0,1
2013-06-20,100.0,1664.0,1
2013-07-24,100.0,1750.0,1
2013-08-20,100.0,1718.0,1
2013-09-20,100.0,1750.0,1
2013-10-21,100.0,1739.9999999999998,1
2013-12-03,1650.0,29964.0,1
2014-03-07,275.0,4917.0,1
2014-03-20,100.0,1736.0,1
2014-04-21,100.0,1723.9999999999998,1
2014-05-09,50000.0,830000.0000000001,1
2014-05-13,5000.0,83050.0,1
2014-05-15,10000.0,167500.0,1
2014-05-16,300.0,5043.0,1
2014-05-20,100.0,1709.0,1
2014-05-30,287.0,4947.879999999999,1
2014-06-20,100.0,1730.0,1
2014-07-21,100.0,1702.0,1
2014-08-06,7800.0,128139.0,1
2014-08-07,10300.0,170062.00000000003,1
2014-08-20,100.0,1693.0,1
2014-09-22,100.0,1635.0000000000002,1
2014-10-20,100.0,1594.0,1
2014-11-05,66125.0,1071051.25,1
2014-11-20,100.0,1630.9999999999998,1
2014-11-26,1225.0,20004.25,1
2014-12-04,1250.0,20000.0,1
2014-12-10,6100.0,98454.0,1
2014-12-15,2000.0,30080.0,1
2014-12-22,100.0,1590.0,1
2015-01-20,100.0,1597.0,1
2015-02-20,100.0,1698.9999999999998,1
2015-03-02,2500.0,43425.0,1
2015-03-03,2500.0,43675.0,1
2015-03-04,2500.0,43475.0,1
2015-03-05,2500.0,43825.0,1
2015-03-06,2500.0,44025.0,1
2015-03-11,5000.0,83600.0,1
2015-03-12,2500.0,42175.0,1
2015-03-20,100.0,1698.0,1
2015-04-20,100.0,1710.0000000000002,1
2015-05-20,100.0,1664.9999999999998,1
2015-06-22,100.0,1661.0,1
2015-07-20,100.0,1648.0,1
2015-08-05,9985.0,159710.0,1
2015-08-06,25000.0,399000.0,1
2015-08-07,10000.0,158400.0,1
2015-08-14,1835.0,29598.55,1
2015-08-20,600.0,9492.0,1
2015-08-21,5775.0,89763.0,1
2015-08-24,27500.0,404500.0,1
2015-08-26,6760.0,100048.0,1
2015-09-14,8126.0,120833.62,1
2015-09-21,100.0,1480.0,1
2015-10-20,100.0,1522.0,1
2015-11-20,100.0,1574.0,1
2015-12-14,5110.0,70875.7,1
2015-12-21,100.0,1408.0,1
2016-01-20,100.0,1320.0,1
2016-02-22,100.0,1285.0,1
2016-02-25,19200.0,249024.0,1
2016-02-26,90000.0,1219500.0,1
2016-03-08,1800.0,25200.0,1
2016-03-11,40000.0,556000.0,1
2016-03-21,200.0,2852.0,1
2016-04-20,200.0,3010.0,1
2016-05-20,200.0,3024.0,1
2016-06-20,200.0,2840.0,1
2016-07-20,200.0,2954.0,1
2016-08-15,6472.0,99992.4,1
2016-08-22,200.0,3144.0,1
2016-09-20,200.0,3120.0,1
2016-10-20,200.0,3074.0,1
2016-11-04,7500.0,114975.0,1
2016-11-21,200.0,3156.0,1
2016-12-20,200.0,3200.0,1
2017-03-16,200.0,3458.0,1
2017-06-22,200.0,3242.0,1
2017-07-24,200.0,3296.0,1
2017-08-24,200.0,3224.0,1
2017-09-25,200.0,3154.0,1
2017-10-25,200.0,3320.0000000000005,1
2017-11-03,8365.0,132585.25,1
2017-11-21,200.0,3264.0,1
2017-12-21,200.0,3146.0,1
2018-01-23,200.0,3242.0,1
2018-02-15,3000.0,47430.0,1
2018-02-26,200.0,3178.0,1
2018-03-15,25000.0,390000.0,1
2018-03-26,200.0,3192.0,1
2018-04-23,200.0,3204.0,1
2018-05-21,200.0,3318.0,1
2018-08-20,200.0,3472.0,1
2018-08-29,9000.0,156960.0,1
