date,shares,amount,buy_flag
2019-08-19,4681.0,51584.62,1
2019-08-20,4432.0,48087.2,1
2019-08-23,10000.0,109000.0,1
2019-08-29,5000.0,56100.0,1
2019-09-12,500.0,5346.7,1
2019-09-13,2300.0,24334.0,1
2019-12-03,10000.0,100000.0,1
2019-12-05,5649.0,54964.77,1
2020-06-10,6000.0,180390.0,1
2020-06-12,450.0,14998.5,1
2020-09-03,10000.0,451600.0,0
2020-10-01,10000.0,428300.0,0
2020-11-02,10000.0,552800.0,0
2020-12-01,10000.0,961900.0,0
2020-12-08,442255.0,46675592.7,0
2020-12-09,357745.0,33975042.65,0
2021-01-04,10000.0,464000.0,0
2021-02-01,10000.0,753100.0,0
2021-03-01,10000.0,542300.0,0
2021-04-01,10000.0,429500.0,0
2021-08-03,10000.0,400700.0,0
2021-08-10,725000.0,40194000.0,0
2021-08-11,75000.0,3437250.0,0
2021-09-01,10000.0,558600.0,0
2021-10-01,10000.0,443600.0,0
2021-11-01,10000.0,444100.0,0
2021-12-08,6367.0,254680.0,0
2021-12-16,3633.0,145327.6293,0
2022-01-04,8100.0,324000.0,0
2022-11-23,5000.0,82550.00000000001,1
2022-12-15,2222.0,39996.0,1
2023-03-06,5000.0,80350.0,0
2023-04-03,5000.0,126900.0,0
2023-04-18,6968.0,196358.24,0
2023-05-01,5000.0,129650.0,0
2023-05-10,17075.0,512250.0,0
2023-05-11,7925.0,239652.0,0
2023-06-01,5000.0,135800.0,0
2023-07-03,5000.0,143750.0,0
2023-07-14,31968.0,1119130.0,0
2023-08-01,5000.0,174549.99999999997,0
2023-09-01,5000.0,157263.5,0
2023-10-02,5000.0,128061.5,0
2023-11-01,5000.0,93601.5,0
2024-03-19,8565.0,299839.2375,0
2024-03-25,17435.0,610573.7000000001,0
2024-06-03,26000.0,1040234.0,0
2024-06-05,114.0,5130.0,0
2024-06-12,50000.0,1601500.0,0
2024-10-15,12000.0,249121.2,0
2025-08-15,1238.0,20498.804,1
