date,shares,amount,buy_flag
2012-11-27,167500.0,3350000.0,1
2013-01-16,1400.0,27054.58,1
2013-03-19,500.0,9755.0,1
2013-06-10,5000.0,97300.0,1
2013-06-19,5000.0,94874.6,1
2013-07-25,1000.0,18400.0,1
2013-08-19,1500.0,27447.75,1
2013-08-21,1500.0,27262.5,1
2013-08-22,300.0,5445.0,1
2013-09-12,500.0,9350.0,1
2013-09-13,5000.0,93900.0,1
2013-09-16,2000.0,37760.0,1
2013-09-17,4000.0,74549.9,1
2013-09-19,3000.0,55757.4,1
2013-09-20,1000.0,18275.0,1
2013-09-23,4000.0,73249.6,1
2013-09-24,1398.0,25445.4174,1
2013-09-25,1102.0,20034.36,1
2013-09-26,2197.0,39378.3689,1
2013-09-27,3053.0,54912.7578,1
2013-10-02,1000.0,18440.0,1
2013-10-04,1800.0,32598.0,1
2013-10-07,500.0,9055.0,1
2013-10-08,4500.0,81322.2,1
2013-10-09,4700.0,84325.05,1
2013-10-10,7500.0,135282.0,1
2013-10-11,7500.0,135142.5,1
2013-10-14,5400.0,97273.98,1
2013-10-15,7500.0,134605.5,1
2013-10-16,7500.0,135085.5,1
2013-10-17,7500.0,136202.25,1
2013-10-18,7500.0,136116.75,1
2013-10-21,6900.0,125363.34,1
2013-10-22,5800.0,104731.18,1
2013-10-23,7900.0,143179.59999999998,1
2013-10-24,6068.0,109986.7476,1
2013-10-25,7600.0,137765.96,1
2013-10-28,7500.0,135419.25,1
2013-10-29,7000.0,126692.3,1
2013-11-15,250.0,4459.0,1
2014-03-24,4000.0,73401.2,1
2014-03-28,1000.0,18160.0,1
2014-03-31,700.0,12694.500000000002,1
2014-04-16,9350.0,168935.80000000002,1
2014-05-05,290.0,5350.471,1
2014-10-16,10000.0,167000.0,1
2015-07-21,2500.0,38425.0,1
2015-08-17,892.0,13362.0753,1
2015-12-07,7500.0,101400.0,1
2016-04-19,2500.0,33487.5,1
2016-12-16,10000.0,149789.0,1
2016-12-21,5000.0,74844.0,1
2018-07-10,2500.0,40000.0,1
2018-09-26,23720.0,369269.228,1
2018-12-04,2000.0,29538.6,1
2018-12-24,20000.0,266879.0,1
2019-10-15,8221.0,121514.601,0
2020-01-16,5150.0,81267.0,0
2020-05-26,20000.0,226276.0,1
2021-09-15,640000.0,16000000.0,1
2022-01-25,4000.0,61372.0,1
2022-01-26,26000.0,401338.6,1
2022-03-17,10000.0,141800.0,1
2023-08-16,9286.0,119325.1,0
2023-08-17,20715.7299,265182.0584499,0
2024-05-23,15876.0,223726.1796,0
2024-05-24,4124.0,58474.6084,0
