date,shares,amount,buy_flag
2003-11-20,36000.0,441000.0,1
2003-12-10,81400.0,1302400.0,1
2003-12-16,1200.0,18655.0,1
2003-12-17,400.0,6200.0,1
2003-12-19,1200.0,19060.0,1
2003-12-22,1200.0,19254.0,1
2003-12-29,1200.0,19500.0,1
2003-12-31,204633.0,3325286.25,1
2004-01-31,0.0,0.0,0
2004-05-31,0.0,0.0,0
2004-11-30,0.0,0.0,0
2010-07-29,5000.0,39250.0,1
2012-06-15,170000.0,455600.0,1
2012-06-22,200.0,373.12,1
2012-08-31,1180000.0,2596000.0,0
2012-08-31,1180000.0,2596000.0,1
2014-12-01,5200.0,27560.0,0
2015-06-05,5767.0,36043.75,1
2015-07-06,10482.0,65512.5,1
2015-08-05,5263.0,32893.75,1
2015-09-04,5285.0,35145.25,1
2015-10-06,5307.0,35291.55,1
2015-11-05,5329.0,36503.65,1
2015-12-04,5351.0,35584.15,1
2016-01-05,5373.0,35730.450000000004,1
2016-02-05,5396.0,35883.4,1
2016-03-04,5418.0,36029.7,1
2016-04-05,5441.0,36182.65,1
2016-05-05,5464.0,36335.6,1
2016-06-03,5486.0,36481.9,1
2016-07-05,5509.0,36634.85,1
2016-08-05,5532.0,36787.8,1
2016-09-06,5555.0,36940.75,1
2016-10-05,5578.0,37093.7,1
2016-11-04,5602.0,37253.3,1
2016-12-05,5625.0,37406.25,1
2016-12-07,285000.0,3021000.0,0
2017-01-05,5648.0,37559.2,1
2017-02-06,5672.0,37718.8,1
2017-03-06,5696.0,37878.4,1
2017-04-06,5719.0,38031.35,1
2017-05-05,5743.0,38190.95,1
2022-09-21,1415.0,20857.9336,1
2022-09-22,158.0,2262.1966,1
2022-09-26,1.0,14.8,1
2022-09-30,335.0,5326.366,1
2022-10-03,466.0,7409.400000000001,1
2022-10-14,940.0,14982.284,1
2022-10-18,1000.0,15900.0,1
2023-04-19,2000.0,40000.0,1
2023-04-24,1000.0,18010.0,1
2023-05-01,500.0,9174.45,1
2023-05-02,565.0,10158.248,1
2023-05-10,150.0,2673.0,1
2023-05-12,97.0,1697.5,1
2023-05-15,250.0,4375.0,1
2023-05-17,500.0,8384.0,1
2023-05-19,100.0,1673.0,1
2023-05-24,300.0,5246.999999999999,1
2023-05-26,300.0,5367.99,1
2023-06-05,25.0,499.93,1
2023-06-06,500.0,9255.0,1
2023-06-08,95.0,1873.4,1
2026-01-12,70023.0,3886276.5,1
