date,shares,amount,buy_flag
2013-12-17,23193782.0,438362479.8,0
2014-02-11,3750.0,100125.0,1
2014-06-04,47138545.0,1156959020.771,0
2014-06-12-04:00,942.0,24510.84,0
2014-06-12-04:00,942.0,24510.84,1
2014-07-09,5000.0,135150.0,0
2014-07-25,10822.0,295765.26,0
2014-08-11,10000.0,276000.0,0
2014-09-12,104000.0,2829840.0,0
2014-09-15,45000.0,1216800.0,0
2014-10-31,10000.0,280000.0,0
2014-11-06,15000.0,427500.0,0
2014-11-13,15000.0,435000.0,0
2014-11-14,328.0,9676.0,0
2014-11-21,14672.0,432824.0,0
2014-11-28,9000.0,270000.0,0
2014-12-17,58556510.0,1582196900.2000003,0
2014-12-17-05:00,16586980.0,448180199.6,0
2015-02-11-05:00,9400.0,290237.22000000003,0
2015-02-11-05:00,9400.0,294021.66,1
2015-02-23,7364810.0,220060522.8,1
2015-02-23,43576540.0,1302067015.2,0
2015-02-23-05:00,14423460.0,430972984.8,0
2015-03-04,1000000.0,32150000.0,0
2015-03-26,33809384.0,1087309789.4399998,0
2015-03-26-04:00,11190616.0,359890210.55999994,0
2015-05-27,40000000.0,1258800000.0,0
2015-05-27-04:00,10000000.0,314700000.0,0
2015-07-01,12451442.0,385745673.16,0
2015-08-21,30485584.0,984684363.2,0
2015-08-21-04:00,17451444.0,563681641.1999999,0
2015-09-10,38500.0,1202451.25,0
2015-12-17,15000.0,486934.5,0
2015-12-18,60000.0,1939998.0,0
2016-02-04-05:00,328.0,10572.2272,0
2016-02-04-05:00,328.0,10572.2272,1
2016-02-25,143750.0,4485751.875,0
2016-03-01,50000.0,1600525.0,0
2016-05-27,93750.0,3109378.125,0
2016-06-01,125000.0,4158075.0,0
2016-08-17,56709.0,2096463.6792,0
2016-11-17,7500.0,251510.25,1
2016-11-21,87566.0,3021429.8036,1
2017-02-23,14000.0,501009.6,0
2017-02-24,118000.0,4214813.0,0
2017-05-25,3000.0,111441.0,0
2017-06-02,100000.0,3861070.0,0
2017-06-14,30000.0,1212426.0,0
2017-06-16,10629.0,433709.9676,0
2017-11-16,19640.0,800390.8840000001,1
2018-08-29,15000.0,619960.5,0
2018-12-12,92564.0,3004183.1328,1
2018-12-13,6000.0,196320.0,1
2019-02-14,3195.0,99864.837,1
2019-03-08,43915.0,1298882.738,0
2019-08-15,7500.0,280527.0,0
2019-11-21,35000.0,1493852.5,1
2019-11-26,225340.0,9939747.4,0
2019-11-27,24660.0,1095150.6,0
2020-03-02,3000.0,102891.9,1
2020-03-11,40000.0,1032652.0,1
2020-03-11,20517966.0,533672295.66,0
2020-03-12,23400.0,497675.88,1
2020-03-12,874149.0,19755767.4,0
2020-03-23,16100.0,292810.4,1
2020-05-08,10000.0,249908.0,1
2020-05-28,12829.0,353593.6989,0
2020-06-03,5000.0,140100.0,0
2020-12-03,25828.0,956927.4,0
2021-03-09,94518.0,3969869.4216,0
2021-03-11,10000.0,419851.0,0
2022-12-13,40269.0,1710010.78,0
2023-12-13,27884.0,743666.28,0
2023-12-15,4274.0,116819.105,0
2024-03-05,13384.0,415207.8168,0
2024-11-26,7909.0,333522.53,0
2025-08-07,6387.0,249569.4702,1
