date,shares,amount,buy_flag
2016-01-21,78397.0,424229.6861,1
2016-01-22,489644.0,2730037.1436,1
2016-01-25,82859.0,426491.8448,1
2016-01-26,393132.0,1936460.9808,1
2016-01-27,156964.0,831281.344,1
2016-01-28,285104.0,1622412.6656,1
2016-02-25,213433.0,767127.3197,1
2016-02-26,450000.0,1787175.0,1
2016-10-12,43904.0,564390.3104,0
2016-11-14,234292.0,2974172.9356,0
2016-11-15,217288.0,2820669.1151,0
2016-11-16,176030.0,2277114.01,0
2016-11-18,116076.0,1550554.1467999998,0
2016-11-19,5482581.0,83312752.6179,1
2016-11-21,224209.0,3052170.4285,0
2016-11-22,260302.0,3531025.1652,0
2016-11-23,118131.0,1594198.2129000002,0
2016-11-25,75000.0,1034242.5,0
2016-11-30,168164.0,2309884.9620000003,0
2016-12-01,210020.0,2789835.358,0
2016-12-02,171728.0,2268338.0516,0
2016-12-05,249300.0,3389583.56,0
2016-12-06,162000.0,2255193.44,0
2016-12-07,142900.0,1952657.05,0
2017-03-07,31599.0,417968.89,0
2018-06-01,67554.0,790594.2,0
2018-06-06,12969.0,150959.16,0
2018-08-17,10000.0,119200.0,1
2018-11-20,7500.0,74325.0,1
2018-12-11,18810.0,168310.5,1
2019-08-14,22600.0,185199.5,1
2019-09-05,15308.0,155223.12,0
2019-11-08,5555.0,49814.715,1
2019-11-11,5555.0,49995.0,1
2020-02-24,13000.0,98930.0,1
2020-02-25,13810.0,105007.35,1
2020-03-03,7000.0,48020.0,1
2020-03-06,25065.0,149886.0,1
2020-03-09,11000.0,49500.0,1
2020-03-10,24000.0,99912.0,1
2020-03-11,22342.0,85123.02,1
2020-03-13,5000.0,20000.0,1
2020-03-18,95915.0,218352.8,1
2020-05-07,530.0,2411.5,1
2020-05-11,104.0,486.72,1
2020-11-18,10000.0,76210.0,0
2021-03-03,4100000.0,41410000.0,0
2021-03-04,10449.0,110550.42,0
2021-03-10,36018.0,378189.0,0
2021-03-11,36656.0,385254.56,0
2021-03-12,6378.0,67096.56,0
2021-05-06,37628.0,363486.48,0
2021-05-07,38603.0,372904.98,0
2021-05-10,9150.0,88663.5,0
2021-05-17,64852.0,625951.504,0
2021-05-18,68354.0,660641.4099999999,0
2021-06-02,130364.0,1265834.4400000002,0
2021-06-03,6801.0,65629.65000000001,0
2021-06-16,28096.0,271688.32,0
2021-11-22,6350.0,50609.5,1
2022-03-15,60.0,507.0,1
2022-06-03,107880.0,1097819.49,0
2022-06-06,65519.0,662397.09,0
2022-06-07,100000.0,1021000.0,0
2022-06-08,100000.0,1015000.0,0
2022-06-09,3318.0,33511.8,0
2022-08-08,5000.0,37550.0,1
2023-02-27,557737.0,6040291.71,0
2023-02-28,617612.0,6867845.44,0
2023-03-06,13961.0,155106.71,0
2023-08-23,10802.0,137941.54,0
2025-03-21,8318.0,219262.48,0
2025-05-09,42036.0,1029377.568,0
2025-08-12,10000.0,235400.0,0
2025-09-18,10000.0,241670.00000000003,1
2025-09-19,10000.0,241580.0,1
2025-09-22,5000.0,119695.0,1
2025-11-10,40740.0,1022533.26,0
2026-03-04,10413.0,382573.62,0
2026-03-27,71500.0,2546115.0,0
2026-03-30,98050.0,3408218.0,0
