date,shares,amount,buy_flag
2003-08-28,2000.0,40000.0,0
2004-02-27,1750.0,43300.0,0
2004-04-27,22625.0,638537.5,0
2004-04-28,4000.0,106392.0,0
2004-05-05,6775.0,174122.75,0
2004-08-12,3000.0,62207.0,0
2004-09-15,500.0,11550.0,0
2004-10-08,4000.0,90502.0,0
2004-10-26,3625.0,85419.25,0
2004-11-02,3000.0,72000.0,0
2004-11-05,10000.0,242500.0,0
2004-11-10,1000.0,24400.0,0
2004-11-15,16500.0,408638.5,0
2005-01-18,250.0,5697.5,0
2005-02-25,5000.0,134250.0,0
2005-02-28,1750.0,47381.0,0
2005-03-01,500.0,13750.0,0
2005-05-13,6000.0,154380.0,0
2005-05-16,12500.0,321378.0,0
2005-05-17,15000.0,387425.0,0
2005-05-19,5750.0,152972.0,0
2005-05-31,5000.0,139250.0,0
2005-07-01,8000.0,217830.0,0
2005-07-14,14600.0,423927.0,0
2005-07-26,28550.0,855875.0,0
2005-07-27,30600.0,919199.0,0
2005-08-01,18450.0,555001.5,0
2005-08-02,68250.0,2077635.0,0
2005-09-01,8000.0,238447.0,0
2005-09-02,6000.0,180000.0,0
2005-09-08,32400.0,1011574.0,0
2005-10-03,8000.0,255084.0,0
2005-10-10,7300.0,216611.5,0
2005-10-11,200.0,6000.0,0
2005-11-01,8000.0,234072.0,0
2005-11-09,3750.0,116362.5,0
2005-11-18,20000.0,635755.0,0
2005-11-21,3000.0,95155.0,0
2005-11-23,6000.0,195000.0,0
2005-12-01,8000.0,253882.0,0
2005-12-02,5000.0,163750.0,0
2005-12-05,15000.0,477634.0,0
2005-12-06,5000.0,163750.0,0
2006-01-03,2000.0,63596.0,0
2006-01-09,2800.0,94500.0,0
2006-01-10,2200.0,74250.0,0
2006-02-03,15950.0,558250.0,0
2006-02-06,500.0,17500.0,0
2006-02-16,25900.0,908123.0,0
2006-02-27,74775.0,2656816.75,0
2006-02-28,24437.0,845196.87,0
2006-03-01,10000.0,351550.0,0
2006-03-13,2813.0,91955.1,0
2006-03-22,50000.0,1572452.0,0
2006-04-03,50000.0,1649972.0,0
2006-04-20,15000.0,537974.0,0
2007-02-27,13612.0,517545.92,0
2007-02-28,31825.0,1219238.0,0
2007-03-01,15000.0,573750.0,0
2007-03-02,7700.0,292707.80000000005,0
2007-03-06,2886.0,108225.0,0
2007-03-07,9500.0,361000.0,0
2007-03-08,10000.0,380500.0,0
2007-03-09,3326.0,126995.94,0
2007-03-12,4414.0,169947.69999999998,0
2007-03-13,30000.0,1157230.0,0
2007-03-21,4200.0,165900.0,0
2007-04-02,5000.0,187920.0,0
2007-04-03,5000.0,190128.0,0
2007-04-11,10000.0,405405.2,0
2007-04-12,12050.0,494050.0,0
2007-04-13,200.0,8200.0,0
2007-05-18,8500.0,357000.0,0
2007-05-21,14200.0,605540.0,0
2007-09-04,13250.0,562462.5,0
2007-10-05,6000.0,267000.0,0
2007-11-13,19000.0,684631.0,0
2008-02-26,2000.0,69311.65,0
2008-02-29,40000.0,1321036.0,0
2008-05-12,8000.0,224000.0,0
2008-05-13,4000.0,113163.08,0
2008-05-15,9000.0,260683.33,0
2008-08-15,2300.0,82800.0,0
2009-01-06,4000.0,82027.0,0
2009-01-20,15000.0,273954.21,0
2009-03-02,20000.0,324955.06,0
2009-03-18,20000.0,360000.0,0
2009-03-24,12064.0,241280.0,0
2009-04-29,12000.0,264003.0,0
2009-05-05,8000.0,192056.1,0
2009-05-11,20000.0,443663.68000000005,0
2009-05-19,2541.0,55978.23,0
2009-06-01,20000.0,500000.0,0
2009-08-03,100000.0,2580136.76,0
2009-09-23,3927.0,117810.0,0
2009-12-10,7500.0,206240.5,0
2009-12-30,7308.0,219240.0,0
2009-12-31,553.0,16634.239999999998,0
2010-02-18,2000.0,112826.0,0
2010-11-01,21440.0,633523.32,0
2010-12-02,7500.0,241550.0,0
2011-01-18,3765.0,139305.0,0
2011-02-02,10000.0,400000.0,0
2011-02-07,8000.0,331472.0,0
2011-02-08,3000.0,124234.1,0
2011-02-09,21399.0,888058.5,0
2011-02-17,8000.0,332800.0,0
2011-02-25,2000.0,79000.0,0
2011-03-08,2000.0,81000.0,0
2011-03-31,2000.0,84000.0,0
2011-04-27,2000.0,90000.0,0
2011-05-02,53058.0,2408301.355,0
2011-05-11,64103.0,2943545.41,0
2011-05-18,27885.0,1255043.29,0
2011-07-11,20000.0,771448.99,0
2011-08-05,25302.0,742777.452,0
2012-02-06,28000.0,1173519.35,0
2012-02-09,2950.0,120385.02,0
2012-02-13,7000.0,279858.4,0
2012-02-14,4000.0,159890.948,0
2012-02-16,2950.0,120386.401,0
2012-02-17,14250.0,573538.72,0
2012-02-28,3000.0,122697.0,0
2012-03-02,42781.0,1733567.032,0
2012-08-21,18895.0,718010.0,0
2012-11-29,7147.0,266330.4,0
2012-11-30,16206.0,605772.97,0
2012-12-12,4000.0,154600.0,0
2013-02-11,400.0,16300.0,0
2013-02-14,73452.0,2993448.48,0
2013-02-19,3500.0,142918.5,0
2013-02-20,2700.0,112252.0,0
2013-02-21,7500.0,305286.576,0
2013-02-22,10000.0,410803.22,0
2013-02-28,5559.0,223756.02,0
2013-03-05,11620.0,463092.72,0
2013-03-06,36243.0,1471128.3209999998,0
2013-05-06,15000.0,564981.13,0
2013-05-23,3000.0,119355.168,0
2013-05-31,8917.0,356680.0,0
2013-07-24,14292.0,643140.0,0
2013-07-29,11657.0,523261.03,0
2013-07-30,13523.0,618295.15,0
2013-08-01,3000.0,140199.0,0
2013-08-02,8000.0,376114.63,0
2013-08-09,15000.0,706418.6,0
2013-08-13,15000.0,713950.0,0
2013-11-11,2970.0,154344.09999999998,0
2013-11-12,10692.0,568824.4,0
2014-02-10,16890.0,895873.2899999999,0
2014-02-11,10497.0,570108.51,0
2014-02-18,28200.0,1591647.37,0
2014-02-19,39331.0,2223964.364,0
2014-02-20,7272.0,410947.5,0
2014-02-24,11444.0,644519.8900000001,0
2014-02-26,68179.0,3803104.3700000015,0
2014-02-27,16886.0,946421.13,0
2014-02-28,12000.0,684653.3400000001,0
2014-05-22,9300.0,527250.67,0
2014-05-29,2200.0,127088.6,0
2014-08-05,5500.0,321066.5,0
2014-08-15,7347.0,445913.57,0
2014-08-21,15000.0,930283.81,0
2014-11-11,3506.0,202444.26,0
2014-11-17,11682.0,671159.075,0
2014-11-19,879.0,50731.59,0
2015-02-12,7176.0,437103.995,0
2015-02-19,44706.0,2783883.2800000003,0
2015-02-20,42394.0,2626749.8799999994,0
2015-02-23,5000.0,310646.8,0
2015-02-24,22510.0,1412305.72,0
2015-02-26,8052.0,508483.8,0
2015-03-02,18000.0,1128996.904,0
2015-05-08,500.0,30806.065,0
2015-05-11,5433.0,333471.98,0
2015-05-13,16036.0,987713.7200000002,0
2015-07-31,667.0,39046.18,0
2015-08-04,3000.0,171951.0,0
2015-11-03,4486.0,258712.8,0
2015-11-11,7500.0,446780.8,0
2016-02-17,26986.0,1517452.22,0
2016-02-18,10000.0,583200.0,0
2016-02-24,6075.0,347041.86,0
2016-02-26,15604.0,902220.52,0
2016-02-29,7500.0,431550.0,0
2016-05-09,10707.0,640599.8099999999,0
2016-05-10,19305.0,1175781.45,0
2016-05-16,68905.0,4247919.5,0
2016-05-17,10000.0,613100.0,0
2016-05-18,8000.0,490720.0,0
2016-05-20,15285.0,942788.65,0
2016-05-23,14300.0,880022.0,0
2016-05-24,13300.0,837693.0,0
2016-06-06,14785.0,976445.9,0
2016-06-09,50705.0,3416416.3100000005,0
2016-08-09,1000.0,66400.0,0
2016-08-11,2531.0,168033.09,0
2016-08-22,44777.0,2970953.95,0
2016-11-09,4000.0,248000.0,0
2016-11-23,8000.0,542239.0,0
2017-02-23,17350.0,1273868.4,0
2017-02-24,3500.0,255010.0,0
2017-02-28,190865.0,13769348.26,0
2017-03-01,7263.0,547404.94,0
2017-05-09,9781.0,756462.54,0
2017-05-15,3000.0,227970.0,0
2017-05-16,5760.0,436550.4,0
2017-05-25,9692.0,727578.44,0
2017-08-10,10000.0,760800.0,0
2017-08-14,10910.0,828614.5,0
2017-08-25,4477.0,345445.32,0
2017-11-08,4800.0,375984.0,0
2017-11-16,1416.0,111864.0,0
