date,shares,amount,buy_flag
2003-09-22,2500.0,61126.0,1
2003-11-19,7579.0,209407.77,0
2004-06-14,86755.0,2261702.85,0
2005-08-24,52053.0,1561590.0,0
2005-09-14,3470.0,113434.3,0
2005-09-21,2614.0,80193.3376,1
2005-09-27,20000.0,669599.9999999999,0
2005-09-28,3000.0,99540.0,0
2006-03-17,46940.0,1787005.4,0
2006-03-24,150000.0,5607813.0,0
2006-08-16,10000.0,322044.0,1
2006-08-17,5000.0,161217.0,1
2006-11-01,3919.75,132879.525,1
2007-02-21,262536.0,8598054.0,0
2007-05-16,48563.0,1821130.5,0
2007-05-17,20832.0,787811.98,0
2007-05-25,2276.0,86078.32,0
2007-06-18,73486.0,2874772.32,0
2007-11-19,54405.0,1954898.84,0
2007-11-28,21078.0,794625.28,0
2007-12-24,92399.0,3418229.0300000003,0
2008-05-27,20498.0,744614.38,0
2008-06-04,885.0,32798.1,0
2008-06-17,80814.0,3028977.78,0
2008-06-23,28003.0,1050124.5,0
2009-11-13,22428.0,644805.0,0
2009-11-16,129902.0,3737438.062,0
2009-11-20,20739.0,598340.889,0
2009-12-01,4212.0,123796.52999999998,0
2009-12-03,3685.0,109813.0,0
2009-12-09,250802.0,7300569.952,0
2009-12-14,43105.985,1292498.28045,0
2009-12-15,149206.0,4479225.035,0
2009-12-16,152137.0,4558069.67,0
2009-12-21,277253.0,8289755.92,0
2010-02-16,448937.0,13492391.975,0
2010-02-26,15000.0,470805.0,0
2010-03-01,9450.0,300793.5,0
2010-03-05,14176.0,467808.0,0
2010-03-10,2625.0,88068.74999999999,0
2010-03-11,369120.0,12336901.601,0
2010-03-22,19690.0,663356.09,0
2010-03-23,15000.0,510000.0,0
2010-03-30,191715.0,6634629.75,0
2010-05-03,42.0,1528.38,0
2010-11-01,2870.0,100277.8,0
2010-11-15,26253.0,951826.1427,0
2010-11-24,26593.0,963250.5283,0
2010-12-01,56680.0,2037816.0400000005,0
2010-12-02,4966.0,182008.866,0
2010-12-16,13126.0,517820.7,0
2010-12-17,6300.0,252000.0,0
2010-12-20,7230.0,292991.63,0
2010-12-22,4132.0,169209.532,0
2010-12-27,47255.0,1979459.456,0
2010-12-30,4132.0,172106.064,0
2011-01-21,2400.0,102072.0,0
2011-01-31,4132.0,170279.72,0
2011-02-04,25000.0,1075000.0,0
2011-02-11,14003.0,630135.0,0
2011-02-22,2400.0,103776.0,0
2011-03-04,31512.0,1449552.0,0
2011-03-21,2400.0,104616.0,0
2011-03-28,5855.0,259926.87,0
2011-04-21,2400.0,117264.0,0
2011-05-16,58039.0,3032798.329,0
2011-05-23,362411.0,17733896.015,0
2011-05-25,28206.0,1378201.5720000002,0
2011-05-27,338673.0,16711519.662,0
2011-06-21,42291.0,2110301.856,0
2011-07-01,6640.0,345280.0,0
2011-07-05,43244.0,2225206.508,0
2011-07-21,2400.0,112848.0,0
2011-08-29,2400.0,84696.0,0
2011-09-21,2400.0,84240.0,0
2011-10-21,2400.0,84000.0,0
2011-11-17,3146.0,120617.64,0
2011-11-18,26836.0,1004471.48,0
2011-11-21,2400.0,86040.0,0
2011-12-12,4789.0,160335.71999999997,0
2011-12-22,3592.0,125037.52,0
2011-12-30,4789.0,169722.16,0
2012-01-23,4789.0,195630.65,0
2012-02-17,4789.0,206405.9,0
2012-03-09,13192.0,593640.0,0
2012-03-26,3055.0,136772.35,0
2012-03-28,600.0,26850.0,0
2012-04-02,5000.0,222550.0,0
2012-08-16,1155.0,43058.4,1
2012-08-28,600.0,22248.0,1
2012-09-14,10228.0,409426.84,0
2012-09-28,10228.0,392039.24,0
2012-11-21,36833.0,1331144.62,0
2012-11-26,41512.0,1534698.64,0
