date,shares,amount,buy_flag
2003-07-28,68700.0,687000.0,0
2003-08-21,33000.0,297000.0,0
2003-12-29,10187.0,77119.6648,0
2004-01-02,20000.0,156124.0,0
2004-04-01,5000.0,37794.5,0
2004-04-02,5570.0,44560.0,0
2004-05-06,30000.0,192250.0,1
2004-05-10,8000.0,48960.0,1
2004-06-03,10000.0,76374.5,0
2005-09-01,4500.0,38587.95,1
2005-10-03,1500.0,12765.0,1
2005-10-06,500.0,4000.0,1
2005-10-12,500.0,3500.0,1
2005-11-01,1500.0,12550.0,1
2005-11-21,40571.0,405710.0,0
2005-12-01,1500.0,14916.0,1
2005-12-01,33071.0,340160.0,0
2005-12-05,7500.0,80261.25,0
2005-12-12,1000.0,10207.7,1
2006-01-03,1500.0,16190.0,1
2006-01-27,2500.0,30500.0,0
2006-02-01,1500.0,17500.0,1
2006-02-01,10000.0,115473.0,0
2006-02-22,1000.0,12200.0,0
2006-02-24,11500.0,145360.0,0
2006-02-27,1000.0,13250.0,0
2006-02-27,3500.0,45456.0,1
2006-03-01,1500.0,19490.0,1
2006-03-01,15500.0,205375.0,0
2006-03-16,12500.0,185625.0,0
2006-04-03,1500.0,20019.0,1
2006-05-01,1500.0,18880.0,1
2006-05-08,1000.0,12778.0,1
2006-05-18,1000.0,12000.0,1
2006-06-01,1500.0,19575.0,1
2006-06-14,2500.0,33090.0,1
2006-07-03,1500.0,21659.5,1
2006-08-01,1500.0,21750.0,1
2006-08-01,12500.0,179187.5,0
2006-08-07,1000.0,15350.0,1
2006-08-09,20000.0,310320.0,0
2006-08-29,26000.0,416000.0,0
2006-10-31,12893.0,60413.597,1
2006-11-01,12500.0,198975.0,0
2006-11-29,5000.0,86150.0,0
2006-12-06,14500.0,261000.0,0
2006-12-12,2100.0,37556.25,1
2007-01-03,12500.0,203700.0,0
2007-02-14,15000.0,300000.0,0
2007-02-20,13000.0,220481.3,0
2007-02-22,14000.0,257264.68,0
2007-03-02,1500.0,24723.0,0
2007-03-07,12000.0,196397.03,0
2007-04-02,12500.0,216305.15,0
2007-04-04,6500.0,116162.6,0
2007-04-30,12892.0,74854.366,1
2007-05-02,1500.0,24647.0,0
2007-05-03,15000.0,251807.48,0
2007-05-21,2000.0,37122.7,0
2007-06-01,10000.0,183293.0,0
2007-06-04,2500.0,45962.0,0
2007-06-07,1045.0,18332.435,0
2007-06-25,2500.0,44125.0,0
2007-07-02,12500.0,227203.35000000003,0
2007-07-05,2000.0,36582.0,0
2007-08-03,2000.0,36053.0,0
2007-08-08,12500.0,262500.0,0
2007-08-10,78519.0,1587442.84,0
2007-08-15,4000.0,81040.0,0
2007-08-17,30000.0,615705.3,0
2007-09-06,13536.0,304560.0,0
2007-09-14,100000.0,2250787.12,0
2007-09-19,10000.0,230000.0,0
2007-09-21,5906.0,137305.53,0
2007-09-25,10000.0,240000.0,0
2007-09-26,12500.0,306250.0,0
2007-09-28,19207.0,480175.0,0
2007-10-01,23293.0,584633.215,0
2007-10-08,20713.0,538538.0,0
2007-10-11,5000.0,136700.0,0
2007-10-22,1532.0,38762.5118,0
2007-10-24,833.0,21658.0,0
2007-10-31,4695.0,32484.705,1
2007-11-21,2365.0,61154.7956,0
2007-12-17,15000.0,532933.7775,0
2007-12-21,6114.0,220473.6707,0
2008-01-02,32500.0,1172436.9258,0
2008-01-22,2990.0,108424.0858,0
2008-02-21,2990.0,109009.75,0
2008-02-29,91767.0,3470932.8600000013,0
2008-03-03,92000.0,3505972.3,0
2008-03-04,4000.0,152000.0,0
2008-03-05,25000.0,955127.51,0
2008-03-06,48000.0,1827011.08,0
2008-03-14,38243.0,1278435.48,0
2008-03-18,46240.0,1499077.5200000005,0
2008-03-24,2989.0,104757.58,0
2008-03-25,34998.0,1255726.88,0
2008-04-01,31305.0,1124188.3935000002,0
2008-04-02,38762.0,1433347.9400000002,0
2008-04-21,2990.0,101635.1,0
2008-04-30,5000.0,181652.78,0
2008-04-30,9849.0,105963.66,1
2008-05-01,25453.0,949925.89,0
2008-05-02,13900.0,519500.0,0
2008-05-05,5000.0,182728.9,0
2008-05-06,16200.0,611550.0,0
2008-05-09,8000.0,310031.0,0
2008-05-12,5000.0,195790.68,0
2008-05-13,10000.0,391251.6,0
2008-05-15,5000.0,195546.0,0
2008-05-21,1667.0,65158.11,0
2008-05-30,11528.0,443475.9,0
2008-06-02,18000.0,677367.1199999999,0
2008-06-04,1323.0,49825.7,0
2008-06-05,3000.0,117000.0,0
2008-06-23,2292.0,74735.13,0
2008-06-30,3528.0,105866.84,0
2008-07-01,15000.0,425170.92,0
2008-07-07,18000.0,505076.0,0
2008-07-08,350.0,9805.5,0
2008-07-15,5000.0,140000.0,0
2008-07-21,2468.0,74694.9,0
2008-07-30,19528.0,621862.26,0
2008-08-01,18000.0,584578.41,0
2008-08-21,2469.0,64435.962,0
2008-09-02,29528.0,904348.736,0
2008-09-22,2468.0,69177.548,0
2008-10-01,18000.0,472878.0,0
2008-10-21,177.0,3578.7630000000004,0
2008-10-31,503.0,6717.062,1
2008-11-25,75000.0,1198740.0,0
2008-11-28,177.0,2920.5,0
2008-12-01,17000.0,269790.0,0
2008-12-03,2400.0,36711.6,1
2008-12-04,7000.0,114079.0,0
2008-12-08,4000.0,67988.0,0
2008-12-08,4000.0,68792.0,1
2008-12-22,177.0,3041.214,0
2009-01-02,17000.0,298690.0,0
2009-01-16,2501.0,52521.0,0
2009-01-21,177.0,3415.392,0
2009-01-22,1.0,19.05,0
2009-02-03,17000.0,325373.2,0
2009-02-24,10000.0,120784.0,1
2009-03-02,1000.0,11100.0,1
2009-03-02,7897.0,92395.6897,0
2009-03-03,6000.0,63567.5,1
2009-03-05,5000.0,50363.0,1
2009-03-13,1000.0,11450.0,1
2009-06-05,2000.0,27400.0,1
2009-06-11,2500.0,36175.25,0
2009-06-12,1500.0,21780.0,1
2009-06-17,960950.0,216021.56,0
2009-06-18,2198825.0,460873.72,0
2009-06-19,2546958.0,524418.6522,0
2009-06-23,363.0,5353.887000000001,0
2009-07-08,456.0,6332.928,0
2009-08-07,2000.0,31902.0,0
2009-08-10,2000.0,31889.211000000003,0
2009-08-28,177.0,2920.5,0
2009-12-02,21000.0,362250.0,0
2009-12-22,1500.0,28245.0,0
2010-01-19,20999.0,440594.0,0
2010-01-21,144.0,3031.488,0
2010-02-03,377.0,7917.0,0
2010-02-26,800.0,16062.4,1
2010-03-02,11249.0,236229.0,0
2010-03-03,10000.0,210000.0,0
2010-03-04,5000.0,107500.0,0
2010-03-05,6416.0,140831.19999999998,0
2010-03-08,34403.0,760683.2269,0
2010-03-10,163888.0,3691019.9808,0
2010-03-12,938.0,20793.115,0
2010-04-01,5833.0,139973.9177,0
2010-04-05,312.0,7683.8112,0
2010-04-12,937.0,22314.0928,0
2010-05-03,2275.0,51869.92020000001,0
2010-05-06,313.0,6583.642,0
2010-05-12,938.0,20082.0172,0
2010-05-13,546.0,11875.0086,0
2010-06-02,834.0,16680.0,0
2010-06-08,470.0,8868.242,0
2010-06-23,372.0,7362.1032,0
2010-07-23,833.0,16660.0,0
2010-07-26,2500.0,52500.0,0
2010-08-02,833.0,18351.9896,0
2010-08-20,15657.0,322049.34,0
2010-08-30,6000.0,124251.0,0
2010-09-01,3834.0,80411.3346,0
2010-09-02,1000.0,20890.0,0
2010-09-07,937.0,20155.5259,0
2010-09-08,36000.0,792220.0,0
2010-09-13,6000.0,137106.0,0
2010-09-22,938.0,21496.615,0
2010-10-01,833.0,18577.6493,0
2010-10-22,937.0,22042.4565,0
2010-10-25,15209.0,365016.0,0
2010-10-29,65500.0,1683365.0,0
2010-11-01,2435.0,62721.095,0
2010-11-02,3500.0,89750.45000000001,0
2010-11-03,6000.0,152312.4,0
2010-11-04,10371.0,267921.2339,0
2010-11-08,2000.0,51569.0,0
2010-11-17,8500.0,218900.0,0
2010-11-18,32375.0,837533.35,0
2010-11-22,2479.0,65932.9714,0
2010-11-23,1000.0,27021.0,0
2010-11-24,16250.0,446878.5,0
2010-12-01,834.0,22587.1386,0
2010-12-06,1000.0,27173.8,0
2010-12-13,1000.0,27429.2,0
2010-12-20,5000.0,140000.0,0
2010-12-22,2479.0,69940.027,0
2011-01-03,833.0,22485.0857,0
2011-01-18,3500.0,93030.0,0
2011-01-24,938.0,24138.1168,0
2011-02-01,2167.0,56145.9118,0
2011-02-22,1645.0,43329.958,0
2011-02-23,100.0,2600.0,0
2011-02-24,15000.0,374095.5,0
2011-03-01,834.0,20167.0374,0
2011-03-09,6000.0,146966.4,0
2011-03-22,938.0,21970.4926,0
2011-04-01,2500.0,63625.75,0
2011-04-13,4508.0,119108.0,0
2011-04-20,13165.0,355455.0,0
2011-04-25,1646.0,43377.038,0
2011-05-02,1530.0,41452.29,0
2011-05-03,15311.0,414161.4883,0
2011-05-04,2700.0,70547.2,0
2011-05-05,200.0,5128.4,0
2011-05-10,400.0,10346.2,0
2011-05-13,1032.0,27531.9024,0
2011-05-23,938.0,24065.328,0
2011-05-24,708.0,18408.0,0
2011-05-25,10177.0,274723.2,0
2011-05-26,61812.0,1679578.0512,0
2011-05-27,290.0,8120.0,0
2011-05-31,4510.0,128180.0,0
2011-06-06,2000.0,54771.8,0
2011-06-07,456.0,12520.3464,0
2011-06-22,1645.0,42646.954,0
2011-06-23,371.0,9480.905,0
2011-07-01,7500.0,207150.0,0
2011-07-14,35211.0,1056330.0,0
2011-07-22,5655.0,172087.95,0
2011-07-29,3800.0,117800.0,0
2011-08-02,44723.0,1362580.77,0
2011-08-12,3000.0,81287.7,0
2011-08-19,2000.0,53496.0,0
2011-08-22,1020.0,27573.762,0
2011-08-30,2000.0,58018.0,0
2011-08-31,834.0,25020.0,0
2011-09-01,2500.0,73513.0,0
2011-09-22,1854.0,55471.68,0
2011-09-28,19379.0,620128.0,0
2011-10-03,2500.0,77506.5,0
2011-10-10,18379.0,624886.0,0
2011-10-24,1853.0,61749.9279,0
2011-10-28,16875.0,590625.0,0
2011-11-01,2760.0,91785.84,0
2011-11-22,1855.0,59697.0535,0
2011-12-22,1854.0,62647.4016,0
2012-01-03,5000.0,173763.0,0
2012-01-23,1854.0,64821.402,0
2012-02-02,6500.0,247000.0,0
2012-02-22,1854.0,65149.0038,0
2012-02-23,5000.0,176541.0,0
2012-02-24,181349.0,6338698.8833,0
2012-02-27,3000.0,107813.4,0
2012-02-28,20000.0,720106.0,0
2012-02-29,1000.0,36257.6,0
2012-03-08,1000.0,35000.0,0
2012-03-09,15000.0,516867.0,0
2012-03-22,1855.0,66139.28300000001,0
2012-04-02,5000.0,170380.0,0
2012-04-20,7691.0,269185.0,0
2012-04-23,1853.0,64005.7701,0
2012-04-27,22000.0,769872.0,0
2012-05-01,25000.0,874870.0,0
2012-05-02,10000.0,357200.0,0
2012-05-03,10000.0,366800.0,0
2012-05-04,10000.0,360000.0,0
2012-05-07,5000.0,179800.0,0
2012-05-08,30708.0,1136850.0,0
2012-05-11,96406.0,3655638.536,0
2012-05-14,40250.0,1533609.9500000002,0
2012-05-15,20641.0,796421.2899,0
2012-05-16,15000.0,577369.5,0
2012-05-22,2666.0,101332.7938,0
2012-06-01,5000.0,175077.50000000003,0
2012-06-22,1853.0,68244.8782,0
2012-06-27,812.0,30856.0,0
2012-07-02,113115.0,4527407.5,0
2012-07-10,2500.0,106250.0,0
2012-07-23,2666.0,104633.3018,0
2012-08-01,5000.0,193145.0,0
2012-08-06,40000.0,1502756.0,0
2012-08-22,2665.0,101089.1472,0
2012-09-04,5000.0,188790.5,0
2012-09-10,1000.0,38620.0,0
2012-09-14,4000.0,151627.6,0
2012-09-24,2665.0,107878.134,0
2012-09-28,4000.0,160803.59999999998,0
2012-10-01,5000.0,198759.5,0
2012-10-12,3000.0,123969.3,0
2012-10-16,20000.0,860000.0,0
2012-10-19,2000.0,85440.0,0
2012-10-22,5665.0,237132.4685,0
2012-10-31,4000.0,151856.0,0
2012-11-01,5000.0,185384.0,0
2012-11-05,78000.0,3676250.0,0
2012-11-07,125000.0,5814585.8,0
2012-11-09,119500.0,5774490.75,0
2012-11-12,13715.0,666360.8378,0
2012-11-14,4000.0,193986.8,0
2012-11-15,35812.0,1810600.0,0
2012-11-16,8000.0,384365.6,0
2012-11-19,7363.0,357105.5,0
2012-11-23,2665.0,130367.2695,0
2012-11-28,5916.0,285816.75,0
2012-11-29,5000.0,245842.0,0
2012-12-04,5000.0,239691.5,0
2012-12-07,3000.0,141123.3,0
2012-12-08,5000000.0,3750000.0,1
2012-12-10,3000.0,144084.0,0
2012-12-11,5000.0,248558.5,0
2012-12-12,5000.0,250000.0,0
2012-12-13,7659.0,376158.7647,0
2012-12-17,2756.0,135927.0224,0
2012-12-21,9000.0,437137.2,0
2012-12-24,6000.0,290251.8,0
2012-12-26,7000.0,338632.7,0
2012-12-27,4000.0,193359.6,0
2012-12-31,5000.0,243116.0,0
2013-01-02,10000.0,512500.0,0
2013-01-03,20000.0,1060000.0,0
2013-01-04,3000.0,156731.09999999998,0
2013-01-18,5000.0,270000.0,0
2013-01-22,79324.0,4362326.7144,0
2013-01-23,4000.0,220880.0,0
2013-02-04,2000.0,111532.4,0
2013-02-19,5000.0,287500.0,0
2013-02-22,3103.0,171343.5541,0
2013-02-26,29900.0,1654797.56,0
2013-02-27,32000.0,1812631.0,0
2013-02-28,5000.0,290000.0,0
