date,shares,amount,buy_flag
2003-08-25,8000.0,20160.0,1
2003-08-26,8000.0,20160.0,1
2003-08-27,4920000.0,7970400.000000001,0
2003-08-27,4920000.0,7970400.000000001,1
2003-08-28,4920000.0,4969200.0,0
2003-08-28,4920000.0,4969200.0,1
2003-11-12,1000.0,3250.0,0
2003-11-13,2000.0,6800.0,0
2004-01-27,4000.0,12280.0,0
2004-02-02,1500.0,4800.0,0
2004-02-04,4500.0,14725.0,0
2004-02-05,5600.0,18555.0,0
2004-02-09,2150.0,7138.0,0
2004-02-10,2000.0,6600.0,0
2004-02-11,13850.0,43997.5,0
2004-03-01,2000.0,6020.0,0
2004-04-16,5000.0,10750.0,0
2004-04-22,4500.0,9255.0,0
2004-05-03,4000.0,6000.0,0
2004-05-05,2000.0,3000.0,0
2004-05-10,2200.0,3300.0,0
2004-05-11,3400.0,5134.0,0
2004-05-17,3400.0,5168.0,0
2004-05-19,2000.0,3100.0,0
2004-05-20,12000.0,18350.0,0
2004-05-25,1000.0,1200.0,0
2004-05-26,1000.0,1350.0,0
2004-05-27,1000.0,1300.0,0
2004-05-28,1000.0,1100.0,0
2004-06-03,1500.0,1455.0,0
2004-06-04,1500.0,1545.0,0
2004-07-12,2000.0,1480.0,0
2004-07-13,2000.0,1380.0,0
2004-07-14,2000.0,1540.0,0
2004-07-15,2000.0,1500.0,0
2004-07-16,2000.0,1540.0,0
2004-07-19,3000.0,2150.0,0
2004-07-20,1000.0,670.0,0
2004-07-21,1000.0,680.0,0
2004-07-22,1000.0,690.0,0
2004-07-23,1000.0,600.0,0
2004-07-26,1000.0,460.0,0
2004-07-27,1000.0,500.0,0
2004-07-28,1000.0,480.0,0
2004-07-29,1000.0,490.0,0
2004-07-30,1000.0,530.0,0
2004-08-02,1000.0,530.0,0
2004-08-03,1000.0,470.0,0
2004-08-09,1000.0,610.0,0
2004-08-10,1000.0,830.0,0
2004-08-17,1000.0,750.0,0
2004-08-18,1000.0,770.0,0
2004-08-19,1000.0,660.0,0
2004-08-26,1000.0,650.0,0
2004-08-27,1000.0,610.0,0
2004-09-07,1000.0,555.0,0
2004-09-08,1000.0,560.0,0
2004-09-09,1000.0,570.0,0
2004-09-10,1000.0,590.0,0
2004-09-13,1000.0,620.0,0
2004-09-14,1000.0,650.0,0
2004-09-15,1000.0,600.0,0
2004-09-16,1000.0,600.0,0
2004-09-20,2000.0,1130.0,0
2004-09-21,1000.0,580.0,0
2004-09-23,1000.0,540.0,0
2004-09-24,1000.0,600.0,0
2004-09-27,1000.0,530.0,0
2004-09-28,1000.0,640.0,0
2004-09-29,2000.0,1320.0,0
2004-09-30,2000.0,1420.0,0
2004-10-01,2000.0,1300.0,0
2004-10-04,9500.0,6785.0,0
2004-10-05,7000.0,4880.0,0
2004-10-06,4500.0,2925.0,0
2004-10-07,2000.0,1300.0,0
2004-10-08,2000.0,1300.0,0
2004-10-11,2000.0,1300.0,0
2004-10-12,2000.0,1260.0,0
2004-10-13,2500.0,1550.0,0
2004-10-14,2000.0,1260.0,0
2004-10-15,2000.0,1240.0,0
2004-10-18,2000.0,860.0,0
2004-10-20,2000.0,920.0,0
2004-10-21,2000.0,980.0,0
2004-10-22,2000.0,1040.0,0
2004-10-25,4000.0,1860.0,0
2004-10-27,2000.0,900.0,0
2004-10-28,2000.0,900.0,0
2004-10-29,2000.0,900.0,0
2004-11-01,2000.0,960.0,0
2004-11-02,2000.0,900.0,0
2004-11-03,2000.0,900.0,0
2004-11-04,4000.0,1940.0,0
2004-11-05,2000.0,980.0,0
2004-11-08,2000.0,960.0,0
2004-11-09,2000.0,1020.0,0
2004-11-10,4000.0,2600.0,0
2004-11-11,6000.0,4880.0,0
2004-11-12,10000.0,8950.0,0
2004-11-15,2000.0,1600.0,0
2004-11-16,2000.0,1500.0,0
2004-11-17,11000.0,10620.0,0
2004-11-18,5000.0,5250.0,0
2004-11-19,3700.0,3580.0,0
2004-11-22,2300.0,2162.0,0
2004-11-23,2000.0,1620.0,0
2004-11-24,3000.0,2550.0,0
2004-11-30,2000.0,1680.0,0
2004-12-01,2000.0,1600.0,0
2004-12-03,4000.0,3920.0,0
2004-12-06,3000.0,3330.0000000000005,0
2004-12-07,25000.0,47720.0,0
2004-12-08,2000.0,2820.0,0
2004-12-13,2000.0,2360.0,0
2004-12-14,2000.0,2520.0,0
2004-12-15,2000.0,2500.0,0
2004-12-16,1000.0,1410.0,0
2004-12-21,1000.0,1600.0,0
2004-12-22,1000.0,1500.0,0
2004-12-23,1000.0,1470.0,0
2004-12-27,1000.0,1540.0,0
2004-12-28,1000.0,1510.0,0
2004-12-29,1000.0,1410.0,0
2004-12-30,1000.0,1460.0,0
2004-12-31,1000.0,1400.0,0
2005-01-18,1000.0,1270.0,0
2005-01-19,1000.0,1300.0,0
2005-01-25,10000.0,14600.0,0
2005-01-26,1000.0,1500.0,0
2005-01-31,1000.0,1350.0,0
2005-02-01,1000.0,1390.0,0
2005-02-02,1000.0,1360.0,0
