date,shares,amount,buy_flag
2015-08-11,15000.0,192675.0,1
2015-08-12,84792.0,1080962.3328,1
2015-08-13,50001.0,638847.7767,1
2015-08-18,6302.0,83477.5524,1
2015-08-19,13272.0,172505.4744,1
2015-08-20,41733.0,532546.4664,1
2015-08-21,134747.0,1735810.854,1
2015-08-24,331756.0,4181154.0436,1
2015-08-25,126062.0,1562172.9101999998,1
2015-08-26,93115.0,1141021.8985,1
2015-08-27,33052.0,406040.5148,1
2015-08-28,5630.0,69988.219,1
2015-08-31,68244.0,877979.5332,1
2015-09-09,224800.0,2902595.12,1
2015-09-10,14846.0,190523.1718,1
2015-09-11,138750.0,1763970.375,1
2015-09-14,1596.0,20444.76,1
2015-09-18,31709.0,401106.1664,1
2015-09-21,47745.0,606318.5295,1
2015-09-22,30951.0,391335.1587,1
2015-09-23,68145.0,853168.5855,1
2015-09-28,105491.0,1341708.3817,1
2015-09-29,135482.0,1724753.6009999998,1
2015-09-30,45019.0,573033.3453,1
2015-10-01,138900.0,1758932.37,1
2015-10-02,127283.0,1576743.6191,1
2015-10-06,1400.0,17466.54,1
2015-10-07,9232.0,114053.0512,1
2015-10-13,57000.0,711531.0,1
2015-10-14,47866.0,591298.2712,1
2015-10-19,1800.0,22424.94,1
2015-10-20,27330.0,340977.279,1
2015-10-21,47659.0,594150.4553,1
2015-10-22,700.0,8701.0,1
2015-10-23,800.0,9804.0,1
2015-12-08,166060.0,1780545.138,1
2015-12-11,288927.0,2502107.82,1
2015-12-14,115232.0,1023260.16,1
2015-12-15,50800.0,455024.25,1
2016-01-11,60000.0,534624.0,1
2016-01-12,270048.0,2394299.5776,1
2016-01-13,158300.0,1387515.33,1
2016-01-14,52808.0,472071.8352,1
2016-04-08,9544.0,83741.9192,1
2017-03-17,6500.0,63569.99999999999,0
2017-04-07,9000.0,88470.0,0
2017-12-05,234915.0,1797311.1735,0
2017-12-06,543739.0,4251060.2498,0
2017-12-07,260368.0,2081251.608,0
2017-12-11,204425.0,1607925.28,0
2017-12-12,321158.0,2682407.9634,0
2017-12-13,195653.0,1643230.8511,0
2017-12-14,100041.0,845476.5033,0
2017-12-15,85292.0,704452.2156,0
2017-12-18,54409.0,467123.0286,0
2017-12-19,49400.0,445094.0,0
2017-12-26,57244.0,485772.584,0
2017-12-27,70121.0,598286.3962,0
2017-12-28,2300.0,19139.91,0
2017-12-29,52719.0,436682.02080000006,0
2018-01-02,289289.0,2456728.9747,0
2018-01-03,12443.0,103438.659,0
2018-03-01,124101.0,994483.3635,0
2018-04-25,31400.0,234353.9,0
2018-04-26,12300.0,90589.5,0
