date,shares,amount,buy_flag
2021-07-26,540884.0,1509066.36,0
2021-10-05,1556.0,2022.8,1
2021-10-06,50000.0,71000.0,1
2022-10-20,57839.0,47422.1961,1
2022-10-24,101.0,83.6482,1
2022-10-25,128120.0,115308.0,1
2023-08-07,18500.0,0.0,1
2023-08-31,1666666.0,0.0,1
2023-12-28,5000.0,19400.0,1
2024-06-07,20000.0,22400.000000000004,0
2024-12-04,259000.0,0.0,0
2024-12-05,187498.0,0.0,0
2024-12-06,46598.0,0.0,0
2024-12-09,70000.0,0.0,0
2024-12-10,15398.0,12626.36,0
2024-12-11,3470.0,2966.85,0
2024-12-12,259567.0,0.0,0
2025-01-08,266200.0,0.0,0
2026-04-09,31055.0,87575.09999999999,1
