date,shares,amount,buy_flag
2021-05-14,3000.0,62280.00000000001,0
2021-06-10,4000.0,98560.0,0
2022-03-01,4000.0,86000.0,0
2022-03-10,2500.0,53000.0,0
2023-02-27,10000.0,179200.00000000003,1
2023-02-28,8404.388,149999.83614640002,0
2023-03-10,4250.0,69794.1,1
2023-03-17,12182.0,203819.44,1
2024-02-26,24000.0,352928.0,1
2024-02-27,5000.0,74350.0,1
2024-05-14,6320.28,97837.9344,0
2025-05-05,48173.0,775862.03,1
2025-05-06,7000.0,111310.0,1
2025-05-07,19250.0,316530.0,1
2025-05-08,4000.0,65119.50000000001,1
2025-05-09,2500.0,40862.25,1
2025-05-13,2500.0,39822.5,1
2025-05-14,2500.0,39452.75,1
2025-07-15,859.11,13677.0312,1
