date,shares,amount,buy_flag
2005-11-23,1419170.0,78054350.0,0
2007-08-06,90000.0,1634652.0,1
2007-08-07,90000.0,1749582.0000000002,1
2007-08-08,12900.0,268224.54,1
2007-08-09,2445.0,48466.0125,1
2007-08-13,58728.0,1162162.5192000002,1
2007-08-14,100000.0,1958840.0,1
2007-08-15,100000.0,1913900.0,1
2007-08-20,64500.0,1285672.05,1
2007-08-21,3400.0,67842.92,1
2007-08-22,6600.0,131885.82,1
2007-08-24,70000.0,1387701.0,1
2007-08-27,30000.0,578031.0,1
2007-08-28,55000.0,1038515.5,1
2007-08-29,20000.0,385946.0,1
2007-08-30,24100.0,460109.97,1
2007-08-31,11800.0,231452.28,1
2007-09-04,3600.0,71102.88,1
2007-10-31,51300.0,769458.06,1
2007-11-01,39600.0,567733.3200000001,1
2007-11-02,47200.0,659827.68,1
2007-11-05,9700.0,151108.54,1
2007-12-04,139000.0,2474200.0,1
2007-12-14,113300.0,1591865.0,1
2007-12-18,240000.0,3504000.0,1
2011-01-25,226662912.0,3422609971.2,1
2013-11-01,25093350.0,511653406.5,1
2016-09-15,43402.0,151716.0312,1
2016-09-16,29000.0,101476.8,1
2016-09-19,82000.0,295790.4,1
2016-09-20,150000.0,547500.0,1
2016-09-26,971050.0,3884200.0,1
2017-03-29,17000.0,15990.2,0
2017-03-30,78193.0,70827.2194,0
2017-03-31,145700.0,121572.08,0
2017-04-04,3000000.0,1987500.0,0
2017-10-09,625000.0,8093750.0,0
2018-06-11,60975609.0,649999991.94,1
2019-06-21,3800000.0,90250000.0,0
2019-10-08,2981514.0,49999989.78,1
2019-12-03,41602942.0,1067115462.3,0
2020-03-19,1000000.0,4940000.0,1
2020-07-31,86235614.0,0.0,1
2020-09-08,21045.138,273586.794,1
2020-10-08,136002.0,1004021.1648,0
2020-10-09,146152.0,1076175.6368,0
2020-10-12,135000.0,992074.5,0
2020-10-13,135000.0,979951.5,0
2020-10-14,139103.0,1029153.5455,0
2020-10-15,137000.0,991784.1,0
2020-10-15,2129747.74,31946216.1,1
2020-10-16,137000.0,995222.8,0
2020-10-19,47731973.0,1048504041.9797,0
2020-10-20,94135.0,662305.6195,0
2020-10-21,41835.0,295313.265,0
2020-10-22,141000.0,998308.2,0
2020-10-23,139000.0,1005651.1,0
2020-10-26,140000.0,995582.0,0
2020-10-27,77814.0,546705.6012,0
2020-11-03,264.0,1858.2432,0
2020-11-09,157869.0,1167678.0584999998,0
2020-11-10,8250000.0,58162500.0,0
2020-11-19,259000.0,1949544.8,0
2020-11-20,144649.0,1066771.9101,0
2020-11-23,258000.0,1977570.0,0
2020-11-24,370000.0,2996481.9999999995,0
2020-11-25,372000.0,2999733.600000001,0
2020-11-27,278842.0,2214144.901,0
2020-11-30,4640950.0,122738010.291,0
2020-12-01,369000.0,2991150.9,0
2020-12-02,357000.0,2981628.3000000003,0
2020-12-03,1828895.0,16470845.4805,0
2020-12-07,36656250.0,1244479687.5,0
2020-12-08,297000.0,3001125.6,0
2020-12-09,302834.0,2980855.6288,0
2020-12-10,303000.0,2990488.8,0
2020-12-11,307000.0,2991868.5,0
2020-12-14,8773731.0,78309187.1726,0
2021-01-14,20000000.0,214400000.0,0
2021-02-08,8853283.0,148292490.25,0
2021-02-09,56606.37,65975201.4481,0
2021-03-01,30000000.0,350100000.0,0
2021-03-09,1595224.0,10209433.6,0
2021-03-10,5804.0,229954.48,0
2021-03-11,11555.0,452493.8,0
2021-03-12,40409.0,1584032.8,0
2021-03-15,78408.0,3061048.32,0
2021-03-16,36440.0,1383991.2,0
2021-03-17,62566.0,2348101.98,0
2021-03-18,39687.0,1515249.66,0
2021-03-23,35475457.0,965996694.11,0
2021-03-25,10716.0,411065.76,0
2021-03-26,9006.0,345470.16,0
2021-03-29,3300.0,120813.0,0
2021-03-30,13487.0,490117.5800000001,0
2021-03-31,21989.0,798860.37,0
2021-04-01,29783.0,1054616.0299999998,0
2021-04-06,75880.0,2645935.6,0
2021-05-13,12800000.0,166656000.0,0
2021-05-24,20000000.0,266200000.0,0
2021-06-07,20324.08,0.0,1
2021-07-19,4977751.0,0.0,0
2021-12-06,8566.0,116572.9808,1
2021-12-07,29378.0,396206.397,1
2021-12-08,23050.0,295021.56,1
2021-12-09,21158.0,278989.388,1
2021-12-10,19943.0,263429.0813,1
2021-12-13,19500.0,261461.85,1
2021-12-14,17119.0,231416.3539,1
2021-12-15,22400.0,301884.8,1
2021-12-16,18639.0,250126.0605,1
2021-12-17,19800.0,264587.4,1
2021-12-20,21010.0,280250.289,1
2021-12-21,21325.0,286170.8375,1
2021-12-22,21570.0,288239.91,1
2021-12-23,20010.0,266911.389,1
2021-12-27,20959.0,279794.2664,1
2021-12-28,20610.0,270432.054,1
2021-12-29,19500.0,258960.0,1
2021-12-30,20000.0,267042.0,1
2021-12-31,21900.0,287584.23,1
2022-01-03,19976.0,257696.3928,1
2022-01-04,17482.0,226243.303,1
2022-01-05,22200.0,296416.62,1
2022-01-06,21800.0,286271.06,1
2022-01-07,19662.0,254455.773,1
2022-01-10,22000.0,290444.0,1
2022-01-11,21100.0,280815.68,1
2022-01-12,20300.0,253510.46,1
2022-01-13,20341.0,268004.8796,1
2022-01-14,13087.0,173123.9969,1
2022-01-18,16935.0,225210.0975,1
2022-01-19,20421.0,269781.831,1
2022-01-20,20500.0,271840.25,1
2022-01-21,19646.0,260038.3852,1
2022-01-24,19840.0,260544.832,1
2022-01-25,19488.0,252151.3344,1
2022-01-26,20000.0,254412.0,1
2022-01-27,19400.0,249705.16,1
2022-01-28,20365.0,264918.1025,1
2022-01-31,19521.0,247500.9027,1
2022-02-01,16973.0,218731.051,1
2022-02-02,18231.0,237573.6303,1
2022-02-03,14109.0,1883410410.0,1
2022-02-04,20400.0,277644.0,1
2022-02-07,20800.0,272542.4,1
2022-02-09,17566.0,2283175982.0,1
2022-02-10,20100.0,262711.02,1
2022-02-11,19600.0,259990.08,1
2022-02-14,19400.0,262930.14,1
2022-02-15,19733.0,268842.392,1
2022-02-16,19438.0,259833.5774,1
2022-02-17,18146.0,246339.2084,1
2022-02-18,11461.0,155960.14190000002,1
2022-02-22,18141.0,242927.9451,1
2022-02-23,18372.0,242864.9796,1
2022-02-24,16268.0,210823.5192,1
2022-02-25,18335.0,237278.7355,1
2022-02-28,11672.0,148620.7432,1
2022-03-01,15359.0,205111.7655,1
2022-03-07,1600000.0,40000000.0,1
2022-04-12,5925.0,190392.765,0
2022-04-19,585735.0,18158139.450000003,0
2022-05-04,1500000.0,38655000.0,0
2022-05-05,1292246.0,33141397.16,0
2022-05-06,3000000.0,79890000.0,0
2022-05-09,755606.0,19049025.96,0
2022-05-10,262090.0,6478864.8,0
2022-05-11,1513842.0,37301066.88,0
2022-05-26,163915.0,1860435.25,0
2022-05-27,246005.0,2789696.7,0
2022-05-31,254754.0,2883815.2800000003,0
2022-06-01,435048.0,4929093.84,0
2022-06-02,191591.0,2164978.3000000003,0
2022-08-31,2512.0,46698.08,0
2022-09-08,3963416.0,74710391.6,0
