date,shares,amount,buy_flag
2015-03-03,5366429.0,126111081.5,0
2015-06-01,36125.0,929254.2125,0
2015-06-03,63000.0,1649169.9,0
2015-06-04,31500.0,807877.35,0
2015-06-08,19625.0,561390.7875,0
2015-06-15,19250.0,577500.0,0
2015-07-08,22000.0,706002.0,0
2015-08-26,3000.0,63000.0,1
2015-11-13,9000.0,95205.4,1
2016-02-05,193100.0,1606649.93,1
2016-02-08,284736.0,2358923.8656,1
2016-02-09,146896.0,1203048.8608,1
2016-02-11,144769.0,1201249.7313,1
2016-02-12,23039.0,189375.9722,1
2016-02-13,3912.0,30915.3624,1
2016-02-18,120066.0,1116613.8,1
2016-02-19,85655.0,752350.6925,1
2016-02-24,742.0,6863.5,1
2016-05-23,58000.0,432155.0,1
2017-06-06,50000.0,305930.0,1
2017-06-07,7000.0,44284.1,1
2018-01-17,6929445.0,119709596.25,0
2018-03-01,12387.0,229159.5,0
2018-03-06,26863.0,496965.5,0
2018-04-24,8311.0,166220.0,0
2018-04-25,10495.0,209900.0,0
2018-04-26,20444.0,408880.0,0
2018-05-17,7182368.0,166990056.0,0
2018-05-31,271406.0,6478587.2223000005,0
2018-08-10,4726.0,123718.6458,0
2018-08-14,98870.0,2736009.736,0
2018-08-30,59872.0,1782454.3262,0
2018-09-04,74725.0,2199844.22,0
2019-02-19,7000.0,196255.5,0
2019-06-14,81224.0,2680392.0,0
2019-08-27,9812.0,323891.1764,0
2019-08-28,13619.0,459938.1442,0
2019-08-29,3906.0,136072.9314,0
2019-09-03,10427.0,339587.5787,0
2019-09-04,14874.0,476546.5986,0
2019-09-10,28569.0,999915.0,0
2019-11-11,33216.0,1328640.0,0
2019-11-12,33742.0,1428772.4131999998,0
2019-11-13,58528.0,2488413.5981,0
2019-11-29,19625.0,783194.5,0
2020-11-02,6000.0,206977.8,0
2020-11-03,13482.0,471871.1254,0
2020-11-09,25678.0,1078514.517,0
2020-11-24,2620.0,109755.468,0
2020-11-27,752.0,31772.0,0
2021-01-06,26935.0,1212075.0,0
2021-01-11,26935.0,1426973.204,0
2021-01-28,30721.0,1746111.9118,0
2021-01-29,54322.0,3105903.8076,0
2021-02-01,58553.0,3310071.3536,0
2021-02-05,5000.0,300000.0,0
2021-02-26,61996.0,3752301.7004,0
2021-03-19,11254.0,726856.471,0
2021-05-10,2459.0,181903.7873,0
2021-05-17,54197.0,4267987.3399,0
2021-05-18,22198.0,1691904.9224,0
2021-05-20,3107.0,222585.48,0
2021-05-21,20500.0,1500208.45,0
2021-05-24,6892.0,508628.3261,0
2021-05-25,39909.0,2943828.2075,0
2021-05-26,49728.0,3782460.864,0
2021-05-27,8493.0,651355.3476000001,0
2021-08-09,3547.0,308638.658,0
2021-08-11,9532.0,849693.9184,0
2021-08-19,3000.0,245774.7,0
2021-08-20,3000.0,246484.5,0
2021-08-25,25517.0,2280808.3349,0
2021-08-27,7084.0,630476.0,0
2021-11-05,18936.0,2241427.8096,0
2021-11-12,13498.0,1610731.1878000002,0
2021-11-15,975.0,117116.5725,0
2021-11-16,975.0,121875.0,0
2021-11-17,9876.0,1252179.0276,0
2021-11-18,2500.0,334837.5,0
2022-02-24,2500.0,192500.0,1
2022-03-21,11254.0,1130308.9948,0
2022-03-23,2420.0,241344.664,0
2022-05-20,3107.0,238493.32,0
2022-05-23,6312.0,470307.12000000005,0
2022-05-24,5566.0,380483.36,0
2022-05-25,1087.0,72492.03,0
2022-05-27,1200.0,97071.96,1
2022-08-05,2500.0,152082.5,1
2022-08-08,1532.0,100515.4392,1
2022-08-22,4000.0,283505.2,1
2022-11-09,2500.0,130837.5,1
2023-02-10,56880.0,4604430.312,0
2023-05-26,15749.0,1089257.5364,0
2023-08-03,26567.0,2656700.0,0
2023-08-09,5993.0,582639.46,0
2023-08-10,35440.0,3437680.0,0
2023-08-11,10250.0,973135.0,0
2023-08-14,113636.0,10578375.24,0
2023-08-15,113637.0,10694378.07,0
2023-11-07,15099.0,1135293.81,0
2024-02-08,1000.0,85030.0,0
2024-02-15,5861.0,529306.91,0
2024-02-21,9031.0,800507.84,0
2024-02-29,19478.0,1799377.64,0
2024-05-17,3563.0,403367.23,0
2024-05-21,5653.0,642237.33,0
2024-05-23,4535.0,502781.95,0
2024-08-30,1698.0,229569.6,0
2024-09-10,9356.0,1437920.83,0
2024-11-08,53697.0,7268261.27,0
2024-11-11,52379.0,7096956.33,0
2025-01-02,6311.0,965481.1699999998,0
2025-05-22,2438.0,391713.46,0
2025-05-23,4154.0,645283.1599999999,0
2025-08-21,1500.0,255000.0,0
2025-08-26,7487.0,1288812.18,0
2025-11-03,6498.0,1234620.0,0
2025-12-01,1200.0,229692.0,0
2026-02-25,1000.0,197740.0,0
