date,shares,amount,buy_flag
2019-12-06,2000.0,42080.4,1
2020-11-12,12842.0,0.0,1
2021-08-09,12025.0,349917.075,1
2022-05-12,2000.0,47340.0,1
2023-05-11,15000.0,537261.0,0
2024-02-07,1000.0,57807.0,0
2024-05-14,15000.0,902184.0,0
2025-02-10,5100.0,384030.0,0
2025-02-11,28234.0,2141936.93,0
2025-02-12,28453.0,2188320.23,0
2025-02-13,48230.0,3738789.6,0
2025-02-14,79068.0,6091113.359999999,0
2025-02-18,44249.0,3423486.01,0
2025-02-19,43511.0,3365575.85,0
2025-02-20,46766.0,3494520.31,0
2025-02-21,15000.0,1102000.88,0
2025-02-24,15000.0,1095919.7,0
2025-02-25,14723.0,1063442.29,0
2025-04-01,7349.0,552171.94,0
2025-05-30,1600.0,100659.0,0
2025-06-06,1600.0,96927.0,0
2025-06-13,1600.0,94824.5,0
2025-06-20,1600.0,95508.0,0
2025-06-27,1600.0,92870.0,0
2025-07-03,1600.0,91920.0,0
2025-07-11,1600.0,92256.0,0
2025-07-18,1600.0,92324.45,0
2025-07-25,1600.0,87088.0,0
2025-08-01,1600.0,86688.0,0
2025-08-06,7963.0,295100.51,1
2025-08-14,1316.482,65824086.83518,1
2025-09-03,3970.0,166859.1,0
2025-11-07,308.0,8932.0,0
2025-12-01,3970.0,122792.1,0
2026-02-13,2000.0,35500.0,1
