date,shares,amount,buy_flag
2010-10-29,3000.0,37470.0,0
2010-10-29,3000.0,39600.0,1
2012-09-24,5906.0,38296.4,1
2012-09-25,1000.0,6549.0,1
2015-03-27,58.0,466.32,1
2015-06-17,58.0,612.48,0
2016-03-29,95.0,1191.167,1
2017-03-09,200.0,2380.0,1
2017-03-27,100.0,1120.0,1
2017-08-29,195.0,2276.7595,0
2017-09-05,10.0,120.0,0
2017-09-21,100.0,1207.0,0
2018-06-27,75.0,1036.5,1
2019-03-19,5056.0,116389.12,0
2019-03-25,250.0,5932.5,0
2019-06-25,150.0,4350.0,0
2019-08-29,3448.0,117935.94,0
2019-09-19,2131.0,74585.0,0
2019-09-20,2465.0,86275.0,0
2019-09-25,100.0,2943.0,1
2020-03-20,225.0,3600.0,1
2020-06-03,165.0,2648.25,1
2021-06-16,125.0,1755.0,1
2021-06-23,175.0,2289.0,1
2022-03-30,100.0,1085.0,1
2022-06-13,100.0,1275.0,1
2022-06-14,57.0,734.5191,1
2023-08-23,3376.0,39030.32,1
2023-08-24,4046.0,47335.7,1
2023-08-28,2000.0,23040.0,1
2023-08-29,1952.0,22389.44,1
2023-08-30,1308.0,15141.52,1
2023-08-31,1118.0,12943.7365,1
2023-09-01,222.0,2574.97,1
2023-09-04,5.0,53.75,1
2023-09-06,100.0,1081.25,1
2023-09-07,4500.0,50150.0,1
2023-09-08,3000.0,31920.0,1
2023-09-11,1800.0,20490.0,1
2023-09-12,600.0,6495.0,1
2023-09-14,1100.0,12184.0,1
2023-09-15,1361.0,14963.78,1
2023-09-18,737.0,8225.39,1
2023-09-20,1206.0,13378.078,1
2023-09-21,440.0,4884.0,1
2023-09-28,100.0,1100.0,1
2024-03-13,453.0,4757.200000000001,1
2024-03-15,82.0,883.14,1
2024-03-18,329.0,3511.4,1
2024-03-20,15.0,170.85000000000002,1
2024-04-01,100.0,1130.0,1
2024-06-12,100.0,1000.0,1
2024-09-09,200.0,1720.0,1
2024-09-11,1605.0,14058.0,1
2024-10-01,300.0,2730.0,1
2025-03-28,800.0,6668.0,1
2025-03-31,400.0,3317.0,1
2025-04-01,50.0,401.0,1
2025-06-09,125.0,972.5,1
2025-06-12,101.0,777.7,1
