date,shares,amount,buy_flag
2004-02-23,5000.0,200000.0,0
2004-02-24,3300.0,135300.0,0
2004-02-25,1700.0,69700.0,0
2004-02-27,5000.0,235000.0,0
2004-03-01,300.0,14100.0,0
2004-06-15,500.0,20825.0,0
2004-06-16,100.0,4220.0,0
2004-06-17,300.0,12680.0,0
2004-06-18,100.0,4250.0,0
2004-07-08,100.0,4330.0,0
2004-07-09,200.0,8610.0,0
2004-07-13,100.0,4350.0,0
2004-07-14,100.0,4325.0,0
2004-07-15,200.0,8700.0,0
2004-07-16,300.0,13025.0,0
2004-08-04,1000.0,43000.0,0
2004-08-16,1000.0,44127.0,0
2004-08-17,2000.0,90000.0,0
2004-08-19,1000.0,46000.0,0
2004-08-20,1000.0,47000.0,0
2004-08-23,400.0,19200.0,0
2004-09-23,400.0,17520.0,1
2005-01-03,2000.0,151098.5,0
2005-01-05,200.0,15725.0,0
2005-01-06,1200.0,94185.0,0
2005-01-07,200.0,15815.0,0
2005-01-10,800.0,68192.0,0
2005-01-11,2300.0,190980.2,0
2005-01-12,2400.0,187850.0,0
2005-01-13,2300.0,169825.0,0
2005-01-14,2700.0,202750.0,0
2005-01-18,1100.0,82600.0,0
2005-01-19,1000.0,74000.0,0
2005-01-20,3500.0,263134.0,0
2005-01-21,2000.0,151990.0,0
2005-01-24,1900.0,146210.0,0
2005-02-04,2700.0,118487.0,0
2005-02-07,106.0,4535.74,0
2005-02-15,17896.0,922001.92,1
2005-02-16,1300.0,65595.0,0
2005-02-16,5486.0,276604.12,1
2005-02-17,900.0,45601.0,0
2005-02-18,2800.0,141769.0,0
2005-02-24,700.0,38160.0,0
2005-02-25,694.0,37067.0,0
2005-02-28,800.0,42300.0,0
2005-03-04,12000.0,638760.0,1
2005-03-07,14400.0,763344.0,1
2005-03-08,7500.0,398025.0,1
2005-03-09,18000.0,970560.0,1
2005-03-10,15000.0,801300.0,1
2005-03-14,600.0,31800.0,1
2005-03-15,2200.0,113766.0,0
2005-03-15,6000.0,310380.0,1
2005-03-16,1700.0,87131.0,0
2005-03-16,15000.0,764250.0,1
2005-03-17,500.0,24920.0,0
2005-03-18,2600.0,128176.0,0
2005-03-18,12600.0,622314.0,1
2005-03-21,1200.0,59306.0,0
2005-03-21,9000.0,443430.0,1
2005-03-22,1800.0,87636.0,0
2005-03-23,12000.0,568320.0,1
2005-03-24,30000.0,1403100.0,1
2005-03-28,30000.0,1442700.0000000002,1
2005-03-30,18000.0,923040.0,1
2005-03-31,9000.0,476100.0,1
2005-04-04,6600.0,359766.0,1
2005-04-06,10500.0,568470.0,1
2005-04-07,4000.0,216680.0,0
2005-04-07,15000.0,812850.0,1
2005-04-08,30000.0,1635300.0,1
2005-04-11,5600.0,307193.0,0
2005-04-12,400.0,21854.0,0
2005-04-12,600.0,32778.0,1
2005-04-13,12592.0,691552.64,1
2005-04-14,7770.0,423620.4,1
2005-04-15,1200.0,65364.0,1
2005-04-19,6000.0,348540.0,1
2005-04-20,1500.0,86662.0,0
2005-04-21,10106.0,592794.5,0
2005-04-27,2400.0,165552.0,1
2005-04-28,22270.0,1404568.9,1
2005-04-29,146696.0,8934857.98,1
2005-05-02,20000.0,1297600.0,0
2005-05-16,400.0,25596.0,0
2005-05-18,300.0,19334.0,0
2005-05-19,2400.0,151370.0,0
2005-05-20,3200.0,198069.0,0
2005-05-23,2500.0,158547.0,0
2005-05-31,33390.0,2047474.8,1
2005-06-06,200.0,12000.0,1
2005-06-09,550.0,32934.0,0
2005-06-10,1600.0,95275.0,0
2005-06-13,2850.0,170105.5,0
2005-06-27,400.0,24988.0,1
2005-06-28,600.0,38082.0,1
2005-06-30,4800.0,316607.99999999994,1
2005-07-21,600.0,37494.0,1
