date,shares,amount,buy_flag
2013-07-17,50.0,520.0,1
2013-12-26,100.0,1040.0,1
2014-06-10,25.0,190.0,1
2014-06-11,20.0,152.0,1
2014-06-30,100000.0,25000.0,1
2014-08-01,120000.0,30000.0,1
2014-08-13,550000.0,0.0,1
2014-12-31,450000.0,0.0,1
2015-02-20,1000000.0,0.0,1
2015-05-08,200000.0,50000.0,1
2015-05-27,14934578.0,0.0,1
2015-12-07,6250.0,25000.0,1
2016-03-01,37500.0,150000.0,1
2016-03-18,250000.0,1000000.0,1
2016-05-18,12500.0,50000.0,1
2016-09-26,80000.0,240000.0,1
2017-02-02,2250.0,9562.5,1
2017-02-09,1800.0,7884.0,1
2018-05-09,5000.0,14000.0,1
2019-02-26,1000.0,680.0,1
2019-02-27,409.0,269.94,1
2019-03-05,6000.0,4140.0,1
2019-03-13,3000.0,1950.0,1
2019-04-04,2500.0,2000.0,1
2019-04-08,200.0,182.0,1
2019-04-09,100.0,85.0,1
2019-04-18,84474.0,53218.62,1
2019-04-22,39985.0,25590.4,1
2019-04-23,11681.0,7475.84,1
2019-04-25,20100.0,13065.0,1
2019-05-07,1111111.0,499999.95,1
2019-05-09,1000.0,400.0,1
2019-05-21,82040.0,32077.64,1
2019-05-23,6000.0,3270.0,1
2019-05-24,30000.0,12159.0,1
2019-06-03,8000.0,3060.0,1
2019-06-05,700.0,289.0,1
2019-06-06,23000.0,9952.1,1
2019-06-10,2500.0,1200.0,1
2019-06-12,25400.0,9144.0,1
2019-06-13,12000.0,4270.0,1
2019-07-29,140356.0,49714.0952,1
2019-07-30,100.0,42.0,1
2019-08-21,36700.0,9391.94,1
2019-08-22,170691.0,48028.4434,1
2019-08-23,3000.0,789.6,1
2019-08-26,10500.0,2765.0,1
2019-08-27,53000.0,14575.7,1
2019-08-28,38000.0,10290.0,1
2019-08-29,22850.0,6250.175,1
2019-08-30,18000.0,4989.5,1
2019-09-04,20955.0,5017.95,1
2019-09-05,20000.0,5396.499999999999,1
2019-09-06,12000.0,2831.25,1
2019-09-09,20000.0,5220.0,1
2019-10-08,75971.0,10016.23,1
2019-10-09,9000.0,1530.0,1
2019-10-14,13000.0,1430.0,1
2019-10-15,6000.0,850.0000000000001,1
2019-10-16,3333333.0,499999.95,1
2019-10-17,30000.0,3600.0,1
2019-10-21,215000.0,23714.5,1
2019-10-22,36213.0,5069.820000000001,1
2019-10-23,6500.0,910.0,1
2019-10-25,151000.0,21728.9,1
2019-10-28,1000.0,170.0,1
2019-11-15,10000.0,740.0,1
2019-11-21,138000.0,6820.0,1
2019-12-04,292351.0,8724.3545,1
2019-12-05,250679.0,6357.571,1
2019-12-06,1314322.0,40029.6535,1
2019-12-09,81000.0,2916.0,1
2020-01-06,8460210.0,102812.31,1
2021-11-16,12326.0,82832.58,1
2021-11-19,4000.0,26626.0,1
2021-11-22,396.0,2498.76,1
2021-11-23,2500.0,15000.0,1
2021-12-01,799.0,4394.5,1
2022-01-05,2000.0,7700.0,1
2022-01-24,1470.0,4998.0,1
2022-03-01,2270.0,12598.5,1
2022-03-02,47840.0,268382.4,1
2022-03-03,47648.0,260634.56,1
2022-03-04,3800.0,20938.0,1
2022-03-07,24392.0,108056.56,1
2022-03-08,8125.0,32500.0,1
2022-03-09,11875.0,47500.0,1
2022-03-21,10000.0,43500.0,1
2022-03-29,5000.0,25600.0,1
2022-03-31,10700.0,50488.0,1
2022-04-05,46000.0,262640.0,1
2022-04-06,2500.0,14150.0,1
2022-04-08,7600.0,43396.0,1
2022-05-02,400.0,1578.8000000000002,1
2022-05-26,2000.0,6875.6,0
2022-05-26,7650.0,26858.115,1
2022-05-27,10957.0,39592.0238,1
2022-06-01,9413.0,42042.2255,1
2022-06-02,1000.0,4687.8,1
2022-06-03,1200.0,5879.28,1
2022-06-06,3000.0,14797.5,1
2022-06-07,3800.0,17915.16,1
2022-06-08,2500.0,10823.12,1
2022-06-09,1000.0,4265.7,1
2022-06-10,600.0,2539.98,1
2022-06-13,1500.0,5886.52,1
2022-06-14,500.0,1955.95,1
2022-06-15,2094.0,7741.76,1
2022-06-16,2600.0,9849.0,1
2022-06-17,600.0,2281.98,1
2022-06-21,100.0,367.96,1
2022-06-30,3000.0,9257.82,1
2022-07-06,100.0,337.99,1
2022-07-12,1600.0,4738.0,1
2022-07-13,200.0,600.0,1
2022-08-26,2600.0,8710.0,1
2022-08-26,3958.0,13409.704,0
2022-08-29,3123.0,10066.741000000002,1
2022-09-22,200.0,584.0,1
2022-09-23,300.0,848.9699999999999,1
2022-10-11,806.0,2973.0116000000003,1
2022-10-12,725.0,2456.59,1
2022-11-18,1000.0,2876.5,1
2022-11-21,943.0,2467.0766,1
2022-11-30,200.0,555.0,1
2022-12-07,1800.0,5374.98,1
2022-12-23,300.0,903.0,1
2023-01-09,100.0,308.0,1
2023-01-18,400.0,1244.3000000000002,1
2023-01-20,200.0,627.0,1
2023-01-27,200.0,602.0,1
2023-02-01,400.0,1241.36,1
2023-02-22,6000.0,17150.0,1
2023-03-31,747.0,2659.32,1
2023-07-25,4200.0,10248.0,1
2023-07-27,1000.0,2800.0,1
2023-07-28,500.0,1445.0,1
2023-08-31,4954.0,10997.88,1
2023-09-06,2887.0,5658.52,1
2023-09-07,2000.0,3720.0,1
2023-09-13,800.0,1226.0,1
2023-09-14,10000.0,15400.0,1
2023-09-15,12200.0,20340.0,1
2023-11-27,278.0,525.42,0
2023-12-01,250.0,469.25,0
2024-02-07,36374.0,50196.12,1
2024-02-08,157585.0,204507.59000000003,1
2024-02-09,86041.0,113574.12,1
2024-04-08,1708.0,1979.32,1
2024-04-09,6600.0,8250.0,1
2024-10-28,1112.0,1756.96,0
