date,shares,amount,buy_flag
2021-11-19,1130000.0,69404600.0,0
2021-11-19,2275000.0,147875000.0,1
2022-01-11,4785.0,321743.4,0
2022-04-04,65000.0,2678016.38,0
2022-04-05,93000.0,3558540.77,0
2022-04-06,525507.0,19637744.4573,1
2022-04-07,557841.0,21010601.2119,1
2022-04-08,115806.0,4351621.4145,1
2022-05-17,5943.0,187382.79,0
2022-06-16,53500.0,1743516.8,0
2022-06-24,10000.0,400000.0,0
2022-06-27,10000.0,400265.0,0
2022-06-30,12888.0,461261.52,0
2022-07-05,35000.0,1493200.0,0
2022-07-06,15000.0,664500.0,0
2022-07-08,4103.0,189230.36,0
2022-07-13,15963.0,672759.63,0
2022-07-20,10897.0,502242.73,0
2022-07-25,10000.0,398932.65,0
2022-07-28,5000.0,212650.0,0
2022-08-05,10759.0,520644.42,0
2022-08-08,4241.0,203780.05,0
2022-08-10,25000.0,1252983.18,0
2022-08-16,1997.0,99111.11,0
2022-08-25,15000.0,703968.3200000001,0
2022-09-07,10000.0,384781.6,0
2022-09-15,1500.0,52491.45,1
2022-09-16,1130709.0,39572647.2849,1
2022-09-19,111702.0,3923231.1546,1
2022-09-20,110241.0,3887604.7686,1
2022-09-22,17062.0,578401.7999999999,0
2022-09-22,331950.0,11291497.245,1
2022-09-23,36939.0,1272511.611,1
2022-09-29,5000.0,171700.00000000003,0
2022-09-29,117714.0,4040309.3934,1
2022-09-30,1348206.0,46857438.812400006,1
2022-10-03,2775.0,96908.2725,1
2022-10-06,20000.0,792305.2,0
2022-11-09,20000.0,475907.98,0
2022-11-10,1000.0,24980.0,0
2022-11-16,1989.0,53523.99,0
2022-12-01,1000.0,25790.0,0
2022-12-07,20000.0,500400.0,0
2023-01-03,1000.0,27360.0,0
2023-02-01,1000.0,32220.0,0
2023-02-16,2247.0,73072.44,0
2023-03-01,1000.0,30770.0,0
2023-04-04,1500.0,53505.0,0
2023-04-05,1371.0,47272.08,0
2023-04-10,600.0,20130.0,0
2023-04-11,70016.0,2323602.16,0
2023-04-12,4257.0,144738.0,0
2023-04-13,23764.0,801163.0,0
2023-04-14,39415.0,1286003.1,0
2023-05-15,29886.0,886119.8999999999,0
2023-07-05,27537.0,1176044.16,0
2023-07-06,68503.0,2810742.09,0
2023-07-11,22448.0,965937.44,0
2023-07-12,5000.0,217004.73,0
2023-07-13,47406.0,2135166.24,0
2023-07-14,137676.0,5944474.51,0
2023-07-17,99841.0,4271720.4,0
2023-07-18,10000.0,434257.89,0
2023-07-19,11503.0,518069.18,0
2023-07-27,12797.0,578936.28,0
2023-07-31,3294.0,148855.86,0
2023-08-01,5000.0,223700.0,0
2023-08-15,11500.0,484635.0,0
2023-08-16,30622.0,1263463.72,0
2023-08-18,10823.0,435725.71,0
2023-08-23,20000.0,849800.0,0
2023-08-24,5000.0,204958.0,0
2023-09-01,5000.0,235450.00000000003,0
2023-09-08,53503.0,2637776.71,0
2023-09-12,44242.0,2109250.2800000003,0
2023-09-15,1500.0,68220.0,0
2023-09-27,15000.0,692836.9199999999,0
2023-10-02,5000.0,234400.0,0
2023-10-06,2329.0,108927.33,0
2023-10-10,665.0,32066.3,0
2023-10-11,2006.0,96990.1,0
2023-10-16,1500.0,68925.0,0
2023-10-17,10000.0,470815.0,0
2023-10-25,15000.0,640619.12,0
2023-11-01,5000.0,211450.0,0
2023-11-14,15000.0,731321.48,0
2023-11-15,18309.0,915705.9,0
2023-11-16,33360.0,1608285.6,0
2023-11-17,38588.0,1927427.5,0
2023-11-20,14885.0,755257.27,0
2023-12-01,4573.0,257054.65,0
2023-12-11,39626.0,2108499.46,0
2023-12-13,28537.0,1560633.9,0
2023-12-15,1500.0,83475.0,0
2023-12-18,25000.0,1331750.0,0
2023-12-19,15000.0,800482.0,0
2023-12-22,15100.0,816608.0,0
2023-12-28,15000.0,817650.0,0
2024-01-09,15000.0,746746.75,0
